Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cvas	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.55521
Primary	PRR	Cvas	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.54539
Primary	PRR	Cvas	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.55806
Primary	PRR	Cvas	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.5748
Primary	PRR	Cvas	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.54342
Primary	ROR	Cvas	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.57626
Primary	ROR	Cvas	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.54452
Primary	ROR	Cvas	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.5406
Primary	ROR	Cvas	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.57979
Primary	ROR	Cvas	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.54941
Primary	IC	Cvas	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.56569
Primary	IC	Cvas	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.5561
Primary	IC	Cvas	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.55238
Primary	IC	Cvas	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.56643
Primary	IC	Cvas	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.55352
Primary	PRR	Cvas	4	RandomForestClassifier	RDKit	GeomRS	0.55219
Primary	PRR	Cvas	1	RandomForestClassifier	RDKit	GeomRS	0.53668
Primary	PRR	Cvas	3	RandomForestClassifier	RDKit	GeomRS	0.54851
Primary	PRR	Cvas	2	RandomForestClassifier	RDKit	GeomRS	0.56498
Primary	PRR	Cvas	0	RandomForestClassifier	RDKit	GeomRS	0.52487
Primary	ROR	Cvas	4	RandomForestClassifier	RDKit	GeomRS	0.57395
Primary	ROR	Cvas	1	RandomForestClassifier	RDKit	GeomRS	0.54218
Primary	ROR	Cvas	3	RandomForestClassifier	RDKit	GeomRS	0.53697
Primary	ROR	Cvas	2	RandomForestClassifier	RDKit	GeomRS	0.57776
Primary	ROR	Cvas	0	RandomForestClassifier	RDKit	GeomRS	0.54611
Primary	IC	Cvas	4	RandomForestClassifier	RDKit	GeomRS	0.51215
Primary	IC	Cvas	1	RandomForestClassifier	RDKit	GeomRS	0.55103
Primary	IC	Cvas	3	RandomForestClassifier	RDKit	GeomRS	0.51415
Primary	IC	Cvas	2	RandomForestClassifier	RDKit	GeomRS	0.51988
Primary	IC	Cvas	0	RandomForestClassifier	RDKit	GeomRS	0.49753
Primary	PRR	Cvas	4	RandomForestClassifier	RDKit	HarmRS	0.54919
Primary	PRR	Cvas	1	RandomForestClassifier	RDKit	HarmRS	0.52811
Primary	PRR	Cvas	3	RandomForestClassifier	RDKit	HarmRS	0.53912
Primary	PRR	Cvas	2	RandomForestClassifier	RDKit	HarmRS	0.55533
Primary	PRR	Cvas	0	RandomForestClassifier	RDKit	HarmRS	0.50695
Primary	ROR	Cvas	4	RandomForestClassifier	RDKit	HarmRS	0.57165
Primary	ROR	Cvas	1	RandomForestClassifier	RDKit	HarmRS	0.53984
Primary	ROR	Cvas	3	RandomForestClassifier	RDKit	HarmRS	0.53336
Primary	ROR	Cvas	2	RandomForestClassifier	RDKit	HarmRS	0.57574
Primary	ROR	Cvas	0	RandomForestClassifier	RDKit	HarmRS	0.54284
Primary	IC	Cvas	4	RandomForestClassifier	RDKit	HarmRS	0.46368
Primary	IC	Cvas	1	RandomForestClassifier	RDKit	HarmRS	0.54601
