Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	Balanced Accuracy	0.55972
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	Balanced Accuracy	0.55242
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	Balanced Accuracy	0.55376
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	Balanced Accuracy	0.53492
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	Balanced Accuracy	0.53642
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	Balanced Accuracy	0.54255
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	Balanced Accuracy	0.53851
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	Balanced Accuracy	0.55195
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	Balanced Accuracy	0.53424
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	Balanced Accuracy	0.52699
Secondary	IC	Cred	0	RandomForestClassifier	Klek	Balanced Accuracy	0.51594
Secondary	IC	Cred	1	RandomForestClassifier	Klek	Balanced Accuracy	0.56616
Secondary	IC	Cred	2	RandomForestClassifier	Klek	Balanced Accuracy	0.57163
Secondary	IC	Cred	4	RandomForestClassifier	Klek	Balanced Accuracy	0.51803
Secondary	IC	Cred	3	RandomForestClassifier	Klek	Balanced Accuracy	0.50145
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	GeomRS	0.55676
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	GeomRS	0.54735
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	GeomRS	0.54845
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	GeomRS	0.53482
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	GeomRS	0.53642
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	GeomRS	0.54245
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	GeomRS	0.52745
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	GeomRS	0.53479
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	GeomRS	0.52541
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	GeomRS	0.50146
Secondary	IC	Cred	0	RandomForestClassifier	Klek	GeomRS	0.35592
Secondary	IC	Cred	1	RandomForestClassifier	Klek	GeomRS	0.51182
Secondary	IC	Cred	2	RandomForestClassifier	Klek	GeomRS	0.4922
Secondary	IC	Cred	4	RandomForestClassifier	Klek	GeomRS	0.38148
Secondary	IC	Cred	3	RandomForestClassifier	Klek	GeomRS	0.34302
Secondary	PRR	Cred	0	RandomForestClassifier	Klek	HarmRS	0.55382
Secondary	PRR	Cred	1	RandomForestClassifier	Klek	HarmRS	0.54231
Secondary	PRR	Cred	2	RandomForestClassifier	Klek	HarmRS	0.54318
Secondary	PRR	Cred	4	RandomForestClassifier	Klek	HarmRS	0.53472
Secondary	PRR	Cred	3	RandomForestClassifier	Klek	HarmRS	0.53642
Secondary	ROR	Cred	0	RandomForestClassifier	Klek	HarmRS	0.54236
Secondary	ROR	Cred	1	RandomForestClassifier	Klek	HarmRS	0.51662
Secondary	ROR	Cred	2	RandomForestClassifier	Klek	HarmRS	0.51816
Secondary	ROR	Cred	4	RandomForestClassifier	Klek	HarmRS	0.51673
Secondary	ROR	Cred	3	RandomForestClassifier	Klek	HarmRS	0.47716
Secondary	IC	Cred	0	RandomForestClassifier	Klek	HarmRS	0.24554
Secondary	IC	Cred	1	RandomForestClassifier	Klek	HarmRS	0.46269
Secondary	IC	Cred	2	RandomForestClassifier	Klek	HarmRS	0.42382
Secondary	IC	Cred	4	RandomForestClassifier	Klek	HarmRS	0.28092
Secondary	IC	Cred	3	RandomForestClassifier	Klek	HarmRS	0.23465
