Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.56931
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.54466
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.54085
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.5355
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.5507
Secondary	ROR	Cred	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.56429
Secondary	ROR	Cred	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.56256
Secondary	ROR	Cred	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.56059
Secondary	ROR	Cred	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.52942
Secondary	ROR	Cred	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.55693
Secondary	IC	Cred	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.54079
Secondary	IC	Cred	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.5274
Secondary	IC	Cred	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.54283
Secondary	IC	Cred	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.53428
Secondary	IC	Cred	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.53362
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	GeomRS	0.56586
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	GeomRS	0.54432
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	GeomRS	0.53677
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	GeomRS	0.53158
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	GeomRS	0.54984
Secondary	ROR	Cred	0	RandomForestClassifier	MACCS	GeomRS	0.56399
Secondary	ROR	Cred	1	RandomForestClassifier	MACCS	GeomRS	0.56119
Secondary	ROR	Cred	2	RandomForestClassifier	MACCS	GeomRS	0.56047
Secondary	ROR	Cred	3	RandomForestClassifier	MACCS	GeomRS	0.52878
Secondary	ROR	Cred	4	RandomForestClassifier	MACCS	GeomRS	0.55445
Secondary	IC	Cred	0	RandomForestClassifier	MACCS	GeomRS	0.44732
Secondary	IC	Cred	1	RandomForestClassifier	MACCS	GeomRS	0.46997
Secondary	IC	Cred	2	RandomForestClassifier	MACCS	GeomRS	0.47891
Secondary	IC	Cred	3	RandomForestClassifier	MACCS	GeomRS	0.47272
Secondary	IC	Cred	4	RandomForestClassifier	MACCS	GeomRS	0.43579
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	HarmRS	0.56243
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	HarmRS	0.54399
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	HarmRS	0.53272
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	HarmRS	0.52769
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	HarmRS	0.54897
Secondary	ROR	Cred	0	RandomForestClassifier	MACCS	HarmRS	0.56368
Secondary	ROR	Cred	1	RandomForestClassifier	MACCS	HarmRS	0.55982
Secondary	ROR	Cred	2	RandomForestClassifier	MACCS	HarmRS	0.56035
Secondary	ROR	Cred	3	RandomForestClassifier	MACCS	HarmRS	0.52813
Secondary	ROR	Cred	4	RandomForestClassifier	MACCS	HarmRS	0.55198
Secondary	IC	Cred	0	RandomForestClassifier	MACCS	HarmRS	0.37
Secondary	IC	Cred	1	RandomForestClassifier	MACCS	HarmRS	0.41879
Secondary	IC	Cred	2	RandomForestClassifier	MACCS	HarmRS	0.42251
Secondary	IC	Cred	3	RandomForestClassifier	MACCS	HarmRS	0.41825
Secondary	IC	Cred	4	RandomForestClassifier	MACCS	HarmRS	0.35589
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	F1 Score	0.6252
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	F1 Score	0.58347
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	F1 Score	0.55651
