Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54854
Secondary	PRR	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54419
Secondary	PRR	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.55773
Secondary	PRR	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52115
Secondary	PRR	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51781
Secondary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52484
Secondary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53016
Secondary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.4996
Secondary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.47427
Secondary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50985
Secondary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51777
Secondary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52277
Secondary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51695
Secondary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50575
Secondary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51968
Secondary	PRR	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.53421
Secondary	PRR	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.54341
Secondary	PRR	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.50838
Secondary	PRR	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.50675
Secondary	PRR	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.45753
Secondary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.52234
Secondary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.52804
Secondary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.49454
Secondary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.46954
Secondary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.49818
Secondary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.36921
Secondary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.46303
Secondary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.33547
Secondary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.36066
Secondary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.35188
Secondary	PRR	Cvas	2	RandomForestClassifier	ChemBERTa	HarmRS	0.52026
Secondary	PRR	Cvas	1	RandomForestClassifier	ChemBERTa	HarmRS	0.54262
Secondary	PRR	Cvas	0	RandomForestClassifier	ChemBERTa	HarmRS	0.46339
Secondary	PRR	Cvas	3	RandomForestClassifier	ChemBERTa	HarmRS	0.49275
Secondary	PRR	Cvas	4	RandomForestClassifier	ChemBERTa	HarmRS	0.40426
Secondary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	HarmRS	0.51985
Secondary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	HarmRS	0.52592
Secondary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	HarmRS	0.48953
Secondary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	HarmRS	0.46487
Secondary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	HarmRS	0.48679
Secondary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	HarmRS	0.26327
Secondary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	HarmRS	0.41011
Secondary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	HarmRS	0.21771
Secondary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	HarmRS	0.2572
Secondary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	HarmRS	0.23826
Secondary	PRR	Cvas	2	RandomForestClassifier	ChemBERTa	F1 Score	0.65397
Secondary	PRR	Cvas	1	RandomForestClassifier	ChemBERTa	F1 Score	0.61034
Secondary	PRR	Cvas	0	RandomForestClassifier	ChemBERTa	F1 Score	0.68382
Secondary	PRR	Cvas	3	RandomForestClassifier	ChemBERTa	F1 Score	0.6145
Secondary	PRR	Cvas	4	RandomForestClassifier	ChemBERTa	F1 Score	0.65631
Secondary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	F1 Score	0.53906
Secondary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	F1 Score	0.55207
Secondary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	F1 Score	0.56809
Secondary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	F1 Score	0.5453
Secondary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	F1 Score	0.59507
Secondary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	F1 Score	0.72008
Secondary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	F1 Score	0.68993
Secondary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	F1 Score	0.70503
Secondary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	F1 Score	0.68951
Secondary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	F1 Score	0.70347
Secondary	PRR	Cvas	2	RandomForestClassifier	ChemBERTa	ROC AUC	0.56965
Secondary	PRR	Cvas	1	RandomForestClassifier	ChemBERTa	ROC AUC	0.55659
Secondary	PRR	Cvas	0	RandomForestClassifier	ChemBERTa	ROC AUC	0.58818
Secondary	PRR	Cvas	3	RandomForestClassifier	ChemBERTa	ROC AUC	0.52914
Secondary	PRR	Cvas	4	RandomForestClassifier	ChemBERTa	ROC AUC	0.51408
Secondary	ROR	Cvas	2	RandomForestClassifier	ChemBERTa	ROC AUC	0.53438
Secondary	ROR	Cvas	1	RandomForestClassifier	ChemBERTa	ROC AUC	0.53466
Secondary	ROR	Cvas	0	RandomForestClassifier	ChemBERTa	ROC AUC	0.49907
Secondary	ROR	Cvas	3	RandomForestClassifier	ChemBERTa	ROC AUC	0.48379
Secondary	ROR	Cvas	4	RandomForestClassifier	ChemBERTa	ROC AUC	0.51254
Secondary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	ROC AUC	0.57401
Secondary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	ROC AUC	0.5603
