Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	Balanced Accuracy	0.5477
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	Balanced Accuracy	0.55764
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	Balanced Accuracy	0.54002
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	Balanced Accuracy	0.55756
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	Balanced Accuracy	0.55717
Secondary	ROR	Cvas	0	XGBClassifier	CDDD	Balanced Accuracy	0.54381
Secondary	ROR	Cvas	3	XGBClassifier	CDDD	Balanced Accuracy	0.51297
Secondary	ROR	Cvas	4	XGBClassifier	CDDD	Balanced Accuracy	0.51044
Secondary	ROR	Cvas	1	XGBClassifier	CDDD	Balanced Accuracy	0.54198
Secondary	ROR	Cvas	2	XGBClassifier	CDDD	Balanced Accuracy	0.55473
Secondary	IC	Cvas	0	XGBClassifier	CDDD	Balanced Accuracy	0.52753
Secondary	IC	Cvas	3	XGBClassifier	CDDD	Balanced Accuracy	0.54419
Secondary	IC	Cvas	4	XGBClassifier	CDDD	Balanced Accuracy	0.52572
Secondary	IC	Cvas	1	XGBClassifier	CDDD	Balanced Accuracy	0.53873
Secondary	IC	Cvas	2	XGBClassifier	CDDD	Balanced Accuracy	0.54655
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	GeomRS	0.54601
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	GeomRS	0.55586
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	GeomRS	0.52523
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	GeomRS	0.55755
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	GeomRS	0.55571
Secondary	ROR	Cvas	0	XGBClassifier	CDDD	GeomRS	0.54112
Secondary	ROR	Cvas	3	XGBClassifier	CDDD	GeomRS	0.51145
Secondary	ROR	Cvas	4	XGBClassifier	CDDD	GeomRS	0.51039
Secondary	ROR	Cvas	1	XGBClassifier	CDDD	GeomRS	0.53747
Secondary	ROR	Cvas	2	XGBClassifier	CDDD	GeomRS	0.55473
Secondary	IC	Cvas	0	XGBClassifier	CDDD	GeomRS	0.47641
Secondary	IC	Cvas	3	XGBClassifier	CDDD	GeomRS	0.50543
Secondary	IC	Cvas	4	XGBClassifier	CDDD	GeomRS	0.45125
Secondary	IC	Cvas	1	XGBClassifier	CDDD	GeomRS	0.51535
Secondary	IC	Cvas	2	XGBClassifier	CDDD	GeomRS	0.50747
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	HarmRS	0.54432
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	HarmRS	0.55409
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	HarmRS	0.51084
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	HarmRS	0.55754
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	HarmRS	0.55426
Secondary	ROR	Cvas	0	XGBClassifier	CDDD	HarmRS	0.53843
Secondary	ROR	Cvas	3	XGBClassifier	CDDD	HarmRS	0.50994
Secondary	ROR	Cvas	4	XGBClassifier	CDDD	HarmRS	0.51034
Secondary	ROR	Cvas	1	XGBClassifier	CDDD	HarmRS	0.53299
Secondary	ROR	Cvas	2	XGBClassifier	CDDD	HarmRS	0.55473
Secondary	IC	Cvas	0	XGBClassifier	CDDD	HarmRS	0.43025
Secondary	IC	Cvas	3	XGBClassifier	CDDD	HarmRS	0.46944
Secondary	IC	Cvas	4	XGBClassifier	CDDD	HarmRS	0.38733
Secondary	IC	Cvas	1	XGBClassifier	CDDD	HarmRS	0.49298
Secondary	IC	Cvas	2	XGBClassifier	CDDD	HarmRS	0.47119
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	F1 Score	0.59957
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	F1 Score	0.6124
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	F1 Score	0.62929
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	F1 Score	0.60513
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	F1 Score	0.62212
Secondary	ROR	Cvas	0	XGBClassifier	CDDD	F1 Score	0.54473
Secondary	ROR	Cvas	3	XGBClassifier	CDDD	F1 Score	0.5237
Secondary	ROR	Cvas	4	XGBClassifier	CDDD	F1 Score	0.53728
Secondary	ROR	Cvas	1	XGBClassifier	CDDD	F1 Score	0.55008
Secondary	ROR	Cvas	2	XGBClassifier	CDDD	F1 Score	0.59898
Secondary	IC	Cvas	0	XGBClassifier	CDDD	F1 Score	0.65858
Secondary	IC	Cvas	3	XGBClassifier	CDDD	F1 Score	0.6666
Secondary	IC	Cvas	4	XGBClassifier	CDDD	F1 Score	0.67215
Secondary	IC	Cvas	1	XGBClassifier	CDDD	F1 Score	0.66732
Secondary	IC	Cvas	2	XGBClassifier	CDDD	F1 Score	0.68488
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	ROC AUC	0.58562
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	ROC AUC	0.57816
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	ROC AUC	0.56604
Secondary	PRR	Cvas	1	XGBClassifier	CDDD	ROC AUC	0.58172
Secondary	PRR	Cvas	2	XGBClassifier	CDDD	ROC AUC	0.58504
Secondary	ROR	Cvas	0	XGBClassifier	CDDD	ROC AUC	0.56316
Secondary	ROR	Cvas	3	XGBClassifier	CDDD	ROC AUC	0.52608
Secondary	ROR	Cvas	4	XGBClassifier	CDDD	ROC AUC	0.51559
Secondary	ROR	Cvas	1	XGBClassifier	CDDD	ROC AUC	0.54935
Secondary	ROR	Cvas	2	XGBClassifier	CDDD	ROC AUC	0.56953
Secondary	IC	Cvas	0	XGBClassifier	CDDD	ROC AUC	0.58732
Secondary	IC	Cvas	3	XGBClassifier	CDDD	ROC AUC	0.57262
Secondary	IC	Cvas	4	XGBClassifier	CDDD	ROC AUC	0.56743
Secondary	IC	Cvas	1	XGBClassifier	CDDD	ROC AUC	0.56915
Secondary	IC	Cvas	2	XGBClassifier	CDDD	ROC AUC	0.58577
Secondary	PRR	Cvas	0	XGBClassifier	CDDD	MCC	0.09503
Secondary	PRR	Cvas	3	XGBClassifier	CDDD	MCC	0.11471
Secondary	PRR	Cvas	4	XGBClassifier	CDDD	MCC	0.08221
