Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cvas	0	XGBClassifier	Klek	Balanced Accuracy	0.58279
Secondary	PRR	Cvas	2	XGBClassifier	Klek	Balanced Accuracy	0.56574
Secondary	PRR	Cvas	1	XGBClassifier	Klek	Balanced Accuracy	0.5616
Secondary	PRR	Cvas	4	XGBClassifier	Klek	Balanced Accuracy	0.56394
Secondary	PRR	Cvas	3	XGBClassifier	Klek	Balanced Accuracy	0.53893
Secondary	ROR	Cvas	0	XGBClassifier	Klek	Balanced Accuracy	0.54611
Secondary	ROR	Cvas	2	XGBClassifier	Klek	Balanced Accuracy	0.54421
Secondary	ROR	Cvas	1	XGBClassifier	Klek	Balanced Accuracy	0.53773
Secondary	ROR	Cvas	4	XGBClassifier	Klek	Balanced Accuracy	0.55001
Secondary	ROR	Cvas	3	XGBClassifier	Klek	Balanced Accuracy	0.51725
Secondary	IC	Cvas	0	XGBClassifier	Klek	Balanced Accuracy	0.55837
Secondary	IC	Cvas	2	XGBClassifier	Klek	Balanced Accuracy	0.56105
Secondary	IC	Cvas	1	XGBClassifier	Klek	Balanced Accuracy	0.53205
Secondary	IC	Cvas	4	XGBClassifier	Klek	Balanced Accuracy	0.53941
Secondary	IC	Cvas	3	XGBClassifier	Klek	Balanced Accuracy	0.52389
Secondary	PRR	Cvas	0	XGBClassifier	Klek	GeomRS	0.58263
Secondary	PRR	Cvas	2	XGBClassifier	Klek	GeomRS	0.56573
Secondary	PRR	Cvas	1	XGBClassifier	Klek	GeomRS	0.56134
Secondary	PRR	Cvas	4	XGBClassifier	Klek	GeomRS	0.56391
Secondary	PRR	Cvas	3	XGBClassifier	Klek	GeomRS	0.53886
Secondary	ROR	Cvas	0	XGBClassifier	Klek	GeomRS	0.54382
Secondary	ROR	Cvas	2	XGBClassifier	Klek	GeomRS	0.49301
Secondary	ROR	Cvas	1	XGBClassifier	Klek	GeomRS	0.52268
Secondary	ROR	Cvas	4	XGBClassifier	Klek	GeomRS	0.49083
