Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cvas	0	XGBClassifier	MACCS	Balanced Accuracy	0.59185
Secondary	PRR	Cvas	3	XGBClassifier	MACCS	Balanced Accuracy	0.56372
Secondary	PRR	Cvas	1	XGBClassifier	MACCS	Balanced Accuracy	0.55389
Secondary	PRR	Cvas	2	XGBClassifier	MACCS	Balanced Accuracy	0.56181
Secondary	PRR	Cvas	4	XGBClassifier	MACCS	Balanced Accuracy	0.55362
Secondary	ROR	Cvas	0	XGBClassifier	MACCS	Balanced Accuracy	0.57139
Secondary	ROR	Cvas	3	XGBClassifier	MACCS	Balanced Accuracy	0.53231
Secondary	ROR	Cvas	1	XGBClassifier	MACCS	Balanced Accuracy	0.5535
Secondary	ROR	Cvas	2	XGBClassifier	MACCS	Balanced Accuracy	0.54044
Secondary	ROR	Cvas	4	XGBClassifier	MACCS	Balanced Accuracy	0.5372
Secondary	IC	Cvas	0	XGBClassifier	MACCS	Balanced Accuracy	0.5578
Secondary	IC	Cvas	3	XGBClassifier	MACCS	Balanced Accuracy	0.54352
Secondary	IC	Cvas	1	XGBClassifier	MACCS	Balanced Accuracy	0.54518
Secondary	IC	Cvas	2	XGBClassifier	MACCS	Balanced Accuracy	0.55055
Secondary	IC	Cvas	4	XGBClassifier	MACCS	Balanced Accuracy	0.54964
Secondary	PRR	Cvas	0	XGBClassifier	MACCS	GeomRS	0.59012
Secondary	PRR	Cvas	3	XGBClassifier	MACCS	GeomRS	0.5636
Secondary	PRR	Cvas	1	XGBClassifier	MACCS	GeomRS	0.55381
Secondary	PRR	Cvas	2	XGBClassifier	MACCS	GeomRS	0.56176
Secondary	PRR	Cvas	4	XGBClassifier	MACCS	GeomRS	0.55357
Secondary	ROR	Cvas	0	XGBClassifier	MACCS	GeomRS	0.56262
Secondary	ROR	Cvas	3	XGBClassifier	MACCS	GeomRS	0.51654
Secondary	ROR	Cvas	1	XGBClassifier	MACCS	GeomRS	0.53984
Secondary	ROR	Cvas	2	XGBClassifier	MACCS	GeomRS	0.50058
Secondary	ROR	Cvas	4	XGBClassifier	MACCS	GeomRS	0.4905
Secondary	IC	Cvas	0	XGBClassifier	MACCS	GeomRS	0.4906
Secondary	IC	Cvas	3	XGBClassifier	MACCS	GeomRS	0.49589
Secondary	IC	Cvas	1	XGBClassifier	MACCS	GeomRS	0.51258
Secondary	IC	Cvas	2	XGBClassifier	MACCS	GeomRS	0.52179
Secondary	IC	Cvas	4	XGBClassifier	MACCS	GeomRS	0.52079
Secondary	PRR	Cvas	0	XGBClassifier	MACCS	HarmRS	0.58841
Secondary	PRR	Cvas	3	XGBClassifier	MACCS	HarmRS	0.56348
Secondary	PRR	Cvas	1	XGBClassifier	MACCS	HarmRS	0.55373
Secondary	PRR	Cvas	2	XGBClassifier	MACCS	HarmRS	0.5617
Secondary	PRR	Cvas	4	XGBClassifier	MACCS	HarmRS	0.55351
Secondary	ROR	Cvas	0	XGBClassifier	MACCS	HarmRS	0.55398
Secondary	ROR	Cvas	3	XGBClassifier	MACCS	HarmRS	0.50123
Secondary	ROR	Cvas	1	XGBClassifier	MACCS	HarmRS	0.52652
Secondary	ROR	Cvas	2	XGBClassifier	MACCS	HarmRS	0.46366
Secondary	ROR	Cvas	4	XGBClassifier	MACCS	HarmRS	0.44787
Secondary	IC	Cvas	0	XGBClassifier	MACCS	HarmRS	0.4315
Secondary	IC	Cvas	3	XGBClassifier	MACCS	HarmRS	0.45243
Secondary	IC	Cvas	1	XGBClassifier	MACCS	HarmRS	0.48192
Secondary	IC	Cvas	2	XGBClassifier	MACCS	HarmRS	0.49453
Secondary	IC	Cvas	4	XGBClassifier	MACCS	HarmRS	0.49346
Secondary	PRR	Cvas	0	XGBClassifier	MACCS	F1 Score	0.64193
Secondary	PRR	Cvas	3	XGBClassifier	MACCS	F1 Score	0.60229
Secondary	PRR	Cvas	1	XGBClassifier	MACCS	F1 Score	0.60896
Secondary	PRR	Cvas	2	XGBClassifier	MACCS	F1 Score	0.60147
Secondary	PRR	Cvas	4	XGBClassifier	MACCS	F1 Score	0.57978
Secondary	ROR	Cvas	0	XGBClassifier	MACCS	F1 Score	0.54722
Secondary	ROR	Cvas	3	XGBClassifier	MACCS	F1 Score	0.48714
Secondary	ROR	Cvas	1	XGBClassifier	MACCS	F1 Score	0.5274
Secondary	ROR	Cvas	2	XGBClassifier	MACCS	F1 Score	0.44662
Secondary	ROR	Cvas	4	XGBClassifier	MACCS	F1 Score	0.42268
Secondary	IC	Cvas	0	XGBClassifier	MACCS	F1 Score	0.69595
Secondary	IC	Cvas	3	XGBClassifier	MACCS	F1 Score	0.6737
Secondary	IC	Cvas	1	XGBClassifier	MACCS	F1 Score	0.68489
Secondary	IC	Cvas	2	XGBClassifier	MACCS	F1 Score	0.67727
Secondary	IC	Cvas	4	XGBClassifier	MACCS	F1 Score	0.65757
Secondary	PRR	Cvas	0	XGBClassifier	MACCS	ROC AUC	0.63541
Secondary	PRR	Cvas	3	XGBClassifier	MACCS	ROC AUC	0.58656
Secondary	PRR	Cvas	1	XGBClassifier	MACCS	ROC AUC	0.56818
Secondary	PRR	Cvas	2	XGBClassifier	MACCS	ROC AUC	0.59055
Secondary	PRR	Cvas	4	XGBClassifier	MACCS	ROC AUC	0.5801
Secondary	ROR	Cvas	0	XGBClassifier	MACCS	ROC AUC	0.59762
Secondary	ROR	Cvas	3	XGBClassifier	MACCS	ROC AUC	0.54867
Secondary	ROR	Cvas	1	XGBClassifier	MACCS	ROC AUC	0.56055
Secondary	ROR	Cvas	2	XGBClassifier	MACCS	ROC AUC	0.55661
Secondary	ROR	Cvas	4	XGBClassifier	MACCS	ROC AUC	0.56584
Secondary	IC	Cvas	0	XGBClassifier	MACCS	ROC AUC	0.63279
Secondary	IC	Cvas	3	XGBClassifier	MACCS	ROC AUC	0.5737
Secondary	IC	Cvas	1	XGBClassifier	MACCS	ROC AUC	0.57078
Secondary	IC	Cvas	2	XGBClassifier	MACCS	ROC AUC	0.59821
Secondary	IC	Cvas	4	XGBClassifier	MACCS	ROC AUC	0.58832
Secondary	PRR	Cvas	0	XGBClassifier	MACCS	MCC	0.18329
Secondary	PRR	Cvas	3	XGBClassifier	MACCS	MCC	0.12622
Secondary	PRR	Cvas	1	XGBClassifier	MACCS	MCC	0.10507
Secondary	PRR	Cvas	2	XGBClassifier	MACCS	MCC	0.12118
Secondary	PRR	Cvas	4	XGBClassifier	MACCS	MCC	0.10632
Secondary	ROR	Cvas	0	XGBClassifier	MACCS	MCC	0.1439
Secondary	ROR	Cvas	3	XGBClassifier	MACCS	MCC	0.06601
Secondary	ROR	Cvas	1	XGBClassifier	MACCS	MCC	0.10683
Secondary	ROR	Cvas	2	XGBClassifier	MACCS	MCC	0.08614
Secondary	ROR	Cvas	4	XGBClassifier	MACCS	MCC	0.08162
Secondary	IC	Cvas	0	XGBClassifier	MACCS	MCC	0.1368
Secondary	IC	Cvas	3	XGBClassifier	MACCS	MCC	0.09686
Secondary	IC	Cvas	1	XGBClassifier	MACCS	MCC	0.09566
Secondary	IC	Cvas	2	XGBClassifier	MACCS	MCC	0.10672
Secondary	IC	Cvas	4	XGBClassifier	MACCS	MCC	0.10569
Secondary	PRR	Cvas	0	XGBClassifier	MACCS	Accuracy	0.5978
Secondary	PRR	Cvas	3	XGBClassifier	MACCS	Accuracy	0.56539
Secondary	PRR	Cvas	1	XGBClassifier	MACCS	Accuracy	0.55605
Secondary	PRR	Cvas	2	XGBClassifier	MACCS	Accuracy	0.56024
Secondary	PRR	Cvas	4	XGBClassifier	MACCS	Accuracy	0.55258
Secondary	ROR	Cvas	0	XGBClassifier	MACCS	Accuracy	0.55822
Secondary	ROR	Cvas	3	XGBClassifier	MACCS	Accuracy	0.51379
Secondary	ROR	Cvas	1	XGBClassifier	MACCS	Accuracy	0.52575
Secondary	ROR	Cvas	2	XGBClassifier	MACCS	Accuracy	0.50005
Secondary	ROR	Cvas	4	XGBClassifier	MACCS	Accuracy	0.50846
Secondary	IC	Cvas	0	XGBClassifier	MACCS	Accuracy	0.59285
Secondary	IC	Cvas	3	XGBClassifier	MACCS	Accuracy	0.57556
Secondary	IC	Cvas	1	XGBClassifier	MACCS	Accuracy	0.58736
Secondary	IC	Cvas	2	XGBClassifier	MACCS	Accuracy	0.58536
Secondary	IC	Cvas	4	XGBClassifier	MACCS	Accuracy	0.5727
Secondary	PRR	Cvas	0	XGBClassifier	MACCS	Recall	0.63695
Secondary	PRR	Cvas	3	XGBClassifier	MACCS	Recall	0.57532
Secondary	PRR	Cvas	1	XGBClassifier	MACCS	Recall	0.56341
Secondary	PRR	Cvas	2	XGBClassifier	MACCS	Recall	0.55387
Secondary	PRR	Cvas	4	XGBClassifier	MACCS	Recall	0.5457
Secondary	ROR	Cvas	0	XGBClassifier	MACCS	Recall	0.47164
Secondary	ROR	Cvas	3	XGBClassifier	MACCS	Recall	0.40369
Secondary	ROR	Cvas	1	XGBClassifier	MACCS	Recall	0.4313
Secondary	ROR	Cvas	2	XGBClassifier	MACCS	Recall	0.33674
Secondary	ROR	Cvas	4	XGBClassifier	MACCS	Recall	0.31813
Secondary	IC	Cvas	0	XGBClassifier	MACCS	Recall	0.82323
Secondary	IC	Cvas	3	XGBClassifier	MACCS	Recall	0.76602
Secondary	IC	Cvas	1	XGBClassifier	MACCS	Recall	0.73089
Secondary	IC	Cvas	2	XGBClassifier	MACCS	Recall	0.72616
Secondary	IC	Cvas	4	XGBClassifier	MACCS	Recall	0.72537
Secondary	PRR	Cvas	0	XGBClassifier	MACCS	Specificity	0.54674
Secondary	PRR	Cvas	3	XGBClassifier	MACCS	Specificity	0.55212
Secondary	PRR	Cvas	1	XGBClassifier	MACCS	Specificity	0.54437
Secondary	PRR	Cvas	2	XGBClassifier	MACCS	Specificity	0.56975
Secondary	PRR	Cvas	4	XGBClassifier	MACCS	Specificity	0.56155
Secondary	ROR	Cvas	0	XGBClassifier	MACCS	Specificity	0.67114
Secondary	ROR	Cvas	3	XGBClassifier	MACCS	Specificity	0.66094
Secondary	ROR	Cvas	1	XGBClassifier	MACCS	Specificity	0.6757
Secondary	ROR	Cvas	2	XGBClassifier	MACCS	Specificity	0.74414
Secondary	ROR	Cvas	4	XGBClassifier	MACCS	Specificity	0.75626
Secondary	IC	Cvas	0	XGBClassifier	MACCS	Specificity	0.29237
Secondary	IC	Cvas	3	XGBClassifier	MACCS	Specificity	0.32102
