Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cvas	2	XGBClassifier	RDKit	Balanced Accuracy	0.56851
Secondary	PRR	Cvas	3	XGBClassifier	RDKit	Balanced Accuracy	0.54103
Secondary	PRR	Cvas	1	XGBClassifier	RDKit	Balanced Accuracy	0.55213
Secondary	PRR	Cvas	4	XGBClassifier	RDKit	Balanced Accuracy	0.56911
Secondary	PRR	Cvas	0	XGBClassifier	RDKit	Balanced Accuracy	0.56871
Secondary	ROR	Cvas	2	XGBClassifier	RDKit	Balanced Accuracy	0.55032
Secondary	ROR	Cvas	3	XGBClassifier	RDKit	Balanced Accuracy	0.52034
Secondary	ROR	Cvas	1	XGBClassifier	RDKit	Balanced Accuracy	0.53106
Secondary	ROR	Cvas	4	XGBClassifier	RDKit	Balanced Accuracy	0.55096
Secondary	ROR	Cvas	0	XGBClassifier	RDKit	Balanced Accuracy	0.5542
Secondary	IC	Cvas	2	XGBClassifier	RDKit	Balanced Accuracy	0.55898
Secondary	IC	Cvas	3	XGBClassifier	RDKit	Balanced Accuracy	0.52582
Secondary	IC	Cvas	1	XGBClassifier	RDKit	Balanced Accuracy	0.53503
Secondary	IC	Cvas	4	XGBClassifier	RDKit	Balanced Accuracy	0.55564
Secondary	IC	Cvas	0	XGBClassifier	RDKit	Balanced Accuracy	0.54504
Secondary	PRR	Cvas	2	XGBClassifier	RDKit	GeomRS	0.56808
Secondary	PRR	Cvas	3	XGBClassifier	RDKit	GeomRS	0.53786
Secondary	PRR	Cvas	1	XGBClassifier	RDKit	GeomRS	0.55143
Secondary	PRR	Cvas	4	XGBClassifier	RDKit	GeomRS	0.56789
Secondary	PRR	Cvas	0	XGBClassifier	RDKit	GeomRS	0.56512
Secondary	ROR	Cvas	2	XGBClassifier	RDKit	GeomRS	0.54518
Secondary	ROR	Cvas	3	XGBClassifier	RDKit	GeomRS	0.51487
Secondary	ROR	Cvas	1	XGBClassifier	RDKit	GeomRS	0.53086
Secondary	ROR	Cvas	4	XGBClassifier	RDKit	GeomRS	0.53216
Secondary	ROR	Cvas	0	XGBClassifier	RDKit	GeomRS	0.54474
Secondary	IC	Cvas	2	XGBClassifier	RDKit	GeomRS	0.52791
Secondary	IC	Cvas	3	XGBClassifier	RDKit	GeomRS	0.47667
Secondary	IC	Cvas	1	XGBClassifier	RDKit	GeomRS	0.50428
Secondary	IC	Cvas	4	XGBClassifier	RDKit	GeomRS	0.52702
Secondary	IC	Cvas	0	XGBClassifier	RDKit	GeomRS	0.47694
Secondary	PRR	Cvas	2	XGBClassifier	RDKit	HarmRS	0.56765
Secondary	PRR	Cvas	3	XGBClassifier	RDKit	HarmRS	0.5347
Secondary	PRR	Cvas	1	XGBClassifier	RDKit	HarmRS	0.55073
Secondary	PRR	Cvas	4	XGBClassifier	RDKit	HarmRS	0.56667
Secondary	PRR	Cvas	0	XGBClassifier	RDKit	HarmRS	0.56156
Secondary	ROR	Cvas	2	XGBClassifier	RDKit	HarmRS	0.54009
Secondary	ROR	Cvas	3	XGBClassifier	RDKit	HarmRS	0.50945
Secondary	ROR	Cvas	1	XGBClassifier	RDKit	HarmRS	0.53066
Secondary	ROR	Cvas	4	XGBClassifier	RDKit	HarmRS	0.51401
Secondary	ROR	Cvas	0	XGBClassifier	RDKit	HarmRS	0.53544
Secondary	IC	Cvas	2	XGBClassifier	RDKit	HarmRS	0.49856
Secondary	IC	Cvas	3	XGBClassifier	RDKit	HarmRS	0.43211
Secondary	IC	Cvas	1	XGBClassifier	RDKit	HarmRS	0.47529
Secondary	IC	Cvas	4	XGBClassifier	RDKit	HarmRS	0.49988
Secondary	IC	Cvas	0	XGBClassifier	RDKit	HarmRS	0.41735
Secondary	PRR	Cvas	2	XGBClassifier	RDKit	F1 Score	0.62368
Secondary	PRR	Cvas	3	XGBClassifier	RDKit	F1 Score	0.60354
Secondary	PRR	Cvas	1	XGBClassifier	RDKit	F1 Score	0.58623
Secondary	PRR	Cvas	4	XGBClassifier	RDKit	F1 Score	0.61687
Secondary	PRR	Cvas	0	XGBClassifier	RDKit	F1 Score	0.62869
Secondary	ROR	Cvas	2	XGBClassifier	RDKit	F1 Score	0.55076
Secondary	ROR	Cvas	3	XGBClassifier	RDKit	F1 Score	0.50932
Secondary	ROR	Cvas	1	XGBClassifier	RDKit	F1 Score	0.57301
Secondary	ROR	Cvas	4	XGBClassifier	RDKit	F1 Score	0.49682
Secondary	ROR	Cvas	0	XGBClassifier	RDKit	F1 Score	0.52711
Secondary	IC	Cvas	2	XGBClassifier	RDKit	F1 Score	0.68748
