Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Cred	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.51405
Mono	IC	Cred	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.58311
Mono	IC	Cred	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.52169
Mono	IC	Cred	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.59672
Mono	IC	Cred	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.56655
Mono	IC	Card	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.5229
Mono	IC	Card	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.5712
Mono	IC	Card	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.55194
Mono	IC	Card	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.62455
Mono	IC	Card	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.59964
Mono	IC	Cvas	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.54101
Mono	IC	Cvas	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.5546
Mono	IC	Cvas	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.57117
Mono	IC	Cvas	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.62557
Mono	IC	Cvas	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.545
Mono	IC	Cred	1	RandomForestClassifier	MACCS	GeomRS	0.51318
Mono	IC	Cred	4	RandomForestClassifier	MACCS	GeomRS	0.57993
Mono	IC	Cred	3	RandomForestClassifier	MACCS	GeomRS	0.52093
Mono	IC	Cred	2	RandomForestClassifier	MACCS	GeomRS	0.56706
Mono	IC	Cred	0	RandomForestClassifier	MACCS	GeomRS	0.5657
Mono	IC	Card	1	RandomForestClassifier	MACCS	GeomRS	0.52162
Mono	IC	Card	4	RandomForestClassifier	MACCS	GeomRS	0.56901
Mono	IC	Card	3	RandomForestClassifier	MACCS	GeomRS	0.5492
Mono	IC	Card	2	RandomForestClassifier	MACCS	GeomRS	0.6082
Mono	IC	Card	0	RandomForestClassifier	MACCS	GeomRS	0.5962
Mono	IC	Cvas	1	RandomForestClassifier	MACCS	GeomRS	0.54089
Mono	IC	Cvas	4	RandomForestClassifier	MACCS	GeomRS	0.49168
Mono	IC	Cvas	3	RandomForestClassifier	MACCS	GeomRS	0.56875
Mono	IC	Cvas	2	RandomForestClassifier	MACCS	GeomRS	0.60557
Mono	IC	Cvas	0	RandomForestClassifier	MACCS	GeomRS	0.51094
Mono	IC	Cred	1	RandomForestClassifier	MACCS	HarmRS	0.51231
Mono	IC	Cred	4	RandomForestClassifier	MACCS	HarmRS	0.57676
Mono	IC	Cred	3	RandomForestClassifier	MACCS	HarmRS	0.52016
Mono	IC	Cred	2	RandomForestClassifier	MACCS	HarmRS	0.53888
Mono	IC	Cred	0	RandomForestClassifier	MACCS	HarmRS	0.56485
Mono	IC	Card	1	RandomForestClassifier	MACCS	HarmRS	0.52034
Mono	IC	Card	4	RandomForestClassifier	MACCS	HarmRS	0.56684
Mono	IC	Card	3	RandomForestClassifier	MACCS	HarmRS	0.54647
Mono	IC	Card	2	RandomForestClassifier	MACCS	HarmRS	0.59228
Mono	IC	Card	0	RandomForestClassifier	MACCS	HarmRS	0.59279
Mono	IC	Cvas	1	RandomForestClassifier	MACCS	HarmRS	0.54078
Mono	IC	Cvas	4	RandomForestClassifier	MACCS	HarmRS	0.43589
Mono	IC	Cvas	3	RandomForestClassifier	MACCS	HarmRS	0.56634
Mono	IC	Cvas	2	RandomForestClassifier	MACCS	HarmRS	0.58621
Mono	IC	Cvas	0	RandomForestClassifier	MACCS	HarmRS	0.47901
Mono	IC	Cred	1	RandomForestClassifier	MACCS	F1 Score	0.54759
Mono	IC	Cred	4	RandomForestClassifier	MACCS	F1 Score	0.65545
Mono	IC	Cred	3	RandomForestClassifier	MACCS	F1 Score	0.54738
Mono	IC	Cred	2	RandomForestClassifier	MACCS	F1 Score	0.71334
