Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	1	LogisticRegression	Klek	Balanced Accuracy	0.52859
Mono	PRR	Cred	4	LogisticRegression	Klek	Balanced Accuracy	0.64004
Mono	PRR	Cred	3	LogisticRegression	Klek	Balanced Accuracy	0.56627
Mono	PRR	Cred	2	LogisticRegression	Klek	Balanced Accuracy	0.59288
Mono	PRR	Cred	0	LogisticRegression	Klek	Balanced Accuracy	0.51751
Mono	PRR	Card	1	LogisticRegression	Klek	Balanced Accuracy	0.52783
Mono	PRR	Card	4	LogisticRegression	Klek	Balanced Accuracy	0.56941
Mono	PRR	Card	3	LogisticRegression	Klek	Balanced Accuracy	0.54406
Mono	PRR	Card	2	LogisticRegression	Klek	Balanced Accuracy	0.63011
Mono	PRR	Card	0	LogisticRegression	Klek	Balanced Accuracy	0.54083
Mono	PRR	Cvas	1	LogisticRegression	Klek	Balanced Accuracy	0.52708
Mono	PRR	Cvas	4	LogisticRegression	Klek	Balanced Accuracy	0.57756
Mono	PRR	Cvas	3	LogisticRegression	Klek	Balanced Accuracy	0.58973
Mono	PRR	Cvas	2	LogisticRegression	Klek	Balanced Accuracy	0.59358
Mono	PRR	Cvas	0	LogisticRegression	Klek	Balanced Accuracy	0.53493
Mono	PRR	Cred	1	LogisticRegression	Klek	GeomRS	0.51972
Mono	PRR	Cred	4	LogisticRegression	Klek	GeomRS	0.63572
Mono	PRR	Cred	3	LogisticRegression	Klek	GeomRS	0.53717
Mono	PRR	Cred	2	LogisticRegression	Klek	GeomRS	0.59252
Mono	PRR	Cred	0	LogisticRegression	Klek	GeomRS	0.50361
Mono	PRR	Card	1	LogisticRegression	Klek	GeomRS	0.51989
Mono	PRR	Card	4	LogisticRegression	Klek	GeomRS	0.56803
Mono	PRR	Card	3	LogisticRegression	Klek	GeomRS	0.51354
Mono	PRR	Card	2	LogisticRegression	Klek	GeomRS	0.63005
Mono	PRR	Card	0	LogisticRegression	Klek	GeomRS	0.52023
Mono	PRR	Cvas	1	LogisticRegression	Klek	GeomRS	0.51197
Mono	PRR	Cvas	4	LogisticRegression	Klek	GeomRS	0.57422
Mono	PRR	Cvas	3	LogisticRegression	Klek	GeomRS	0.57155
Mono	PRR	Cvas	2	LogisticRegression	Klek	GeomRS	0.58475
Mono	PRR	Cvas	0	LogisticRegression	Klek	GeomRS	0.53063
Mono	PRR	Cred	1	LogisticRegression	Klek	HarmRS	0.511
Mono	PRR	Cred	4	LogisticRegression	Klek	HarmRS	0.63143
Mono	PRR	Cred	3	LogisticRegression	Klek	HarmRS	0.50958
Mono	PRR	Cred	2	LogisticRegression	Klek	HarmRS	0.59215
Mono	PRR	Cred	0	LogisticRegression	Klek	HarmRS	0.49009
Mono	PRR	Card	1	LogisticRegression	Klek	HarmRS	0.51207
Mono	PRR	Card	4	LogisticRegression	Klek	HarmRS	0.56666
Mono	PRR	Card	3	LogisticRegression	Klek	HarmRS	0.48473
Mono	PRR	Card	2	LogisticRegression	Klek	HarmRS	0.62998
Mono	PRR	Card	0	LogisticRegression	Klek	HarmRS	0.50041
Mono	PRR	Cvas	1	LogisticRegression	Klek	HarmRS	0.49729
Mono	PRR	Cvas	4	LogisticRegression	Klek	HarmRS	0.57091
Mono	PRR	Cvas	3	LogisticRegression	Klek	HarmRS	0.55394
Mono	PRR	Cvas	2	LogisticRegression	Klek	HarmRS	0.57604
Mono	PRR	Cvas	0	LogisticRegression	Klek	HarmRS	0.52637
Mono	PRR	Cred	1	LogisticRegression	Klek	F1 Score	0.51891
Mono	PRR	Cred	4	LogisticRegression	Klek	F1 Score	0.64376
Mono	PRR	Cred	3	LogisticRegression	Klek	F1 Score	0.4956
Mono	PRR	Cred	2	LogisticRegression	Klek	F1 Score	0.64172
Mono	PRR	Cred	0	LogisticRegression	Klek	F1 Score	0.4848
Mono	PRR	Card	1	LogisticRegression	Klek	F1 Score	0.5217
Mono	PRR	Card	4	LogisticRegression	Klek	F1 Score	0.63276
Mono	PRR	Card	3	LogisticRegression	Klek	F1 Score	0.46887
Mono	PRR	Card	2	LogisticRegression	Klek	F1 Score	0.67153
Mono	PRR	Card	0	LogisticRegression	Klek	F1 Score	0.49031
Mono	PRR	Cvas	1	LogisticRegression	Klek	F1 Score	0.49656
Mono	PRR	Cvas	4	LogisticRegression	Klek	F1 Score	0.58662
Mono	PRR	Cvas	3	LogisticRegression	Klek	F1 Score	0.54646
Mono	PRR	Cvas	2	LogisticRegression	Klek	F1 Score	0.67841
Mono	PRR	Cvas	0	LogisticRegression	Klek	F1 Score	0.53852
Mono	PRR	Cred	1	LogisticRegression	Klek	ROC AUC	0.5605
