Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	1	LogisticRegression	RDKit	Balanced Accuracy	0.497
Mono	PRR	Cred	4	LogisticRegression	RDKit	Balanced Accuracy	0.59166
Mono	PRR	Cred	3	LogisticRegression	RDKit	Balanced Accuracy	0.52677
Mono	PRR	Cred	2	LogisticRegression	RDKit	Balanced Accuracy	0.60979
Mono	PRR	Cred	0	LogisticRegression	RDKit	Balanced Accuracy	0.52447
Mono	PRR	Card	1	LogisticRegression	RDKit	Balanced Accuracy	0.49534
Mono	PRR	Card	4	LogisticRegression	RDKit	Balanced Accuracy	0.5705
Mono	PRR	Card	3	LogisticRegression	RDKit	Balanced Accuracy	0.54073
Mono	PRR	Card	2	LogisticRegression	RDKit	Balanced Accuracy	0.60694
Mono	PRR	Card	0	LogisticRegression	RDKit	Balanced Accuracy	0.50989
Mono	PRR	Cvas	1	LogisticRegression	RDKit	Balanced Accuracy	0.50982
Mono	PRR	Cvas	4	LogisticRegression	RDKit	Balanced Accuracy	0.54808
Mono	PRR	Cvas	3	LogisticRegression	RDKit	Balanced Accuracy	0.53396
Mono	PRR	Cvas	2	LogisticRegression	RDKit	Balanced Accuracy	0.59807
Mono	PRR	Cvas	0	LogisticRegression	RDKit	Balanced Accuracy	0.48995
Mono	PRR	Cred	1	LogisticRegression	RDKit	GeomRS	0.46885
Mono	PRR	Cred	4	LogisticRegression	RDKit	GeomRS	0.58859
Mono	PRR	Cred	3	LogisticRegression	RDKit	GeomRS	0.52507
Mono	PRR	Cred	2	LogisticRegression	RDKit	GeomRS	0.60494
Mono	PRR	Cred	0	LogisticRegression	RDKit	GeomRS	0.52439
Mono	PRR	Card	1	LogisticRegression	RDKit	GeomRS	0.48283
Mono	PRR	Card	4	LogisticRegression	RDKit	GeomRS	0.56853
Mono	PRR	Card	3	LogisticRegression	RDKit	GeomRS	0.53968
Mono	PRR	Card	2	LogisticRegression	RDKit	GeomRS	0.60389
Mono	PRR	Card	0	LogisticRegression	RDKit	GeomRS	0.50828
Mono	PRR	Cvas	1	LogisticRegression	RDKit	GeomRS	0.49824
Mono	PRR	Cvas	4	LogisticRegression	RDKit	GeomRS	0.54726
Mono	PRR	Cvas	3	LogisticRegression	RDKit	GeomRS	0.53035
Mono	PRR	Cvas	2	LogisticRegression	RDKit	GeomRS	0.59668
Mono	PRR	Cvas	0	LogisticRegression	RDKit	GeomRS	0.48783
Mono	PRR	Cred	1	LogisticRegression	RDKit	HarmRS	0.44229
Mono	PRR	Cred	4	LogisticRegression	RDKit	HarmRS	0.58553
Mono	PRR	Cred	3	LogisticRegression	RDKit	HarmRS	0.52337
Mono	PRR	Cred	2	LogisticRegression	RDKit	HarmRS	0.60012
Mono	PRR	Cred	0	LogisticRegression	RDKit	HarmRS	0.52432
Mono	PRR	Card	1	LogisticRegression	RDKit	HarmRS	0.47064
