Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.54467
Mono	PRR	Cred	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.55737
Mono	PRR	Cred	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.49435
Mono	PRR	Cred	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.59757
Mono	PRR	Cred	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.53667
Mono	PRR	Card	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.55744
Mono	PRR	Card	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.56642
Mono	PRR	Card	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.48875
Mono	PRR	Card	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.62959
Mono	PRR	Card	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.56546
Mono	PRR	Cvas	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.56926
Mono	PRR	Cvas	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.60724
Mono	PRR	Cvas	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.54447
Mono	PRR	Cvas	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.60058
Mono	PRR	Cvas	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.54357
Mono	PRR	Cred	1	RandomForestClassifier	RDKit	GeomRS	0.53889
Mono	PRR	Cred	4	RandomForestClassifier	RDKit	GeomRS	0.55614
Mono	PRR	Cred	3	RandomForestClassifier	RDKit	GeomRS	0.49111
Mono	PRR	Cred	2	RandomForestClassifier	RDKit	GeomRS	0.59058
Mono	PRR	Cred	0	RandomForestClassifier	RDKit	GeomRS	0.53667
Mono	PRR	Card	1	RandomForestClassifier	RDKit	GeomRS	0.55208
Mono	PRR	Card	4	RandomForestClassifier	RDKit	GeomRS	0.56017
Mono	PRR	Card	3	RandomForestClassifier	RDKit	GeomRS	0.47942
Mono	PRR	Card	2	RandomForestClassifier	RDKit	GeomRS	0.61841
Mono	PRR	Card	0	RandomForestClassifier	RDKit	GeomRS	0.56523
Mono	PRR	Cvas	1	RandomForestClassifier	RDKit	GeomRS	0.56774
Mono	PRR	Cvas	4	RandomForestClassifier	RDKit	GeomRS	0.60724
Mono	PRR	Cvas	3	RandomForestClassifier	RDKit	GeomRS	0.54141
Mono	PRR	Cvas	2	RandomForestClassifier	RDKit	GeomRS	0.60012
Mono	PRR	Cvas	0	RandomForestClassifier	RDKit	GeomRS	0.54087
Mono	PRR	Cred	1	RandomForestClassifier	RDKit	HarmRS	0.53317
Mono	PRR	Cred	4	RandomForestClassifier	RDKit	HarmRS	0.55491
Mono	PRR	Cred	3	RandomForestClassifier	RDKit	HarmRS	0.4879
Mono	PRR	Cred	2	RandomForestClassifier	RDKit	HarmRS	0.58368
Mono	PRR	Cred	0	RandomForestClassifier	RDKit	HarmRS	0.53667
Mono	PRR	Card	1	RandomForestClassifier	RDKit	HarmRS	0.54678
Mono	PRR	Card	4	RandomForestClassifier	RDKit	HarmRS	0.55399
Mono	PRR	Card	3	RandomForestClassifier	RDKit	HarmRS	0.47026
Mono	PRR	Card	2	RandomForestClassifier	RDKit	HarmRS	0.60742
Mono	PRR	Card	0	RandomForestClassifier	RDKit	HarmRS	0.56501
Mono	PRR	Cvas	1	RandomForestClassifier	RDKit	HarmRS	0.56624
Mono	PRR	Cvas	4	RandomForestClassifier	RDKit	HarmRS	0.60724
Mono	PRR	Cvas	3	RandomForestClassifier	RDKit	HarmRS	0.53838
Mono	PRR	Cvas	2	RandomForestClassifier	RDKit	HarmRS	0.59966
Mono	PRR	Cvas	0	RandomForestClassifier	RDKit	HarmRS	0.53819
Mono	PRR	Cred	1	RandomForestClassifier	RDKit	F1 Score	0.54775
Mono	PRR	Cred	4	RandomForestClassifier	RDKit	F1 Score	0.62023
Mono	PRR	Cred	3	RandomForestClassifier	RDKit	F1 Score	0.50137
Mono	PRR	Cred	2	RandomForestClassifier	RDKit	F1 Score	0.67738
Mono	PRR	Cred	0	RandomForestClassifier	RDKit	F1 Score	0.5805
Mono	PRR	Card	1	RandomForestClassifier	RDKit	F1 Score	0.5625
Mono	PRR	Card	4	RandomForestClassifier	RDKit	F1 Score	0.65097
Mono	PRR	Card	3	RandomForestClassifier	RDKit	F1 Score	0.46871
Mono	PRR	Card	2	RandomForestClassifier	RDKit	F1 Score	0.7159
Mono	PRR	Card	0	RandomForestClassifier	RDKit	F1 Score	0.61676
Mono	PRR	Cvas	1	RandomForestClassifier	RDKit	F1 Score	0.59631
Mono	PRR	Cvas	4	RandomForestClassifier	RDKit	F1 Score	0.64806
Mono	PRR	Cvas	3	RandomForestClassifier	RDKit	F1 Score	0.5531
Mono	PRR	Cvas	2	RandomForestClassifier	RDKit	F1 Score	0.65025
Mono	PRR	Cvas	0	RandomForestClassifier	RDKit	F1 Score	0.55598
Mono	PRR	Cred	1	RandomForestClassifier	RDKit	ROC AUC	0.57457
Mono	PRR	Cred	4	RandomForestClassifier	RDKit	ROC AUC	0.59628
Mono	PRR	Cred	3	RandomForestClassifier	RDKit	ROC AUC	0.53368
Mono	PRR	Cred	2	RandomForestClassifier	RDKit	ROC AUC	0.65296
Mono	PRR	Cred	0	RandomForestClassifier	RDKit	ROC AUC	0.56487
Mono	PRR	Card	1	RandomForestClassifier	RDKit	ROC AUC	0.59991
Mono	PRR	Card	4	RandomForestClassifier	RDKit	ROC AUC	0.60697
Mono	PRR	Card	3	RandomForestClassifier	RDKit	ROC AUC	0.51748
Mono	PRR	Card	2	RandomForestClassifier	RDKit	ROC AUC	0.69659
Mono	PRR	Card	0	RandomForestClassifier	RDKit	ROC AUC	0.58692
Mono	PRR	Cvas	1	RandomForestClassifier	RDKit	ROC AUC	0.58973
Mono	PRR	Cvas	4	RandomForestClassifier	RDKit	ROC AUC	0.63432
Mono	PRR	Cvas	3	RandomForestClassifier	RDKit	ROC AUC	0.57355
Mono	PRR	Cvas	2	RandomForestClassifier	RDKit	ROC AUC	0.64485
Mono	PRR	Cvas	0	RandomForestClassifier	RDKit	ROC AUC	0.57669
Mono	PRR	Cred	1	RandomForestClassifier	RDKit	MCC	0.08772
Mono	PRR	Cred	4	RandomForestClassifier	RDKit	MCC	0.11304
Mono	PRR	Cred	3	RandomForestClassifier	RDKit	MCC	-0.01118
Mono	PRR	Cred	2	RandomForestClassifier	RDKit	MCC	0.19672
Mono	PRR	Cred	0	RandomForestClassifier	RDKit	MCC	0.07195
Mono	PRR	Card	1	RandomForestClassifier	RDKit	MCC	0.11265
Mono	PRR	Card	4	RandomForestClassifier	RDKit	MCC	0.13279
Mono	PRR	Card	3	RandomForestClassifier	RDKit	MCC	-0.02253
Mono	PRR	Card	2	RandomForestClassifier	RDKit	MCC	0.26588
Mono	PRR	Card	0	RandomForestClassifier	RDKit	MCC	0.12863
Mono	PRR	Cvas	1	RandomForestClassifier	RDKit	MCC	0.13489
Mono	PRR	Cvas	4	RandomForestClassifier	RDKit	MCC	0.21047
Mono	PRR	Cvas	3	RandomForestClassifier	RDKit	MCC	0.08783
Mono	PRR	Cvas	2	RandomForestClassifier	RDKit	MCC	0.19864
Mono	PRR	Cvas	0	RandomForestClassifier	RDKit	MCC	0.08583
Mono	PRR	Cred	1	RandomForestClassifier	RDKit	Accuracy	0.52627
Mono	PRR	Cred	4	RandomForestClassifier	RDKit	Accuracy	0.56464
Mono	PRR	Cred	3	RandomForestClassifier	RDKit	Accuracy	0.48389
Mono	PRR	Cred	2	RandomForestClassifier	RDKit	Accuracy	0.61375
Mono	PRR	Cred	0	RandomForestClassifier	RDKit	Accuracy	0.53669
Mono	PRR	Card	1	RandomForestClassifier	RDKit	Accuracy	0.53952
Mono	PRR	Card	4	RandomForestClassifier	RDKit	Accuracy	0.58289
Mono	PRR	Card	3	RandomForestClassifier	RDKit	Accuracy	0.47115
Mono	PRR	Card	2	RandomForestClassifier	RDKit	Accuracy	0.65057
Mono	PRR	Card	0	RandomForestClassifier	RDKit	Accuracy	0.56855
Mono	PRR	Cvas	1	RandomForestClassifier	RDKit	Accuracy	0.55962
Mono	PRR	Cvas	4	RandomForestClassifier	RDKit	Accuracy	0.60684
Mono	PRR	Cvas	3	RandomForestClassifier	RDKit	Accuracy	0.53381
Mono	PRR	Cvas	2	RandomForestClassifier	RDKit	Accuracy	0.60475
Mono	PRR	Cvas	0	RandomForestClassifier	RDKit	Accuracy	0.53306
Mono	PRR	Cred	1	RandomForestClassifier	RDKit	Recall	0.46553
Mono	PRR	Cred	4	RandomForestClassifier	RDKit	Recall	0.59441
Mono	PRR	Cred	3	RandomForestClassifier	RDKit	Recall	0.43787
