Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	1	XGBClassifier	Klek	Balanced Accuracy	0.55204
Mono	PRR	Cred	4	XGBClassifier	Klek	Balanced Accuracy	0.61243
Mono	PRR	Cred	3	XGBClassifier	Klek	Balanced Accuracy	0.57662
Mono	PRR	Cred	2	XGBClassifier	Klek	Balanced Accuracy	0.60989
Mono	PRR	Cred	0	XGBClassifier	Klek	Balanced Accuracy	0.53977
Mono	PRR	Card	1	XGBClassifier	Klek	Balanced Accuracy	0.55418
Mono	PRR	Card	4	XGBClassifier	Klek	Balanced Accuracy	0.60599
Mono	PRR	Card	3	XGBClassifier	Klek	Balanced Accuracy	0.59839
Mono	PRR	Card	2	XGBClassifier	Klek	Balanced Accuracy	0.61078
Mono	PRR	Card	0	XGBClassifier	Klek	Balanced Accuracy	0.54179
Mono	PRR	Cvas	1	XGBClassifier	Klek	Balanced Accuracy	0.53546
Mono	PRR	Cvas	4	XGBClassifier	Klek	Balanced Accuracy	0.59668
Mono	PRR	Cvas	3	XGBClassifier	Klek	Balanced Accuracy	0.58705
Mono	PRR	Cvas	2	XGBClassifier	Klek	Balanced Accuracy	0.58963
Mono	PRR	Cvas	0	XGBClassifier	Klek	Balanced Accuracy	0.55496
Mono	PRR	Cred	1	XGBClassifier	Klek	GeomRS	0.51011
Mono	PRR	Cred	4	XGBClassifier	Klek	GeomRS	0.60541
Mono	PRR	Cred	3	XGBClassifier	Klek	GeomRS	0.56959
Mono	PRR	Cred	2	XGBClassifier	Klek	GeomRS	0.60237
Mono	PRR	Cred	0	XGBClassifier	Klek	GeomRS	0.53807
Mono	PRR	Card	1	XGBClassifier	Klek	GeomRS	0.49957
Mono	PRR	Card	4	XGBClassifier	Klek	GeomRS	0.60082
Mono	PRR	Card	3	XGBClassifier	Klek	GeomRS	0.58857
Mono	PRR	Card	2	XGBClassifier	Klek	GeomRS	0.6107
Mono	PRR	Card	0	XGBClassifier	Klek	GeomRS	0.54009
Mono	PRR	Cvas	1	XGBClassifier	Klek	GeomRS	0.5118
Mono	PRR	Cvas	4	XGBClassifier	Klek	GeomRS	0.58627
Mono	PRR	Cvas	3	XGBClassifier	Klek	GeomRS	0.58377
Mono	PRR	Cvas	2	XGBClassifier	Klek	GeomRS	0.57536
Mono	PRR	Cvas	0	XGBClassifier	Klek	GeomRS	0.55206
Mono	PRR	Cred	1	XGBClassifier	Klek	HarmRS	0.47136
Mono	PRR	Cred	4	XGBClassifier	Klek	HarmRS	0.59848
Mono	PRR	Cred	3	XGBClassifier	Klek	HarmRS	0.56264
Mono	PRR	Cred	2	XGBClassifier	Klek	HarmRS	0.59495
Mono	PRR	Cred	0	XGBClassifier	Klek	HarmRS	0.53638
Mono	PRR	Card	1	XGBClassifier	Klek	HarmRS	0.45035
Mono	PRR	Card	4	XGBClassifier	Klek	HarmRS	0.5957
Mono	PRR	Card	3	XGBClassifier	Klek	HarmRS	0.57892
Mono	PRR	Card	2	XGBClassifier	Klek	HarmRS	0.61063
