Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Cred	1	LogisticRegression	CDDD	Balanced Accuracy	0.53216
Mono	ROR	Cred	4	LogisticRegression	CDDD	Balanced Accuracy	0.50196
Mono	ROR	Cred	3	LogisticRegression	CDDD	Balanced Accuracy	0.53216
Mono	ROR	Cred	2	LogisticRegression	CDDD	Balanced Accuracy	0.62303
Mono	ROR	Cred	0	LogisticRegression	CDDD	Balanced Accuracy	0.50164
Mono	ROR	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.51665
Mono	ROR	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.56224
Mono	ROR	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.51322
Mono	ROR	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.57789
Mono	ROR	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.53888
Mono	ROR	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.56674
Mono	ROR	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.54244
Mono	ROR	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.51556
Mono	ROR	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.57281
Mono	ROR	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.53483
Mono	ROR	Cred	1	LogisticRegression	CDDD	GeomRS	0.50824
Mono	ROR	Cred	4	LogisticRegression	CDDD	GeomRS	0.50194
Mono	ROR	Cred	3	LogisticRegression	CDDD	GeomRS	0.50388
Mono	ROR	Cred	2	LogisticRegression	CDDD	GeomRS	0.6194
Mono	ROR	Cred	0	LogisticRegression	CDDD	GeomRS	0.5016
Mono	ROR	Card	1	LogisticRegression	CDDD	GeomRS	0.50776
Mono	ROR	Card	4	LogisticRegression	CDDD	GeomRS	0.55796
Mono	ROR	Card	3	LogisticRegression	CDDD	GeomRS	0.48649
Mono	ROR	Card	2	LogisticRegression	CDDD	GeomRS	0.56944
Mono	ROR	Card	0	LogisticRegression	CDDD	GeomRS	0.53776
Mono	ROR	Cvas	1	LogisticRegression	CDDD	GeomRS	0.55678
Mono	ROR	Cvas	4	LogisticRegression	CDDD	GeomRS	0.54212
Mono	ROR	Cvas	3	LogisticRegression	CDDD	GeomRS	0.49817
Mono	ROR	Cvas	2	LogisticRegression	CDDD	GeomRS	0.56562
Mono	ROR	Cvas	0	LogisticRegression	CDDD	GeomRS	0.53005
Mono	ROR	Cred	1	LogisticRegression	CDDD	HarmRS	0.4854
Mono	ROR	Cred	4	LogisticRegression	CDDD	HarmRS	0.50192
Mono	ROR	Cred	3	LogisticRegression	CDDD	HarmRS	0.47709
Mono	ROR	Cred	2	LogisticRegression	CDDD	HarmRS	0.61579
Mono	ROR	Cred	0	LogisticRegression	CDDD	HarmRS	0.50156
Mono	ROR	Card	1	LogisticRegression	CDDD	HarmRS	0.49902
Mono	ROR	Card	4	LogisticRegression	CDDD	HarmRS	0.55371
Mono	ROR	Card	3	LogisticRegression	CDDD	HarmRS	0.46115
Mono	ROR	Card	2	LogisticRegression	CDDD	HarmRS	0.56111
Mono	ROR	Card	0	LogisticRegression	CDDD	HarmRS	0.53665
Mono	ROR	Cvas	1	LogisticRegression	CDDD	HarmRS	0.54701
Mono	ROR	Cvas	4	LogisticRegression	CDDD	HarmRS	0.5418
Mono	ROR	Cvas	3	LogisticRegression	CDDD	HarmRS	0.48137
Mono	ROR	Cvas	2	LogisticRegression	CDDD	HarmRS	0.55853
Mono	ROR	Cvas	0	LogisticRegression	CDDD	HarmRS	0.52532
Mono	ROR	Cred	1	LogisticRegression	CDDD	F1 Score	0.47314
Mono	ROR	Cred	4	LogisticRegression	CDDD	F1 Score	0.54449
Mono	ROR	Cred	3	LogisticRegression	CDDD	F1 Score	0.45807
Mono	ROR	Cred	2	LogisticRegression	CDDD	F1 Score	0.68347
Mono	ROR	Cred	0	LogisticRegression	CDDD	F1 Score	0.54416
Mono	ROR	Card	1	LogisticRegression	CDDD	F1 Score	0.50093
Mono	ROR	Card	4	LogisticRegression	CDDD	F1 Score	0.63528
Mono	ROR	Card	3	LogisticRegression	CDDD	F1 Score	0.44156
Mono	ROR	Card	2	LogisticRegression	CDDD	F1 Score	0.65585
Mono	ROR	Card	0	LogisticRegression	CDDD	F1 Score	0.55801
Mono	ROR	Cvas	1	LogisticRegression	CDDD	F1 Score	0.54849
Mono	ROR	Cvas	4	LogisticRegression	CDDD	F1 Score	0.59179
Mono	ROR	Cvas	3	LogisticRegression	CDDD	F1 Score	0.46745
Mono	ROR	Cvas	2	LogisticRegression	CDDD	F1 Score	0.64796
Mono	ROR	Cvas	0	LogisticRegression	CDDD	F1 Score	0.53178
Mono	ROR	Cred	1	LogisticRegression	CDDD	ROC AUC	0.53355
Mono	ROR	Cred	4	LogisticRegression	CDDD	ROC AUC	0.52372
Mono	ROR	Cred	3	LogisticRegression	CDDD	ROC AUC	0.50013
Mono	ROR	Cred	2	LogisticRegression	CDDD	ROC AUC	0.65082
Mono	ROR	Cred	0	LogisticRegression	CDDD	ROC AUC	0.51438
Mono	ROR	Card	1	LogisticRegression	CDDD	ROC AUC	0.5423
Mono	ROR	Card	4	LogisticRegression	CDDD	ROC AUC	0.59893
Mono	ROR	Card	3	LogisticRegression	CDDD	ROC AUC	0.49942
Mono	ROR	Card	2	LogisticRegression	CDDD	ROC AUC	0.60787
Mono	ROR	Card	0	LogisticRegression	CDDD	ROC AUC	0.54409
Mono	ROR	Cvas	1	LogisticRegression	CDDD	ROC AUC	0.58403
Mono	ROR	Cvas	4	LogisticRegression	CDDD	ROC AUC	0.58244
Mono	ROR	Cvas	3	LogisticRegression	CDDD	ROC AUC	0.48903
Mono	ROR	Cvas	2	LogisticRegression	CDDD	ROC AUC	0.62099
Mono	ROR	Cvas	0	LogisticRegression	CDDD	ROC AUC	0.54357
Mono	ROR	Cred	1	LogisticRegression	CDDD	MCC	0.06616
Mono	ROR	Cred	4	LogisticRegression	CDDD	MCC	0.00386
Mono	ROR	Cred	3	LogisticRegression	CDDD	MCC	0.06733
Mono	ROR	Cred	2	LogisticRegression	CDDD	MCC	0.24697
Mono	ROR	Cred	0	LogisticRegression	CDDD	MCC	0.00322
Mono	ROR	Card	1	LogisticRegression	CDDD	MCC	0.03322
Mono	ROR	Card	4	LogisticRegression	CDDD	MCC	0.12418
Mono	ROR	Card	3	LogisticRegression	CDDD	MCC	0.02759
Mono	ROR	Card	2	LogisticRegression	CDDD	MCC	0.15793
Mono	ROR	Card	0	LogisticRegression	CDDD	MCC	0.07675
Mono	ROR	Cvas	1	LogisticRegression	CDDD	MCC	0.13318
Mono	ROR	Cvas	4	LogisticRegression	CDDD	MCC	0.08369
Mono	ROR	Cvas	3	LogisticRegression	CDDD	MCC	0.03182
Mono	ROR	Cvas	2	LogisticRegression	CDDD	MCC	0.14706
Mono	ROR	Cvas	0	LogisticRegression	CDDD	MCC	0.06924
Mono	ROR	Cred	1	LogisticRegression	CDDD	Accuracy	0.50117
Mono	ROR	Cred	4	LogisticRegression	CDDD	Accuracy	0.50271
Mono	ROR	Cred	3	LogisticRegression	CDDD	Accuracy	0.50488
Mono	ROR	Cred	2	LogisticRegression	CDDD	Accuracy	0.63299
Mono	ROR	Cred	0	LogisticRegression	CDDD	Accuracy	0.50267
Mono	ROR	Card	1	LogisticRegression	CDDD	Accuracy	0.4979
Mono	ROR	Card	4	LogisticRegression	CDDD	Accuracy	0.5743
Mono	ROR	Card	3	LogisticRegression	CDDD	Accuracy	0.48717
Mono	ROR	Card	2	LogisticRegression	CDDD	Accuracy	0.59248
Mono	ROR	Card	0	LogisticRegression	CDDD	Accuracy	0.53301
Mono	ROR	Cvas	1	LogisticRegression	CDDD	Accuracy	0.54596
Mono	ROR	Cvas	4	LogisticRegression	CDDD	Accuracy	0.54567
Mono	ROR	Cvas	3	LogisticRegression	CDDD	Accuracy	0.4944
Mono	ROR	Cvas	2	LogisticRegression	CDDD	Accuracy	0.58622
Mono	ROR	Cvas	0	LogisticRegression	CDDD	Accuracy	0.52276
Mono	ROR	Cred	1	LogisticRegression	CDDD	Recall	0.37441
Mono	ROR	Cred	4	LogisticRegression	CDDD	Recall	0.50626
Mono	ROR	Cred	3	LogisticRegression	CDDD	Recall	0.36097
Mono	ROR	Cred	2	LogisticRegression	CDDD	Recall	0.69018
Mono	ROR	Cred	0	LogisticRegression	CDDD	Recall	0.50771
Mono	ROR	Card	1	LogisticRegression	CDDD	Recall	0.42122
Mono	ROR	Card	4	LogisticRegression	CDDD	Recall	0.63151
Mono	ROR	Card	3	LogisticRegression	CDDD	Recall	0.34975
Mono	ROR	Card	2	LogisticRegression	CDDD	Recall	0.67636
Mono	ROR	Card	0	LogisticRegression	CDDD	Recall	0.50421
Mono	ROR	Cvas	1	LogisticRegression	CDDD	Recall	0.461
Mono	ROR	Cvas	4	LogisticRegression	CDDD	Recall	0.56098
Mono	ROR	Cvas	3	LogisticRegression	CDDD	Recall	0.38279
Mono	ROR	Cvas	2	LogisticRegression	CDDD	Recall	0.66327
Mono	ROR	Cvas	0	LogisticRegression	CDDD	Recall	0.46353
Mono	ROR	Cred	1	LogisticRegression	CDDD	Specificity	0.6899
Mono	ROR	Cred	4	LogisticRegression	CDDD	Specificity	0.49766
Mono	ROR	Cred	3	LogisticRegression	CDDD	Specificity	0.70335
Mono	ROR	Cred	2	LogisticRegression	CDDD	Specificity	0.55588
Mono	ROR	Cred	0	LogisticRegression	CDDD	Specificity	0.49556
Mono	ROR	Card	1	LogisticRegression	CDDD	Specificity	0.61208
Mono	ROR	Card	4	LogisticRegression	CDDD	Specificity	0.49297
Mono	ROR	Card	3	LogisticRegression	CDDD	Specificity	0.6767
Mono	ROR	Card	2	LogisticRegression	CDDD	Specificity	0.47941
Mono	ROR	Card	0	LogisticRegression	CDDD	Specificity	0.57354
Mono	ROR	Cvas	1	LogisticRegression	CDDD	Specificity	0.67247
Mono	ROR	Cvas	4	LogisticRegression	CDDD	Specificity	0.5239
Mono	ROR	Cvas	3	LogisticRegression	CDDD	Specificity	0.64832
Mono	ROR	Cvas	2	LogisticRegression	CDDD	Specificity	0.48235
Mono	ROR	Cvas	0	LogisticRegression	CDDD	Specificity	0.60612
Mono	ROR	Cred	1	LogisticRegression	CDDD	Precision	0.64257
Mono	ROR	Cred	4	LogisticRegression	CDDD	Precision	0.58896
Mono	ROR	Cred	3	LogisticRegression	CDDD	Precision	0.62662
Mono	ROR	Cred	2	LogisticRegression	CDDD	Precision	0.67689
Mono	ROR	Cred	0	LogisticRegression	CDDD	Precision	0.58623
Mono	ROR	Card	1	LogisticRegression	CDDD	Precision	0.61785
Mono	ROR	Card	4	LogisticRegression	CDDD	Precision	0.63909
Mono	ROR	Card	3	LogisticRegression	CDDD	Precision	0.59872
Mono	ROR	Card	2	LogisticRegression	CDDD	Precision	0.63655
Mono	ROR	Card	0	LogisticRegression	CDDD	Precision	0.62467
Mono	ROR	Cvas	1	LogisticRegression	CDDD	Precision	0.67698
Mono	ROR	Cvas	4	LogisticRegression	CDDD	Precision	0.6262
Mono	ROR	Cvas	3	LogisticRegression	CDDD	Precision	0.6002
