Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	IC	Cred	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.47447
Primary	IC	Cred	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.44903
Primary	IC	Cred	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.53082
Primary	IC	Cred	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.51594
Primary	IC	Cred	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.54635
Primary	IC	Card	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.46551
Primary	IC	Card	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.43981
Primary	IC	Card	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.50072
Primary	IC	Card	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.54326
Primary	IC	Card	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.53834
Primary	IC	Cvas	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.4669
Primary	IC	Cvas	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.48932
Primary	IC	Cvas	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.51183
Primary	IC	Cvas	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.54053
Primary	IC	Cvas	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.50226
Primary	IC	Cred	4	LogisticRegression	ChemBERTa	GeomRS	0.47202
Primary	IC	Cred	1	LogisticRegression	ChemBERTa	GeomRS	0.44747
Primary	IC	Cred	0	LogisticRegression	ChemBERTa	GeomRS	0.53082
Primary	IC	Cred	3	LogisticRegression	ChemBERTa	GeomRS	0.51462
Primary	IC	Cred	2	LogisticRegression	ChemBERTa	GeomRS	0.52694
Primary	IC	Card	4	LogisticRegression	ChemBERTa	GeomRS	0.46441
Primary	IC	Card	1	LogisticRegression	ChemBERTa	GeomRS	0.43782
Primary	IC	Card	0	LogisticRegression	ChemBERTa	GeomRS	0.49882
Primary	IC	Card	3	LogisticRegression	ChemBERTa	GeomRS	0.54292
Primary	IC	Card	2	LogisticRegression	ChemBERTa	GeomRS	0.51145
Primary	IC	Cvas	4	LogisticRegression	ChemBERTa	GeomRS	0.45547
Primary	IC	Cvas	1	LogisticRegression	ChemBERTa	GeomRS	0.4853
Primary	IC	Cvas	0	LogisticRegression	ChemBERTa	GeomRS	0.48545
Primary	IC	Cvas	3	LogisticRegression	ChemBERTa	GeomRS	0.53407
Primary	IC	Cvas	2	LogisticRegression	ChemBERTa	GeomRS	0.48137
Primary	IC	Cred	4	LogisticRegression	ChemBERTa	HarmRS	0.46959
Primary	IC	Cred	1	LogisticRegression	ChemBERTa	HarmRS	0.44592
Primary	IC	Cred	0	LogisticRegression	ChemBERTa	HarmRS	0.53082
Primary	IC	Cred	3	LogisticRegression	ChemBERTa	HarmRS	0.51331
Primary	IC	Cred	2	LogisticRegression	ChemBERTa	HarmRS	0.50823
Primary	IC	Card	4	LogisticRegression	ChemBERTa	HarmRS	0.46331
Primary	IC	Card	1	LogisticRegression	ChemBERTa	HarmRS	0.43583
Primary	IC	Card	0	LogisticRegression	ChemBERTa	HarmRS	0.49692
Primary	IC	Card	3	LogisticRegression	ChemBERTa	HarmRS	0.54258
Primary	IC	Card	2	LogisticRegression	ChemBERTa	HarmRS	0.4859
Primary	IC	Cvas	4	LogisticRegression	ChemBERTa	HarmRS	0.44433
Primary	IC	Cvas	1	LogisticRegression	ChemBERTa	HarmRS	0.48131
Primary	IC	Cvas	0	LogisticRegression	ChemBERTa	HarmRS	0.46043
Primary	IC	Cvas	3	LogisticRegression	ChemBERTa	HarmRS	0.52769
Primary	IC	Cvas	2	LogisticRegression	ChemBERTa	HarmRS	0.46135
Primary	IC	Cred	4	LogisticRegression	ChemBERTa	F1 Score	0.53417
Primary	IC	Cred	1	LogisticRegression	ChemBERTa	F1 Score	0.53645
Primary	IC	Cred	0	LogisticRegression	ChemBERTa	F1 Score	0.58095
Primary	IC	Cred	3	LogisticRegression	ChemBERTa	F1 Score	0.58519
Primary	IC	Cred	2	LogisticRegression	ChemBERTa	F1 Score	0.66731
Primary	IC	Card	4	LogisticRegression	ChemBERTa	F1 Score	0.51661
Primary	IC	Card	1	LogisticRegression	ChemBERTa	F1 Score	0.53034
Primary	IC	Card	0	LogisticRegression	ChemBERTa	F1 Score	0.57713
Primary	IC	Card	3	LogisticRegression	ChemBERTa	F1 Score	0.60166
Primary	IC	Card	2	LogisticRegression	ChemBERTa	F1 Score	0.67087
Primary	IC	Cvas	4	LogisticRegression	ChemBERTa	F1 Score	0.55553
Primary	IC	Cvas	1	LogisticRegression	ChemBERTa	F1 Score	0.59009
