Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cred	1	LogisticRegression	CDDD	Balanced Accuracy	0.48336
Primary	PRR	Cred	3	LogisticRegression	CDDD	Balanced Accuracy	0.52678
Primary	PRR	Cred	4	LogisticRegression	CDDD	Balanced Accuracy	0.55866
Primary	PRR	Cred	0	LogisticRegression	CDDD	Balanced Accuracy	0.57186
Primary	PRR	Cred	2	LogisticRegression	CDDD	Balanced Accuracy	0.53592
Primary	PRR	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.51024
Primary	PRR	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.51999
Primary	PRR	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.53667
Primary	PRR	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.597
Primary	PRR	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.55319
Primary	PRR	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.50381
Primary	PRR	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.54849
Primary	PRR	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.53913
Primary	PRR	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.5767
Primary	PRR	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.50648
Primary	PRR	Cred	1	LogisticRegression	CDDD	GeomRS	0.47133
Primary	PRR	Cred	3	LogisticRegression	CDDD	GeomRS	0.50773
Primary	PRR	Cred	4	LogisticRegression	CDDD	GeomRS	0.55178
Primary	PRR	Cred	0	LogisticRegression	CDDD	GeomRS	0.57122
Primary	PRR	Cred	2	LogisticRegression	CDDD	GeomRS	0.53591
Primary	PRR	Card	1	LogisticRegression	CDDD	GeomRS	0.50422
Primary	PRR	Card	3	LogisticRegression	CDDD	GeomRS	0.50807
Primary	PRR	Card	4	LogisticRegression	CDDD	GeomRS	0.53569
Primary	PRR	Card	0	LogisticRegression	CDDD	GeomRS	0.59263
Primary	PRR	Card	2	LogisticRegression	CDDD	GeomRS	0.55041
Primary	PRR	Cvas	1	LogisticRegression	CDDD	GeomRS	0.49772
Primary	PRR	Cvas	3	LogisticRegression	CDDD	GeomRS	0.54035
Primary	PRR	Cvas	4	LogisticRegression	CDDD	GeomRS	0.53655
Primary	PRR	Cvas	0	LogisticRegression	CDDD	GeomRS	0.57457
Primary	PRR	Cvas	2	LogisticRegression	CDDD	GeomRS	0.48923
Primary	PRR	Cred	1	LogisticRegression	CDDD	HarmRS	0.4596
Primary	PRR	Cred	3	LogisticRegression	CDDD	HarmRS	0.48936
Primary	PRR	Cred	4	LogisticRegression	CDDD	HarmRS	0.54497
Primary	PRR	Cred	0	LogisticRegression	CDDD	HarmRS	0.57057
Primary	PRR	Cred	2	LogisticRegression	CDDD	HarmRS	0.53589
Primary	PRR	Card	1	LogisticRegression	CDDD	HarmRS	0.49827
Primary	PRR	Card	3	LogisticRegression	CDDD	HarmRS	0.49643
Primary	PRR	Card	4	LogisticRegression	CDDD	HarmRS	0.53472
Primary	PRR	Card	0	LogisticRegression	CDDD	HarmRS	0.58829
Primary	PRR	Card	2	LogisticRegression	CDDD	HarmRS	0.54764
Primary	PRR	Cvas	1	LogisticRegression	CDDD	HarmRS	0.4917
Primary	PRR	Cvas	3	LogisticRegression	CDDD	HarmRS	0.53233
Primary	PRR	Cvas	4	LogisticRegression	CDDD	HarmRS	0.53399
Primary	PRR	Cvas	0	LogisticRegression	CDDD	HarmRS	0.57245
Primary	PRR	Cvas	2	LogisticRegression	CDDD	HarmRS	0.47256
Primary	PRR	Cred	1	LogisticRegression	CDDD	F1 Score	0.46912
Primary	PRR	Cred	3	LogisticRegression	CDDD	F1 Score	0.48253
Primary	PRR	Cred	4	LogisticRegression	CDDD	F1 Score	0.6315
Primary	PRR	Cred	0	LogisticRegression	CDDD	F1 Score	0.60614
Primary	PRR	Cred	2	LogisticRegression	CDDD	F1 Score	0.58782
Primary	PRR	Card	1	LogisticRegression	CDDD	F1 Score	0.52032
Primary	PRR	Card	3	LogisticRegression	CDDD	F1 Score	0.49673
Primary	PRR	Card	4	LogisticRegression	CDDD	F1 Score	0.58537
Primary	PRR	Card	0	LogisticRegression	CDDD	F1 Score	0.60566
Primary	PRR	Card	2	LogisticRegression	CDDD	F1 Score	0.6316
Primary	PRR	Cvas	1	LogisticRegression	CDDD	F1 Score	0.51349
Primary	PRR	Cvas	3	LogisticRegression	CDDD	F1 Score	0.64414
Primary	PRR	Cvas	4	LogisticRegression	CDDD	F1 Score	0.59763
Primary	PRR	Cvas	0	LogisticRegression	CDDD	F1 Score	0.59819
Primary	PRR	Cvas	2	LogisticRegression	CDDD	F1 Score	0.62698
Primary	PRR	Cred	1	LogisticRegression	CDDD	ROC AUC	0.50156
Primary	PRR	Cred	3	LogisticRegression	CDDD	ROC AUC	0.5142
Primary	PRR	Cred	4	LogisticRegression	CDDD	ROC AUC	0.59091
Primary	PRR	Cred	0	LogisticRegression	CDDD	ROC AUC	0.60095
Primary	PRR	Cred	2	LogisticRegression	CDDD	ROC AUC	0.58094
Primary	PRR	Card	1	LogisticRegression	CDDD	ROC AUC	0.51393
Primary	PRR	Card	3	LogisticRegression	CDDD	ROC AUC	0.50781
Primary	PRR	Card	4	LogisticRegression	CDDD	ROC AUC	0.54468
Primary	PRR	Card	0	LogisticRegression	CDDD	ROC AUC	0.59562
Primary	PRR	Card	2	LogisticRegression	CDDD	ROC AUC	0.58274
Primary	PRR	Cvas	1	LogisticRegression	CDDD	ROC AUC	0.49915
Primary	PRR	Cvas	3	LogisticRegression	CDDD	ROC AUC	0.53463
Primary	PRR	Cvas	4	LogisticRegression	CDDD	ROC AUC	0.56444
Primary	PRR	Cvas	0	LogisticRegression	CDDD	ROC AUC	0.588
Primary	PRR	Cvas	2	LogisticRegression	CDDD	ROC AUC	0.56864
Primary	PRR	Cred	1	LogisticRegression	CDDD	MCC	-0.03273
Primary	PRR	Cred	3	LogisticRegression	CDDD	MCC	0.05432
Primary	PRR	Cred	4	LogisticRegression	CDDD	MCC	0.11838
Primary	PRR	Cred	0	LogisticRegression	CDDD	MCC	0.14001
Primary	PRR	Cred	2	LogisticRegression	CDDD	MCC	0.07004
Primary	PRR	Card	1	LogisticRegression	CDDD	MCC	0.01984
Primary	PRR	Card	3	LogisticRegression	CDDD	MCC	0.03996
Primary	PRR	Card	4	LogisticRegression	CDDD	MCC	0.07283
Primary	PRR	Card	0	LogisticRegression	CDDD	MCC	0.18988
Primary	PRR	Card	2	LogisticRegression	CDDD	MCC	0.10464
Primary	PRR	Cvas	1	LogisticRegression	CDDD	MCC	0.00739
Primary	PRR	Cvas	3	LogisticRegression	CDDD	MCC	0.09685
Primary	PRR	Cvas	4	LogisticRegression	CDDD	MCC	0.07802
Primary	PRR	Cvas	0	LogisticRegression	CDDD	MCC	0.14971
Primary	PRR	Cvas	2	LogisticRegression	CDDD	MCC	0.01311
Primary	PRR	Cred	1	LogisticRegression	CDDD	Accuracy	0.45277
Primary	PRR	Cred	3	LogisticRegression	CDDD	Accuracy	0.49662
Primary	PRR	Cred	4	LogisticRegression	CDDD	Accuracy	0.57077
Primary	PRR	Cred	0	LogisticRegression	CDDD	Accuracy	0.56569
Primary	PRR	Cred	2	LogisticRegression	CDDD	Accuracy	0.5368
Primary	PRR	Card	1	LogisticRegression	CDDD	Accuracy	0.48794
Primary	PRR	Card	3	LogisticRegression	CDDD	Accuracy	0.49621
Primary	PRR	Card	4	LogisticRegression	CDDD	Accuracy	0.54115
Primary	PRR	Card	0	LogisticRegression	CDDD	Accuracy	0.58063
