Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cred	1	LogisticRegression	Klek	Balanced Accuracy	0.52221
Primary	PRR	Cred	4	LogisticRegression	Klek	Balanced Accuracy	0.5945
Primary	PRR	Cred	0	LogisticRegression	Klek	Balanced Accuracy	0.5588
Primary	PRR	Cred	3	LogisticRegression	Klek	Balanced Accuracy	0.50951
Primary	PRR	Cred	2	LogisticRegression	Klek	Balanced Accuracy	0.61225
Primary	PRR	Card	1	LogisticRegression	Klek	Balanced Accuracy	0.49592
Primary	PRR	Card	4	LogisticRegression	Klek	Balanced Accuracy	0.59272
Primary	PRR	Card	0	LogisticRegression	Klek	Balanced Accuracy	0.58431
Primary	PRR	Card	3	LogisticRegression	Klek	Balanced Accuracy	0.49733
Primary	PRR	Card	2	LogisticRegression	Klek	Balanced Accuracy	0.57912
Primary	PRR	Cvas	1	LogisticRegression	Klek	Balanced Accuracy	0.51615
Primary	PRR	Cvas	4	LogisticRegression	Klek	Balanced Accuracy	0.57191
Primary	PRR	Cvas	0	LogisticRegression	Klek	Balanced Accuracy	0.60206
Primary	PRR	Cvas	3	LogisticRegression	Klek	Balanced Accuracy	0.50872
Primary	PRR	Cvas	2	LogisticRegression	Klek	Balanced Accuracy	0.54155
Primary	PRR	Cred	1	LogisticRegression	Klek	GeomRS	0.47693
Primary	PRR	Cred	4	LogisticRegression	Klek	GeomRS	0.59092
Primary	PRR	Cred	0	LogisticRegression	Klek	GeomRS	0.5586
Primary	PRR	Cred	3	LogisticRegression	Klek	GeomRS	0.50887
Primary	PRR	Cred	2	LogisticRegression	Klek	GeomRS	0.61093
Primary	PRR	Card	1	LogisticRegression	Klek	GeomRS	0.47429
Primary	PRR	Card	4	LogisticRegression	Klek	GeomRS	0.59236
Primary	PRR	Card	0	LogisticRegression	Klek	GeomRS	0.58346
Primary	PRR	Card	3	LogisticRegression	Klek	GeomRS	0.49711
Primary	PRR	Card	2	LogisticRegression	Klek	GeomRS	0.57798
Primary	PRR	Cvas	1	LogisticRegression	Klek	GeomRS	0.51273
Primary	PRR	Cvas	4	LogisticRegression	Klek	GeomRS	0.57165
