Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cred	1	XGBClassifier	Klek	Balanced Accuracy	0.5387
Primary	PRR	Cred	3	XGBClassifier	Klek	Balanced Accuracy	0.57849
Primary	PRR	Cred	4	XGBClassifier	Klek	Balanced Accuracy	0.56898
Primary	PRR	Cred	0	XGBClassifier	Klek	Balanced Accuracy	0.55173
Primary	PRR	Cred	2	XGBClassifier	Klek	Balanced Accuracy	0.57978
Primary	PRR	Card	1	XGBClassifier	Klek	Balanced Accuracy	0.52694
Primary	PRR	Card	3	XGBClassifier	Klek	Balanced Accuracy	0.55495
Primary	PRR	Card	4	XGBClassifier	Klek	Balanced Accuracy	0.59545
Primary	PRR	Card	0	XGBClassifier	Klek	Balanced Accuracy	0.57365
Primary	PRR	Card	2	XGBClassifier	Klek	Balanced Accuracy	0.58786
Primary	PRR	Cvas	1	XGBClassifier	Klek	Balanced Accuracy	0.53937
Primary	PRR	Cvas	3	XGBClassifier	Klek	Balanced Accuracy	0.56757
Primary	PRR	Cvas	4	XGBClassifier	Klek	Balanced Accuracy	0.55319
Primary	PRR	Cvas	0	XGBClassifier	Klek	Balanced Accuracy	0.54494
Primary	PRR	Cvas	2	XGBClassifier	Klek	Balanced Accuracy	0.5605
Primary	PRR	Cred	1	XGBClassifier	Klek	GeomRS	0.50254
Primary	PRR	Cred	3	XGBClassifier	Klek	GeomRS	0.57498
Primary	PRR	Cred	4	XGBClassifier	Klek	GeomRS	0.56659
Primary	PRR	Cred	0	XGBClassifier	Klek	GeomRS	0.55168
Primary	PRR	Cred	2	XGBClassifier	Klek	GeomRS	0.57978
Primary	PRR	Card	1	XGBClassifier	Klek	GeomRS	0.50456
Primary	PRR	Card	3	XGBClassifier	Klek	GeomRS	0.55128
Primary	PRR	Card	4	XGBClassifier	Klek	GeomRS	0.59544
Primary	PRR	Card	0	XGBClassifier	Klek	GeomRS	0.5735
Primary	PRR	Card	2	XGBClassifier	Klek	GeomRS	0.58734
Primary	PRR	Cvas	1	XGBClassifier	Klek	GeomRS	0.52802
Primary	PRR	Cvas	3	XGBClassifier	Klek	GeomRS	0.56662
Primary	PRR	Cvas	4	XGBClassifier	Klek	GeomRS	0.55316
Primary	PRR	Cvas	0	XGBClassifier	Klek	GeomRS	0.54121
Primary	PRR	Cvas	2	XGBClassifier	Klek	GeomRS	0.54967
Primary	PRR	Cred	1	XGBClassifier	Klek	HarmRS	0.4688
Primary	PRR	Cred	3	XGBClassifier	Klek	HarmRS	0.57149
Primary	PRR	Cred	4	XGBClassifier	Klek	HarmRS	0.56422
Primary	PRR	Cred	0	XGBClassifier	Klek	HarmRS	0.55164
Primary	PRR	Cred	2	XGBClassifier	Klek	HarmRS	0.57978
Primary	PRR	Card	1	XGBClassifier	Klek	HarmRS	0.48313
Primary	PRR	Card	3	XGBClassifier	Klek	HarmRS	0.54764
Primary	PRR	Card	4	XGBClassifier	Klek	HarmRS	0.59542
Primary	PRR	Card	0	XGBClassifier	Klek	HarmRS	0.57334
Primary	PRR	Card	2	XGBClassifier	Klek	HarmRS	0.58682
Primary	PRR	Cvas	1	XGBClassifier	Klek	HarmRS	0.51691
Primary	PRR	Cvas	3	XGBClassifier	Klek	HarmRS	0.56567
Primary	PRR	Cvas	4	XGBClassifier	Klek	HarmRS	0.55312
Primary	PRR	Cvas	0	XGBClassifier	Klek	HarmRS	0.5375
Primary	PRR	Cvas	2	XGBClassifier	Klek	HarmRS	0.53905
Primary	PRR	Cred	1	XGBClassifier	Klek	F1 Score	0.46162
Primary	PRR	Cred	3	XGBClassifier	Klek	F1 Score	0.58969
