Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cred	1	LogisticRegression	MACCS	Balanced Accuracy	0.55252
Primary	ROR	Cred	3	LogisticRegression	MACCS	Balanced Accuracy	0.52558
Primary	ROR	Cred	4	LogisticRegression	MACCS	Balanced Accuracy	0.52354
Primary	ROR	Cred	0	LogisticRegression	MACCS	Balanced Accuracy	0.54835
Primary	ROR	Cred	2	LogisticRegression	MACCS	Balanced Accuracy	0.50376
Primary	ROR	Card	1	LogisticRegression	MACCS	Balanced Accuracy	0.54896
Primary	ROR	Card	3	LogisticRegression	MACCS	Balanced Accuracy	0.55447
Primary	ROR	Card	4	LogisticRegression	MACCS	Balanced Accuracy	0.5463
Primary	ROR	Card	0	LogisticRegression	MACCS	Balanced Accuracy	0.53564
Primary	ROR	Card	2	LogisticRegression	MACCS	Balanced Accuracy	0.51487
Primary	ROR	Cvas	1	LogisticRegression	MACCS	Balanced Accuracy	0.54559
Primary	ROR	Cvas	3	LogisticRegression	MACCS	Balanced Accuracy	0.54876
Primary	ROR	Cvas	4	LogisticRegression	MACCS	Balanced Accuracy	0.54503
Primary	ROR	Cvas	0	LogisticRegression	MACCS	Balanced Accuracy	0.48907
Primary	ROR	Cvas	2	LogisticRegression	MACCS	Balanced Accuracy	0.51556
Primary	ROR	Cred	1	LogisticRegression	MACCS	GeomRS	0.5299
Primary	ROR	Cred	3	LogisticRegression	MACCS	GeomRS	0.51338
Primary	ROR	Cred	4	LogisticRegression	MACCS	GeomRS	0.50084
Primary	ROR	Cred	0	LogisticRegression	MACCS	GeomRS	0.53974
Primary	ROR	Cred	2	LogisticRegression	MACCS	GeomRS	0.49251
Primary	ROR	Card	1	LogisticRegression	MACCS	GeomRS	0.52574
Primary	ROR	Card	3	LogisticRegression	MACCS	GeomRS	0.54515
Primary	ROR	Card	4	LogisticRegression	MACCS	GeomRS	0.51636
Primary	ROR	Card	0	LogisticRegression	MACCS	GeomRS	0.52806
Primary	ROR	Card	2	LogisticRegression	MACCS	GeomRS	0.51037
Primary	ROR	Cvas	1	LogisticRegression	MACCS	GeomRS	0.47843
