Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cred	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.60197
Primary	ROR	Cred	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.53003
Primary	ROR	Cred	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.52662
Primary	ROR	Cred	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.56748
Primary	ROR	Cred	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.63503
Primary	ROR	Card	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.57777
Primary	ROR	Card	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.51353
Primary	ROR	Card	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.54404
Primary	ROR	Card	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.56844
Primary	ROR	Card	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.63804
Primary	ROR	Cvas	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.58058
Primary	ROR	Cvas	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.52652
Primary	ROR	Cvas	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.59339
Primary	ROR	Cvas	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.60056
Primary	ROR	Cvas	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.59738
Primary	ROR	Cred	4	RandomForestClassifier	RDKit	GeomRS	0.60167
Primary	ROR	Cred	1	RandomForestClassifier	RDKit	GeomRS	0.52986
Primary	ROR	Cred	3	RandomForestClassifier	RDKit	GeomRS	0.52543
Primary	ROR	Cred	0	RandomForestClassifier	RDKit	GeomRS	0.56713
Primary	ROR	Cred	2	RandomForestClassifier	RDKit	GeomRS	0.63157
Primary	ROR	Card	4	RandomForestClassifier	RDKit	GeomRS	0.57599
Primary	ROR	Card	1	RandomForestClassifier	RDKit	GeomRS	0.51309
Primary	ROR	Card	3	RandomForestClassifier	RDKit	GeomRS	0.53369
Primary	ROR	Card	0	RandomForestClassifier	RDKit	GeomRS	0.56761
Primary	ROR	Card	2	RandomForestClassifier	RDKit	GeomRS	0.63799
Primary	ROR	Cvas	4	RandomForestClassifier	RDKit	GeomRS	0.57143
Primary	ROR	Cvas	1	RandomForestClassifier	RDKit	GeomRS	0.52373
Primary	ROR	Cvas	3	RandomForestClassifier	RDKit	GeomRS	0.59257
Primary	ROR	Cvas	0	RandomForestClassifier	RDKit	GeomRS	0.60001
Primary	ROR	Cvas	2	RandomForestClassifier	RDKit	GeomRS	0.59663
Primary	ROR	Cred	4	RandomForestClassifier	RDKit	HarmRS	0.60137
Primary	ROR	Cred	1	RandomForestClassifier	RDKit	HarmRS	0.5297
Primary	ROR	Cred	3	RandomForestClassifier	RDKit	HarmRS	0.52425
Primary	ROR	Cred	0	RandomForestClassifier	RDKit	HarmRS	0.56678
Primary	ROR	Cred	2	RandomForestClassifier	RDKit	HarmRS	0.62812
Primary	ROR	Card	4	RandomForestClassifier	RDKit	HarmRS	0.57421
Primary	ROR	Card	1	RandomForestClassifier	RDKit	HarmRS	0.51264
Primary	ROR	Card	3	RandomForestClassifier	RDKit	HarmRS	0.52353
Primary	ROR	Card	0	RandomForestClassifier	RDKit	HarmRS	0.56678
