Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cred	1	XGBClassifier	Klek	Balanced Accuracy	0.54162
Primary	ROR	Cred	3	XGBClassifier	Klek	Balanced Accuracy	0.591
Primary	ROR	Cred	4	XGBClassifier	Klek	Balanced Accuracy	0.59187
Primary	ROR	Cred	0	XGBClassifier	Klek	Balanced Accuracy	0.55029
Primary	ROR	Cred	2	XGBClassifier	Klek	Balanced Accuracy	0.5665
Primary	ROR	Card	1	XGBClassifier	Klek	Balanced Accuracy	0.53524
Primary	ROR	Card	3	XGBClassifier	Klek	Balanced Accuracy	0.59189
Primary	ROR	Card	4	XGBClassifier	Klek	Balanced Accuracy	0.58381
Primary	ROR	Card	0	XGBClassifier	Klek	Balanced Accuracy	0.57669
Primary	ROR	Card	2	XGBClassifier	Klek	Balanced Accuracy	0.59178
Primary	ROR	Cvas	1	XGBClassifier	Klek	Balanced Accuracy	0.54103
Primary	ROR	Cvas	3	XGBClassifier	Klek	Balanced Accuracy	0.58794
Primary	ROR	Cvas	4	XGBClassifier	Klek	Balanced Accuracy	0.61784
Primary	ROR	Cvas	0	XGBClassifier	Klek	Balanced Accuracy	0.54903
Primary	ROR	Cvas	2	XGBClassifier	Klek	Balanced Accuracy	0.56021
Primary	ROR	Cred	1	XGBClassifier	Klek	GeomRS	0.48377
Primary	ROR	Cred	3	XGBClassifier	Klek	GeomRS	0.58362
Primary	ROR	Cred	4	XGBClassifier	Klek	GeomRS	0.58491
Primary	ROR	Cred	0	XGBClassifier	Klek	GeomRS	0.55027
Primary	ROR	Cred	2	XGBClassifier	Klek	GeomRS	0.56144
Primary	ROR	Card	1	XGBClassifier	Klek	GeomRS	0.51658
Primary	ROR	Card	3	XGBClassifier	Klek	GeomRS	0.58135
Primary	ROR	Card	4	XGBClassifier	Klek	GeomRS	0.58343
Primary	ROR	Card	0	XGBClassifier	Klek	GeomRS	0.57668
Primary	ROR	Card	2	XGBClassifier	Klek	GeomRS	0.58743
Primary	ROR	Cvas	1	XGBClassifier	Klek	GeomRS	0.47964
Primary	ROR	Cvas	3	XGBClassifier	Klek	GeomRS	0.57357
Primary	ROR	Cvas	4	XGBClassifier	Klek	GeomRS	0.61352
Primary	ROR	Cvas	0	XGBClassifier	Klek	GeomRS	0.54284
Primary	ROR	Cvas	2	XGBClassifier	Klek	GeomRS	0.55839
Primary	ROR	Cred	1	XGBClassifier	Klek	HarmRS	0.4321
Primary	ROR	Cred	3	XGBClassifier	Klek	HarmRS	0.57632
Primary	ROR	Cred	4	XGBClassifier	Klek	HarmRS	0.57803
Primary	ROR	Cred	0	XGBClassifier	Klek	HarmRS	0.55025
Primary	ROR	Cred	2	XGBClassifier	Klek	HarmRS	0.55643
Primary	ROR	Card	1	XGBClassifier	Klek	HarmRS	0.49856
Primary	ROR	Card	3	XGBClassifier	Klek	HarmRS	0.57098
Primary	ROR	Card	4	XGBClassifier	Klek	HarmRS	0.58306
Primary	ROR	Card	0	XGBClassifier	Klek	HarmRS	0.57668
Primary	ROR	Card	2	XGBClassifier	Klek	HarmRS	0.58311
Primary	ROR	Cvas	1	XGBClassifier	Klek	HarmRS	0.42521
Primary	ROR	Cvas	3	XGBClassifier	Klek	HarmRS	0.55955
Primary	ROR	Cvas	4	XGBClassifier	Klek	HarmRS	0.60923
Primary	ROR	Cvas	0	XGBClassifier	Klek	HarmRS	0.53672
Primary	ROR	Cvas	2	XGBClassifier	Klek	HarmRS	0.55657
Primary	ROR	Cred	1	XGBClassifier	Klek	F1 Score	0.4134
Primary	ROR	Cred	3	XGBClassifier	Klek	F1 Score	0.5706
Primary	ROR	Cred	4	XGBClassifier	Klek	F1 Score	0.55968
Primary	ROR	Cred	0	XGBClassifier	Klek	F1 Score	0.58026
Primary	ROR	Cred	2	XGBClassifier	Klek	F1 Score	0.55716
Primary	ROR	Card	1	XGBClassifier	Klek	F1 Score	0.49002
Primary	ROR	Card	3	XGBClassifier	Klek	F1 Score	0.56119
Primary	ROR	Card	4	XGBClassifier	Klek	F1 Score	0.5851
Primary	ROR	Card	0	XGBClassifier	Klek	F1 Score	0.6098
Primary	ROR	Card	2	XGBClassifier	Klek	F1 Score	0.58596
Primary	ROR	Cvas	1	XGBClassifier	Klek	F1 Score	0.40643
Primary	ROR	Cvas	3	XGBClassifier	Klek	F1 Score	0.54609
Primary	ROR	Cvas	4	XGBClassifier	Klek	F1 Score	0.59636
Primary	ROR	Cvas	0	XGBClassifier	Klek	F1 Score	0.5353
Primary	ROR	Cvas	2	XGBClassifier	Klek	F1 Score	0.56778
Primary	ROR	Cred	1	XGBClassifier	Klek	ROC AUC	0.5389
Primary	ROR	Cred	3	XGBClassifier	Klek	ROC AUC	0.61127
Primary	ROR	Cred	4	XGBClassifier	Klek	ROC AUC	0.62251
Primary	ROR	Cred	0	XGBClassifier	Klek	ROC AUC	0.58703
Primary	ROR	Cred	2	XGBClassifier	Klek	ROC AUC	0.59547
Primary	ROR	Card	1	XGBClassifier	Klek	ROC AUC	0.54207
Primary	ROR	Card	3	XGBClassifier	Klek	ROC AUC	0.60687
Primary	ROR	Card	4	XGBClassifier	Klek	ROC AUC	0.58302
Primary	ROR	Card	0	XGBClassifier	Klek	ROC AUC	0.60891
Primary	ROR	Card	2	XGBClassifier	Klek	ROC AUC	0.62284
Primary	ROR	Cvas	1	XGBClassifier	Klek	ROC AUC	0.51717
Primary	ROR	Cvas	3	XGBClassifier	Klek	ROC AUC	0.62046
Primary	ROR	Cvas	4	XGBClassifier	Klek	ROC AUC	0.63608
Primary	ROR	Cvas	0	XGBClassifier	Klek	ROC AUC	0.58943
Primary	ROR	Cvas	2	XGBClassifier	Klek	ROC AUC	0.56676
Primary	ROR	Cred	1	XGBClassifier	Klek	MCC	0.09249
Primary	ROR	Cred	3	XGBClassifier	Klek	MCC	0.18313
Primary	ROR	Cred	4	XGBClassifier	Klek	MCC	0.18636
Primary	ROR	Cred	0	XGBClassifier	Klek	MCC	0.09957
Primary	ROR	Cred	2	XGBClassifier	Klek	MCC	0.13291
Primary	ROR	Card	1	XGBClassifier	Klek	MCC	0.07169
