Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	IC	Cred	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.5203
Secondary	IC	Cred	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54348
Secondary	IC	Cred	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53013
Secondary	IC	Cred	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.55148
Secondary	IC	Cred	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.49436
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51352
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53889
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53246
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.56965
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.48408
Secondary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51333
Secondary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52207
Secondary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52598
Secondary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54504
Secondary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50567
Secondary	IC	Cred	3	RandomForestClassifier	ChemBERTa	GeomRS	0.37896
Secondary	IC	Cred	2	RandomForestClassifier	ChemBERTa	GeomRS	0.40351
Secondary	IC	Cred	4	RandomForestClassifier	ChemBERTa	GeomRS	0.35449
Secondary	IC	Cred	1	RandomForestClassifier	ChemBERTa	GeomRS	0.46045
Secondary	IC	Cred	0	RandomForestClassifier	ChemBERTa	GeomRS	0.31471
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	GeomRS	0.33704
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	GeomRS	0.33892
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	GeomRS	0.37451
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	GeomRS	0.4791
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	GeomRS	0.28324
Secondary	IC	Cvas	3	RandomForestClassifier	ChemBERTa	GeomRS	0.39029
Secondary	IC	Cvas	2	RandomForestClassifier	ChemBERTa	GeomRS	0.3743
Secondary	IC	Cvas	4	RandomForestClassifier	ChemBERTa	GeomRS	0.35869
Secondary	IC	Cvas	1	RandomForestClassifier	ChemBERTa	GeomRS	0.47313
Secondary	IC	Cvas	0	RandomForestClassifier	ChemBERTa	GeomRS	0.33971
