Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	IC	Cred	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.52845
Secondary	IC	Cred	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.53682
Secondary	IC	Cred	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.54287
Secondary	IC	Cred	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.54321
Secondary	IC	Cred	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.5582
Secondary	IC	Card	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.55897
Secondary	IC	Card	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.54302
Secondary	IC	Card	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.52874
Secondary	IC	Card	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.55812
Secondary	IC	Card	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.56074
Secondary	IC	Cvas	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.54048
Secondary	IC	Cvas	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.53889
Secondary	IC	Cvas	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.5393
Secondary	IC	Cvas	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.5621
Secondary	IC	Cvas	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.55223
Secondary	IC	Cred	1	RandomForestClassifier	RDKit	GeomRS	0.42546
Secondary	IC	Cred	4	RandomForestClassifier	RDKit	GeomRS	0.40519
Secondary	IC	Cred	3	RandomForestClassifier	RDKit	GeomRS	0.4557
Secondary	IC	Cred	0	RandomForestClassifier	RDKit	GeomRS	0.44869
Secondary	IC	Cred	2	RandomForestClassifier	RDKit	GeomRS	0.467
Secondary	IC	Card	1	RandomForestClassifier	RDKit	GeomRS	0.46874
Secondary	IC	Card	4	RandomForestClassifier	RDKit	GeomRS	0.42116
Secondary	IC	Card	3	RandomForestClassifier	RDKit	GeomRS	0.41027
Secondary	IC	Card	0	RandomForestClassifier	RDKit	GeomRS	0.47418
Secondary	IC	Card	2	RandomForestClassifier	RDKit	GeomRS	0.43584
Secondary	IC	Cvas	1	RandomForestClassifier	RDKit	GeomRS	0.46548
Secondary	IC	Cvas	4	RandomForestClassifier	RDKit	GeomRS	0.40215
Secondary	IC	Cvas	3	RandomForestClassifier	RDKit	GeomRS	0.44992
Secondary	IC	Cvas	0	RandomForestClassifier	RDKit	GeomRS	0.48896
