Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	IC	Cred	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.53646
Secondary	IC	Cred	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.55721
Secondary	IC	Cred	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52395
Secondary	IC	Cred	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51082
Secondary	IC	Cred	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.56253
Secondary	IC	Card	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.53412
Secondary	IC	Card	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.56506
Secondary	IC	Card	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52353
Secondary	IC	Card	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.49874
Secondary	IC	Card	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.56365
Secondary	IC	Cvas	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.53208
Secondary	IC	Cvas	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.56029
Secondary	IC	Cvas	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52326
Secondary	IC	Cvas	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.50915
Secondary	IC	Cvas	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.53885
Secondary	IC	Cred	4	XGBClassifier	ChemBERTa	GeomRS	0.43926
Secondary	IC	Cred	1	XGBClassifier	ChemBERTa	GeomRS	0.50563
Secondary	IC	Cred	3	XGBClassifier	ChemBERTa	GeomRS	0.44259
Secondary	IC	Cred	0	XGBClassifier	ChemBERTa	GeomRS	0.42246
Secondary	IC	Cred	2	XGBClassifier	ChemBERTa	GeomRS	0.50093
Secondary	IC	Card	4	XGBClassifier	ChemBERTa	GeomRS	0.42921
Secondary	IC	Card	1	XGBClassifier	ChemBERTa	GeomRS	0.51893
Secondary	IC	Card	3	XGBClassifier	ChemBERTa	GeomRS	0.43572
Secondary	IC	Card	0	XGBClassifier	ChemBERTa	GeomRS	0.39547
Secondary	IC	Card	2	XGBClassifier	ChemBERTa	GeomRS	0.49257
Secondary	IC	Cvas	4	XGBClassifier	ChemBERTa	GeomRS	0.44791
Secondary	IC	Cvas	1	XGBClassifier	ChemBERTa	GeomRS	0.53023
Secondary	IC	Cvas	3	XGBClassifier	ChemBERTa	GeomRS	0.45084
Secondary	IC	Cvas	0	XGBClassifier	ChemBERTa	GeomRS	0.43226
Secondary	IC	Cvas	2	XGBClassifier	ChemBERTa	GeomRS	0.46176
Secondary	IC	Cred	4	XGBClassifier	ChemBERTa	HarmRS	0.35967
Secondary	IC	Cred	1	XGBClassifier	ChemBERTa	HarmRS	0.45882
Secondary	IC	Cred	3	XGBClassifier	ChemBERTa	HarmRS	0.37386
Secondary	IC	Cred	0	XGBClassifier	ChemBERTa	HarmRS	0.34938
Secondary	IC	Cred	2	XGBClassifier	ChemBERTa	HarmRS	0.44607
Secondary	IC	Card	4	XGBClassifier	ChemBERTa	HarmRS	0.34491
Secondary	IC	Card	1	XGBClassifier	ChemBERTa	HarmRS	0.47656
Secondary	IC	Card	3	XGBClassifier	ChemBERTa	HarmRS	0.36264
Secondary	IC	Card	0	XGBClassifier	ChemBERTa	HarmRS	0.31359
Secondary	IC	Card	2	XGBClassifier	ChemBERTa	HarmRS	0.43046
Secondary	IC	Cvas	4	XGBClassifier	ChemBERTa	HarmRS	0.37706
Secondary	IC	Cvas	1	XGBClassifier	ChemBERTa	HarmRS	0.50179
Secondary	IC	Cvas	3	XGBClassifier	ChemBERTa	HarmRS	0.38844
Secondary	IC	Cvas	0	XGBClassifier	ChemBERTa	HarmRS	0.36698
Secondary	IC	Cvas	2	XGBClassifier	ChemBERTa	HarmRS	0.39571
Secondary	IC	Cred	4	XGBClassifier	ChemBERTa	F1 Score	0.72238
Secondary	IC	Cred	1	XGBClassifier	ChemBERTa	F1 Score	0.75522
Secondary	IC	Cred	3	XGBClassifier	ChemBERTa	F1 Score	0.70595
Secondary	IC	Cred	0	XGBClassifier	ChemBERTa	F1 Score	0.73007
Secondary	IC	Cred	2	XGBClassifier	ChemBERTa	F1 Score	0.7572
Secondary	IC	Card	4	XGBClassifier	ChemBERTa	F1 Score	0.7241
Secondary	IC	Card	1	XGBClassifier	ChemBERTa	F1 Score	0.75661
Secondary	IC	Card	3	XGBClassifier	ChemBERTa	F1 Score	0.70925
Secondary	IC	Card	0	XGBClassifier	ChemBERTa	F1 Score	0.72797
Secondary	IC	Card	2	XGBClassifier	ChemBERTa	F1 Score	0.76518
Secondary	IC	Cvas	4	XGBClassifier	ChemBERTa	F1 Score	0.71172
Secondary	IC	Cvas	1	XGBClassifier	ChemBERTa	F1 Score	0.73383
Secondary	IC	Cvas	3	XGBClassifier	ChemBERTa	F1 Score	0.69981
Secondary	IC	Cvas	0	XGBClassifier	ChemBERTa	F1 Score	0.72121
Secondary	IC	Cvas	2	XGBClassifier	ChemBERTa	F1 Score	0.7483
Secondary	IC	Cred	4	XGBClassifier	ChemBERTa	ROC AUC	0.61817
Secondary	IC	Cred	1	XGBClassifier	ChemBERTa	ROC AUC	0.61233
Secondary	IC	Cred	3	XGBClassifier	ChemBERTa	ROC AUC	0.58114
Secondary	IC	Cred	0	XGBClassifier	ChemBERTa	ROC AUC	0.58384
Secondary	IC	Cred	2	XGBClassifier	ChemBERTa	ROC AUC	0.62765
Secondary	IC	Card	4	XGBClassifier	ChemBERTa	ROC AUC	0.61931
Secondary	IC	Card	1	XGBClassifier	ChemBERTa	ROC AUC	0.62068
Secondary	IC	Card	3	XGBClassifier	ChemBERTa	ROC AUC	0.58228
Secondary	IC	Card	0	XGBClassifier	ChemBERTa	ROC AUC	0.57309
Secondary	IC	Card	2	XGBClassifier	ChemBERTa	ROC AUC	0.63159
Secondary	IC	Cvas	4	XGBClassifier	ChemBERTa	ROC AUC	0.60582
Secondary	IC	Cvas	1	XGBClassifier	ChemBERTa	ROC AUC	0.6128
Secondary	IC	Cvas	3	XGBClassifier	ChemBERTa	ROC AUC	0.58447
Secondary	IC	Cvas	0	XGBClassifier	ChemBERTa	ROC AUC	0.57773
Secondary	IC	Cvas	2	XGBClassifier	ChemBERTa	ROC AUC	0.61665
Secondary	IC	Cred	4	XGBClassifier	ChemBERTa	MCC	0.09179
Secondary	IC	Cred	1	XGBClassifier	ChemBERTa	MCC	0.12321
Secondary	IC	Cred	3	XGBClassifier	ChemBERTa	MCC	0.05684
Secondary	IC	Cred	0	XGBClassifier	ChemBERTa	MCC	0.02509
Secondary	IC	Cred	2	XGBClassifier	ChemBERTa	MCC	0.14142
