Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	3	LogisticRegression	RDKit	Balanced Accuracy	0.55134
Secondary	PRR	Cred	1	LogisticRegression	RDKit	Balanced Accuracy	0.54794
Secondary	PRR	Cred	4	LogisticRegression	RDKit	Balanced Accuracy	0.57349
Secondary	PRR	Cred	0	LogisticRegression	RDKit	Balanced Accuracy	0.56188
Secondary	PRR	Cred	2	LogisticRegression	RDKit	Balanced Accuracy	0.58395
Secondary	PRR	Card	3	LogisticRegression	RDKit	Balanced Accuracy	0.57229
Secondary	PRR	Card	1	LogisticRegression	RDKit	Balanced Accuracy	0.54097
Secondary	PRR	Card	4	LogisticRegression	RDKit	Balanced Accuracy	0.58731
Secondary	PRR	Card	0	LogisticRegression	RDKit	Balanced Accuracy	0.54491
Secondary	PRR	Card	2	LogisticRegression	RDKit	Balanced Accuracy	0.59584
Secondary	PRR	Cvas	3	LogisticRegression	RDKit	Balanced Accuracy	0.57971
Secondary	PRR	Cvas	1	LogisticRegression	RDKit	Balanced Accuracy	0.57617
Secondary	PRR	Cvas	4	LogisticRegression	RDKit	Balanced Accuracy	0.58345
Secondary	PRR	Cvas	0	LogisticRegression	RDKit	Balanced Accuracy	0.56843
Secondary	PRR	Cvas	2	LogisticRegression	RDKit	Balanced Accuracy	0.57958
Secondary	PRR	Cred	3	LogisticRegression	RDKit	GeomRS	0.54964
Secondary	PRR	Cred	1	LogisticRegression	RDKit	GeomRS	0.54794
Secondary	PRR	Cred	4	LogisticRegression	RDKit	GeomRS	0.56966
Secondary	PRR	Cred	0	LogisticRegression	RDKit	GeomRS	0.56034
Secondary	PRR	Cred	2	LogisticRegression	RDKit	GeomRS	0.58391
Secondary	PRR	Card	3	LogisticRegression	RDKit	GeomRS	0.56845
Secondary	PRR	Card	1	LogisticRegression	RDKit	GeomRS	0.54046
Secondary	PRR	Card	4	LogisticRegression	RDKit	GeomRS	0.58386
Secondary	PRR	Card	0	LogisticRegression	RDKit	GeomRS	0.54014
Secondary	PRR	Card	2	LogisticRegression	RDKit	GeomRS	0.59484
Secondary	PRR	Cvas	3	LogisticRegression	RDKit	GeomRS	0.56408
Secondary	PRR	Cvas	1	LogisticRegression	RDKit	GeomRS	0.57361
Secondary	PRR	Cvas	4	LogisticRegression	RDKit	GeomRS	0.58131
Secondary	PRR	Cvas	0	LogisticRegression	RDKit	GeomRS	0.56291
Secondary	PRR	Cvas	2	LogisticRegression	RDKit	GeomRS	0.57837
Secondary	PRR	Cred	3	LogisticRegression	RDKit	HarmRS	0.54794
Secondary	PRR	Cred	1	LogisticRegression	RDKit	HarmRS	0.54793
Secondary	PRR	Cred	4	LogisticRegression	RDKit	HarmRS	0.56586
Secondary	PRR	Cred	0	LogisticRegression	RDKit	HarmRS	0.5588
Secondary	PRR	Cred	2	LogisticRegression	RDKit	HarmRS	0.58388
Secondary	PRR	Card	3	LogisticRegression	RDKit	HarmRS	0.56463
Secondary	PRR	Card	1	LogisticRegression	RDKit	HarmRS	0.53996
Secondary	PRR	Card	4	LogisticRegression	RDKit	HarmRS	0.58043
Secondary	PRR	Card	0	LogisticRegression	RDKit	HarmRS	0.53542
Secondary	PRR	Card	2	LogisticRegression	RDKit	HarmRS	0.59385
Secondary	PRR	Cvas	3	LogisticRegression	RDKit	HarmRS	0.54888
Secondary	PRR	Cvas	1	LogisticRegression	RDKit	HarmRS	0.57106
Secondary	PRR	Cvas	4	LogisticRegression	RDKit	HarmRS	0.57919
Secondary	PRR	Cvas	0	LogisticRegression	RDKit	HarmRS	0.55746
Secondary	PRR	Cvas	2	LogisticRegression	RDKit	HarmRS	0.57716
Secondary	PRR	Cred	3	LogisticRegression	RDKit	F1 Score	0.62481
Secondary	PRR	Cred	1	LogisticRegression	RDKit	F1 Score	0.62754
Secondary	PRR	Cred	4	LogisticRegression	RDKit	F1 Score	0.65443
Secondary	PRR	Cred	0	LogisticRegression	RDKit	F1 Score	0.65477
Secondary	PRR	Cred	2	LogisticRegression	RDKit	F1 Score	0.65593
Secondary	PRR	Card	3	LogisticRegression	RDKit	F1 Score	0.65537
Secondary	PRR	Card	1	LogisticRegression	RDKit	F1 Score	0.63366
Secondary	PRR	Card	4	LogisticRegression	RDKit	F1 Score	0.66568
Secondary	PRR	Card	0	LogisticRegression	RDKit	F1 Score	0.6561
Secondary	PRR	Card	2	LogisticRegression	RDKit	F1 Score	0.68231
Secondary	PRR	Cvas	3	LogisticRegression	RDKit	F1 Score	0.69225
Secondary	PRR	Cvas	1	LogisticRegression	RDKit	F1 Score	0.68325
Secondary	PRR	Cvas	4	LogisticRegression	RDKit	F1 Score	0.65573
Secondary	PRR	Cvas	0	LogisticRegression	RDKit	F1 Score	0.68053
Secondary	PRR	Cvas	2	LogisticRegression	RDKit	F1 Score	0.66935
Secondary	PRR	Cred	3	LogisticRegression	RDKit	ROC AUC	0.57106
Secondary	PRR	Cred	1	LogisticRegression	RDKit	ROC AUC	0.57425
Secondary	PRR	Cred	4	LogisticRegression	RDKit	ROC AUC	0.61315
Secondary	PRR	Cred	0	LogisticRegression	RDKit	ROC AUC	0.57147
Secondary	PRR	Cred	2	LogisticRegression	RDKit	ROC AUC	0.60867
Secondary	PRR	Card	3	LogisticRegression	RDKit	ROC AUC	0.60611
Secondary	PRR	Card	1	LogisticRegression	RDKit	ROC AUC	0.56289
Secondary	PRR	Card	4	LogisticRegression	RDKit	ROC AUC	0.6273
Secondary	PRR	Card	0	LogisticRegression	RDKit	ROC AUC	0.55718
Secondary	PRR	Card	2	LogisticRegression	RDKit	ROC AUC	0.62569
Secondary	PRR	Cvas	3	LogisticRegression	RDKit	ROC AUC	0.61428
Secondary	PRR	Cvas	1	LogisticRegression	RDKit	ROC AUC	0.59605
Secondary	PRR	Cvas	4	LogisticRegression	RDKit	ROC AUC	0.62231
Secondary	PRR	Cvas	0	LogisticRegression	RDKit	ROC AUC	0.58907
Secondary	PRR	Cvas	2	LogisticRegression	RDKit	ROC AUC	0.61172
Secondary	PRR	Cred	3	LogisticRegression	RDKit	MCC	0.10056
Secondary	PRR	Cred	1	LogisticRegression	RDKit	MCC	0.08879
Secondary	PRR	Cred	4	LogisticRegression	RDKit	MCC	0.14536
Secondary	PRR	Cred	0	LogisticRegression	RDKit	MCC	0.11758
Secondary	PRR	Cred	2	LogisticRegression	RDKit	MCC	0.15841
Secondary	PRR	Card	3	LogisticRegression	RDKit	MCC	0.14271
Secondary	PRR	Card	1	LogisticRegression	RDKit	MCC	0.07604
Secondary	PRR	Card	4	LogisticRegression	RDKit	MCC	0.17273
Secondary	PRR	Card	0	LogisticRegression	RDKit	MCC	0.08598
Secondary	PRR	Card	2	LogisticRegression	RDKit	MCC	0.18206
Secondary	PRR	Cvas	3	LogisticRegression	RDKit	MCC	0.1629
Secondary	PRR	Cvas	1	LogisticRegression	RDKit	MCC	0.14294
Secondary	PRR	Cvas	4	LogisticRegression	RDKit	MCC	0.16435
Secondary	PRR	Cvas	0	LogisticRegression	RDKit	MCC	0.13178
Secondary	PRR	Cvas	2	LogisticRegression	RDKit	MCC	0.15108
Secondary	PRR	Cred	3	LogisticRegression	RDKit	Accuracy	0.56124
Secondary	PRR	Cred	1	LogisticRegression	RDKit	Accuracy	0.54902
Secondary	PRR	Cred	4	LogisticRegression	RDKit	Accuracy	0.58802
Secondary	PRR	Cred	0	LogisticRegression	RDKit	Accuracy	0.57574
Secondary	PRR	Cred	2	LogisticRegression	RDKit	Accuracy	0.586
Secondary	PRR	Card	3	LogisticRegression	RDKit	Accuracy	0.58743
Secondary	PRR	Card	1	LogisticRegression	RDKit	Accuracy	0.54986
Secondary	PRR	Card	4	LogisticRegression	RDKit	Accuracy	0.60128
Secondary	PRR	Card	0	LogisticRegression	RDKit	Accuracy	0.56888
Secondary	PRR	Card	2	LogisticRegression	RDKit	Accuracy	0.60746
Secondary	PRR	Cvas	3	LogisticRegression	RDKit	Accuracy	0.6103
Secondary	PRR	Cvas	1	LogisticRegression	RDKit	Accuracy	0.59678
Secondary	PRR	Cvas	4	LogisticRegression	RDKit	Accuracy	0.59441
Secondary	PRR	Cvas	0	LogisticRegression	RDKit	Accuracy	0.59476
Secondary	PRR	Cvas	2	LogisticRegression	RDKit	Accuracy	0.59225
Secondary	PRR	Cred	3	LogisticRegression	RDKit	Recall	0.59463
Secondary	PRR	Cred	1	LogisticRegression	RDKit	Recall	0.55078
Secondary	PRR	Cred	4	LogisticRegression	RDKit	Recall	0.6396
Secondary	PRR	Cred	0	LogisticRegression	RDKit	Recall	0.60344
Secondary	PRR	Cred	2	LogisticRegression	RDKit	Recall	0.59004
Secondary	PRR	Card	3	LogisticRegression	RDKit	Recall	0.63849
Secondary	PRR	Card	1	LogisticRegression	RDKit	Recall	0.56438
Secondary	PRR	Card	4	LogisticRegression	RDKit	Recall	0.65086
Secondary	PRR	Card	0	LogisticRegression	RDKit	Recall	0.61681
Secondary	PRR	Card	2	LogisticRegression	RDKit	Recall	0.63027
Secondary	PRR	Cvas	3	LogisticRegression	RDKit	Recall	0.71341
Secondary	PRR	Cvas	1	LogisticRegression	RDKit	Recall	0.63047
Secondary	PRR	Cvas	4	LogisticRegression	RDKit	Recall	0.63332
Secondary	PRR	Cvas	0	LogisticRegression	RDKit	Recall	0.64739
Secondary	PRR	Cvas	2	LogisticRegression	RDKit	Recall	0.6171
Secondary	PRR	Cred	3	LogisticRegression	RDKit	Specificity	0.50805
Secondary	PRR	Cred	1	LogisticRegression	RDKit	Specificity	0.54511
Secondary	PRR	Cred	4	LogisticRegression	RDKit	Specificity	0.50737
Secondary	PRR	Cred	0	LogisticRegression	RDKit	Specificity	0.52031
Secondary	PRR	Cred	2	LogisticRegression	RDKit	Specificity	0.57785
Secondary	PRR	Card	3	LogisticRegression	RDKit	Specificity	0.50609
Secondary	PRR	Card	1	LogisticRegression	RDKit	Specificity	0.51756
Secondary	PRR	Card	4	LogisticRegression	RDKit	Specificity	0.52375
Secondary	PRR	Card	0	LogisticRegression	RDKit	Specificity	0.47301
Secondary	PRR	Card	2	LogisticRegression	RDKit	Specificity	0.56141
Secondary	PRR	Cvas	3	LogisticRegression	RDKit	Specificity	0.44601
Secondary	PRR	Cvas	1	LogisticRegression	RDKit	Specificity	0.52188
Secondary	PRR	Cvas	4	LogisticRegression	RDKit	Specificity	0.53358
Secondary	PRR	Cvas	0	LogisticRegression	RDKit	Specificity	0.48946
Secondary	PRR	Cvas	2	LogisticRegression	RDKit	Specificity	0.54207
Secondary	PRR	Cred	3	LogisticRegression	RDKit	Precision	0.65821
Secondary	PRR	Cred	1	LogisticRegression	RDKit	Precision	0.72917
Secondary	PRR	Cred	4	LogisticRegression	RDKit	Precision	0.66996
Secondary	PRR	Cred	0	LogisticRegression	RDKit	Precision	0.71564
Secondary	PRR	Cred	2	LogisticRegression	RDKit	Precision	0.73839
Secondary	PRR	Card	3	LogisticRegression	RDKit	Precision	0.67316
Secondary	PRR	Card	1	LogisticRegression	RDKit	Precision	0.72233
Secondary	PRR	Card	4	LogisticRegression	RDKit	Precision	0.6812
Secondary	PRR	Card	0	LogisticRegression	RDKit	Precision	0.70073
Secondary	PRR	Card	2	LogisticRegression	RDKit	Precision	0.74371
Secondary	PRR	Cvas	3	LogisticRegression	RDKit	Precision	0.67232
Secondary	PRR	Cvas	1	LogisticRegression	RDKit	Precision	0.74569
Secondary	PRR	Cvas	4	LogisticRegression	RDKit	Precision	0.67979
Secondary	PRR	Cvas	0	LogisticRegression	RDKit	Precision	0.71726
Secondary	PRR	Cvas	2	LogisticRegression	RDKit	Precision	0.73127
Secondary	PRR	Cred	3	LogisticRegression	RDKit	PRC AUC	0.67473
Secondary	PRR	Cred	1	LogisticRegression	RDKit	PRC AUC	0.74992
Secondary	PRR	Cred	4	LogisticRegression	RDKit	PRC AUC	0.70539
Secondary	PRR	Cred	0	LogisticRegression	RDKit	PRC AUC	0.7154
Secondary	PRR	Cred	2	LogisticRegression	RDKit	PRC AUC	0.7669
Secondary	PRR	Card	3	LogisticRegression	RDKit	PRC AUC	0.69968
Secondary	PRR	Card	1	LogisticRegression	RDKit	PRC AUC	0.73836
Secondary	PRR	Card	4	LogisticRegression	RDKit	PRC AUC	0.71929
Secondary	PRR	Card	0	LogisticRegression	RDKit	PRC AUC	0.71435
Secondary	PRR	Card	2	LogisticRegression	RDKit	PRC AUC	0.77618
Secondary	PRR	Cvas	3	LogisticRegression	RDKit	PRC AUC	0.70837
Secondary	PRR	Cvas	1	LogisticRegression	RDKit	PRC AUC	0.75841
Secondary	PRR	Cvas	4	LogisticRegression	RDKit	PRC AUC	0.7122
Secondary	PRR	Cvas	0	LogisticRegression	RDKit	PRC AUC	0.72216
Secondary	PRR	Cvas	2	LogisticRegression	RDKit	PRC AUC	0.76002
Secondary	PRR	Cred	3	LogisticRegression	RDKit	ECE	0.09865
Secondary	PRR	Cred	1	LogisticRegression	RDKit	ECE	0.18268
Secondary	PRR	Cred	4	LogisticRegression	RDKit	ECE	0.08739
Secondary	PRR	Cred	0	LogisticRegression	RDKit	ECE	0.15273
Secondary	PRR	Cred	2	LogisticRegression	RDKit	ECE	0.15429
Secondary	PRR	Card	3	LogisticRegression	RDKit	ECE	0.08265
Secondary	PRR	Card	1	LogisticRegression	RDKit	ECE	0.19967
Secondary	PRR	Card	4	LogisticRegression	RDKit	ECE	0.08684
Secondary	PRR	Card	0	LogisticRegression	RDKit	ECE	0.14401
Secondary	PRR	Card	2	LogisticRegression	RDKit	ECE	0.13752
Secondary	PRR	Cvas	3	LogisticRegression	RDKit	ECE	0.05459
Secondary	PRR	Cvas	1	LogisticRegression	RDKit	ECE	0.15425
Secondary	PRR	Cvas	4	LogisticRegression	RDKit	ECE	0.0785
Secondary	PRR	Cvas	0	LogisticRegression	RDKit	ECE	0.13041
Secondary	PRR	Cvas	2	LogisticRegression	RDKit	ECE	0.14118
Secondary	PRR	Cred	3	LogisticRegression	RDKit	Brier	0.24457
Secondary	PRR	Cred	1	LogisticRegression	RDKit	Brier	0.2612
Secondary	PRR	Cred	4	LogisticRegression	RDKit	Brier	0.23784
Secondary	PRR	Cred	0	LogisticRegression	RDKit	Brier	0.25696
Secondary	PRR	Cred	2	LogisticRegression	RDKit	Brier	0.24029
Secondary	PRR	Card	3	LogisticRegression	RDKit	Brier	0.23918
Secondary	PRR	Card	1	LogisticRegression	RDKit	Brier	0.27263
Secondary	PRR	Card	4	LogisticRegression	RDKit	Brier	0.24014
Secondary	PRR	Card	0	LogisticRegression	RDKit	Brier	0.26074
Secondary	PRR	Card	2	LogisticRegression	RDKit	Brier	0.2356
Secondary	PRR	Cvas	3	LogisticRegression	RDKit	Brier	0.2325
Secondary	PRR	Cvas	1	LogisticRegression	RDKit	Brier	0.24092
Secondary	PRR	Cvas	4	LogisticRegression	RDKit	Brier	0.23458
Secondary	PRR	Cvas	0	LogisticRegression	RDKit	Brier	0.23984
Secondary	PRR	Cvas	2	LogisticRegression	RDKit	Brier	0.24301
