Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54385
Secondary	PRR	Cred	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.45011
Secondary	PRR	Cred	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.56465
Secondary	PRR	Cred	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.4624
Secondary	PRR	Cred	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.562
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.55412
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.48254
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.5562
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.44967
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.5342
Secondary	PRR	Cvas	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53467
Secondary	PRR	Cvas	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.54101
Secondary	PRR	Cvas	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.53537
Secondary	PRR	Cvas	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.47587
Secondary	PRR	Cvas	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.56213
Secondary	PRR	Cred	2	RandomForestClassifier	ChemBERTa	GeomRS	0.52601
Secondary	PRR	Cred	3	RandomForestClassifier	ChemBERTa	GeomRS	0.44983
Secondary	PRR	Cred	4	RandomForestClassifier	ChemBERTa	GeomRS	0.53304
Secondary	PRR	Cred	0	RandomForestClassifier	ChemBERTa	GeomRS	0.45268
Secondary	PRR	Cred	1	RandomForestClassifier	ChemBERTa	GeomRS	0.56183
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	GeomRS	0.50451
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	GeomRS	0.46232
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	GeomRS	0.51102
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	GeomRS	0.42693
