Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	1	XGBClassifier	ECFP	Balanced Accuracy	0.57286
Secondary	PRR	Cred	3	XGBClassifier	ECFP	Balanced Accuracy	0.53786
Secondary	PRR	Cred	4	XGBClassifier	ECFP	Balanced Accuracy	0.61077
Secondary	PRR	Cred	0	XGBClassifier	ECFP	Balanced Accuracy	0.59967
Secondary	PRR	Cred	2	XGBClassifier	ECFP	Balanced Accuracy	0.60535
Secondary	PRR	Card	1	XGBClassifier	ECFP	Balanced Accuracy	0.5656
Secondary	PRR	Card	3	XGBClassifier	ECFP	Balanced Accuracy	0.56614
Secondary	PRR	Card	4	XGBClassifier	ECFP	Balanced Accuracy	0.60048
Secondary	PRR	Card	0	XGBClassifier	ECFP	Balanced Accuracy	0.59246
Secondary	PRR	Card	2	XGBClassifier	ECFP	Balanced Accuracy	0.57417
Secondary	PRR	Cvas	1	XGBClassifier	ECFP	Balanced Accuracy	0.56012
Secondary	PRR	Cvas	3	XGBClassifier	ECFP	Balanced Accuracy	0.57672
Secondary	PRR	Cvas	4	XGBClassifier	ECFP	Balanced Accuracy	0.61924
Secondary	PRR	Cvas	0	XGBClassifier	ECFP	Balanced Accuracy	0.61084
Secondary	PRR	Cvas	2	XGBClassifier	ECFP	Balanced Accuracy	0.60363
Secondary	PRR	Cred	1	XGBClassifier	ECFP	GeomRS	0.57248
Secondary	PRR	Cred	3	XGBClassifier	ECFP	GeomRS	0.53547
Secondary	PRR	Cred	4	XGBClassifier	ECFP	GeomRS	0.60216
Secondary	PRR	Cred	0	XGBClassifier	ECFP	GeomRS	0.59952
Secondary	PRR	Cred	2	XGBClassifier	ECFP	GeomRS	0.6044
Secondary	PRR	Card	1	XGBClassifier	ECFP	GeomRS	0.5656
Secondary	PRR	Card	3	XGBClassifier	ECFP	GeomRS	0.56491
Secondary	PRR	Card	4	XGBClassifier	ECFP	GeomRS	0.57696
Secondary	PRR	Card	0	XGBClassifier	ECFP	GeomRS	0.59091
Secondary	PRR	Card	2	XGBClassifier	ECFP	GeomRS	0.56751
Secondary	PRR	Cvas	1	XGBClassifier	ECFP	GeomRS	0.55959
Secondary	PRR	Cvas	3	XGBClassifier	ECFP	GeomRS	0.57672
Secondary	PRR	Cvas	4	XGBClassifier	ECFP	GeomRS	0.61401
Secondary	PRR	Cvas	0	XGBClassifier	ECFP	GeomRS	0.61006
Secondary	PRR	Cvas	2	XGBClassifier	ECFP	GeomRS	0.59687
Secondary	PRR	Cred	1	XGBClassifier	ECFP	HarmRS	0.5721
Secondary	PRR	Cred	3	XGBClassifier	ECFP	HarmRS	0.53309
Secondary	PRR	Cred	4	XGBClassifier	ECFP	HarmRS	0.59368
Secondary	PRR	Cred	0	XGBClassifier	ECFP	HarmRS	0.59938
Secondary	PRR	Cred	2	XGBClassifier	ECFP	HarmRS	0.60346
Secondary	PRR	Card	1	XGBClassifier	ECFP	HarmRS	0.56559
Secondary	PRR	Card	3	XGBClassifier	ECFP	HarmRS	0.56368
Secondary	PRR	Card	4	XGBClassifier	ECFP	HarmRS	0.55436
Secondary	PRR	Card	0	XGBClassifier	ECFP	HarmRS	0.58936
Secondary	PRR	Card	2	XGBClassifier	ECFP	HarmRS	0.56092
Secondary	PRR	Cvas	1	XGBClassifier	ECFP	HarmRS	0.55907
Secondary	PRR	Cvas	3	XGBClassifier	ECFP	HarmRS	0.57672
Secondary	PRR	Cvas	4	XGBClassifier	ECFP	HarmRS	0.60882
Secondary	PRR	Cvas	0	XGBClassifier	ECFP	HarmRS	0.60928
Secondary	PRR	Cvas	2	XGBClassifier	ECFP	HarmRS	0.59019
Secondary	PRR	Cred	1	XGBClassifier	ECFP	F1 Score	0.63641
Secondary	PRR	Cred	3	XGBClassifier	ECFP	F1 Score	0.55824
Secondary	PRR	Cred	4	XGBClassifier	ECFP	F1 Score	0.70336
Secondary	PRR	Cred	0	XGBClassifier	ECFP	F1 Score	0.65897
Secondary	PRR	Cred	2	XGBClassifier	ECFP	F1 Score	0.69047
Secondary	PRR	Card	1	XGBClassifier	ECFP	F1 Score	0.644
Secondary	PRR	Card	3	XGBClassifier	ECFP	F1 Score	0.59495
Secondary	PRR	Card	4	XGBClassifier	ECFP	F1 Score	0.72047
Secondary	PRR	Card	0	XGBClassifier	ECFP	F1 Score	0.68297
Secondary	PRR	Card	2	XGBClassifier	ECFP	F1 Score	0.69059
Secondary	PRR	Cvas	1	XGBClassifier	ECFP	F1 Score	0.65176
Secondary	PRR	Cvas	3	XGBClassifier	ECFP	F1 Score	0.62667
Secondary	PRR	Cvas	4	XGBClassifier	ECFP	F1 Score	0.70151
Secondary	PRR	Cvas	0	XGBClassifier	ECFP	F1 Score	0.69313
Secondary	PRR	Cvas	2	XGBClassifier	ECFP	F1 Score	0.71717
Secondary	PRR	Cred	1	XGBClassifier	ECFP	ROC AUC	0.60277
Secondary	PRR	Cred	3	XGBClassifier	ECFP	ROC AUC	0.54891
Secondary	PRR	Cred	4	XGBClassifier	ECFP	ROC AUC	0.64865
Secondary	PRR	Cred	0	XGBClassifier	ECFP	ROC AUC	0.63742
Secondary	PRR	Cred	2	XGBClassifier	ECFP	ROC AUC	0.64171
Secondary	PRR	Card	1	XGBClassifier	ECFP	ROC AUC	0.59409
Secondary	PRR	Card	3	XGBClassifier	ECFP	ROC AUC	0.57417
Secondary	PRR	Card	4	XGBClassifier	ECFP	ROC AUC	0.64929
Secondary	PRR	Card	0	XGBClassifier	ECFP	ROC AUC	0.62816
Secondary	PRR	Card	2	XGBClassifier	ECFP	ROC AUC	0.6167
Secondary	PRR	Cvas	1	XGBClassifier	ECFP	ROC AUC	0.5736
Secondary	PRR	Cvas	3	XGBClassifier	ECFP	ROC AUC	0.58353
Secondary	PRR	Cvas	4	XGBClassifier	ECFP	ROC AUC	0.64728
Secondary	PRR	Cvas	0	XGBClassifier	ECFP	ROC AUC	0.64769
Secondary	PRR	Cvas	2	XGBClassifier	ECFP	ROC AUC	0.64873
Secondary	PRR	Cred	1	XGBClassifier	ECFP	MCC	0.13483
Secondary	PRR	Cred	3	XGBClassifier	ECFP	MCC	0.07397
Secondary	PRR	Cred	4	XGBClassifier	ECFP	MCC	0.22339
Secondary	PRR	Cred	0	XGBClassifier	ECFP	MCC	0.18808
Secondary	PRR	Cred	2	XGBClassifier	ECFP	MCC	0.20026
Secondary	PRR	Card	1	XGBClassifier	ECFP	MCC	0.12157
Secondary	PRR	Card	3	XGBClassifier	ECFP	MCC	0.12891
Secondary	PRR	Card	4	XGBClassifier	ECFP	MCC	0.21167
Secondary	PRR	Card	0	XGBClassifier	ECFP	MCC	0.17627
Secondary	PRR	Card	2	XGBClassifier	ECFP	MCC	0.14329
Secondary	PRR	Cvas	1	XGBClassifier	ECFP	MCC	0.11173
Secondary	PRR	Cvas	3	XGBClassifier	ECFP	MCC	0.14949
Secondary	PRR	Cvas	4	XGBClassifier	ECFP	MCC	0.23812
Secondary	PRR	Cvas	0	XGBClassifier	ECFP	MCC	0.21095
Secondary	PRR	Cvas	2	XGBClassifier	ECFP	MCC	0.2015
Secondary	PRR	Cred	1	XGBClassifier	ECFP	Accuracy	0.56494
Secondary	PRR	Cred	3	XGBClassifier	ECFP	Accuracy	0.52627
Secondary	PRR	Cred	4	XGBClassifier	ECFP	Accuracy	0.63323
Secondary	PRR	Cred	0	XGBClassifier	ECFP	Accuracy	0.59527
Secondary	PRR	Cred	2	XGBClassifier	ECFP	Accuracy	0.61675
Secondary	PRR	Card	1	XGBClassifier	ECFP	Accuracy	0.56662
Secondary	PRR	Card	3	XGBClassifier	ECFP	Accuracy	0.55761
Secondary	PRR	Card	4	XGBClassifier	ECFP	Accuracy	0.63706
Secondary	PRR	Card	0	XGBClassifier	ECFP	Accuracy	0.60675
Secondary	PRR	Card	2	XGBClassifier	ECFP	Accuracy	0.60362
Secondary	PRR	Cvas	1	XGBClassifier	ECFP	Accuracy	0.5693
Secondary	PRR	Cvas	3	XGBClassifier	ECFP	Accuracy	0.57699
Secondary	PRR	Cvas	4	XGBClassifier	ECFP	Accuracy	0.6369
Secondary	PRR	Cvas	0	XGBClassifier	ECFP	Accuracy	0.62114
Secondary	PRR	Cvas	2	XGBClassifier	ECFP	Accuracy	0.63405
Secondary	PRR	Cred	1	XGBClassifier	ECFP	Recall	0.55199
