Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	ROR	Cred	4	LogisticRegression	Klek	Balanced Accuracy	0.57218
Secondary	ROR	Cred	3	LogisticRegression	Klek	Balanced Accuracy	0.53466
Secondary	ROR	Cred	1	LogisticRegression	Klek	Balanced Accuracy	0.52468
Secondary	ROR	Cred	0	LogisticRegression	Klek	Balanced Accuracy	0.56358
Secondary	ROR	Cred	2	LogisticRegression	Klek	Balanced Accuracy	0.56742
Secondary	ROR	Card	4	LogisticRegression	Klek	Balanced Accuracy	0.55673
Secondary	ROR	Card	3	LogisticRegression	Klek	Balanced Accuracy	0.51359
Secondary	ROR	Card	1	LogisticRegression	Klek	Balanced Accuracy	0.53699
Secondary	ROR	Card	0	LogisticRegression	Klek	Balanced Accuracy	0.57289
Secondary	ROR	Card	2	LogisticRegression	Klek	Balanced Accuracy	0.52865
Secondary	ROR	Cvas	4	LogisticRegression	Klek	Balanced Accuracy	0.52402
Secondary	ROR	Cvas	3	LogisticRegression	Klek	Balanced Accuracy	0.53633
Secondary	ROR	Cvas	1	LogisticRegression	Klek	Balanced Accuracy	0.53331
Secondary	ROR	Cvas	0	LogisticRegression	Klek	Balanced Accuracy	0.49523
Secondary	ROR	Cvas	2	LogisticRegression	Klek	Balanced Accuracy	0.50792
Secondary	ROR	Cred	4	LogisticRegression	Klek	GeomRS	0.57072
Secondary	ROR	Cred	3	LogisticRegression	Klek	GeomRS	0.52782
Secondary	ROR	Cred	1	LogisticRegression	Klek	GeomRS	0.52224
Secondary	ROR	Cred	0	LogisticRegression	Klek	GeomRS	0.55945
Secondary	ROR	Cred	2	LogisticRegression	Klek	GeomRS	0.56325
Secondary	ROR	Card	4	LogisticRegression	Klek	GeomRS	0.55398
Secondary	ROR	Card	3	LogisticRegression	Klek	GeomRS	0.51046
Secondary	ROR	Card	1	LogisticRegression	Klek	GeomRS	0.53474
Secondary	ROR	Card	0	LogisticRegression	Klek	GeomRS	0.57104
Secondary	ROR	Card	2	LogisticRegression	Klek	GeomRS	0.52348
Secondary	ROR	Cvas	4	LogisticRegression	Klek	GeomRS	0.52345
Secondary	ROR	Cvas	3	LogisticRegression	Klek	GeomRS	0.52336
Secondary	ROR	Cvas	1	LogisticRegression	Klek	GeomRS	0.52316
Secondary	ROR	Cvas	0	LogisticRegression	Klek	GeomRS	0.49381
Secondary	ROR	Cvas	2	LogisticRegression	Klek	GeomRS	0.50336
Secondary	ROR	Cred	4	LogisticRegression	Klek	HarmRS	0.56925
Secondary	ROR	Cred	3	LogisticRegression	Klek	HarmRS	0.52108
Secondary	ROR	Cred	1	LogisticRegression	Klek	HarmRS	0.51981
Secondary	ROR	Cred	0	LogisticRegression	Klek	HarmRS	0.55534
Secondary	ROR	Cred	2	LogisticRegression	Klek	HarmRS	0.5591
Secondary	ROR	Card	4	LogisticRegression	Klek	HarmRS	0.55125
Secondary	ROR	Card	3	LogisticRegression	Klek	HarmRS	0.50734
Secondary	ROR	Card	1	LogisticRegression	Klek	HarmRS	0.53249
Secondary	ROR	Card	0	LogisticRegression	Klek	HarmRS	0.56921
Secondary	ROR	Card	2	LogisticRegression	Klek	HarmRS	0.51837
Secondary	ROR	Cvas	4	LogisticRegression	Klek	HarmRS	0.52288
Secondary	ROR	Cvas	3	LogisticRegression	Klek	HarmRS	0.51071
Secondary	ROR	Cvas	1	LogisticRegression	Klek	HarmRS	0.51321
Secondary	ROR	Cvas	0	LogisticRegression	Klek	HarmRS	0.4924
Secondary	ROR	Cvas	2	LogisticRegression	Klek	HarmRS	0.49883
Secondary	ROR	Cred	4	LogisticRegression	Klek	F1 Score	0.57047
Secondary	ROR	Cred	3	LogisticRegression	Klek	F1 Score	0.50769
Secondary	ROR	Cred	1	LogisticRegression	Klek	F1 Score	0.54855
Secondary	ROR	Cred	0	LogisticRegression	Klek	F1 Score	0.64458
Secondary	ROR	Cred	2	LogisticRegression	Klek	F1 Score	0.57566
Secondary	ROR	Card	4	LogisticRegression	Klek	F1 Score	0.54696
Secondary	ROR	Card	3	LogisticRegression	Klek	F1 Score	0.50215
Secondary	ROR	Card	1	LogisticRegression	Klek	F1 Score	0.56207
Secondary	ROR	Card	0	LogisticRegression	Klek	F1 Score	0.59374
