Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.55225
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.56663
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.52023
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.56814
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.54808
Secondary	ROR	Card	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.55756
Secondary	ROR	Card	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.57253
Secondary	ROR	Card	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.51424
Secondary	ROR	Card	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.58147
Secondary	ROR	Card	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.55711
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.55337
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.55847
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.5591
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.54705
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.53832
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	GeomRS	0.55176
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	GeomRS	0.56447
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	GeomRS	0.51907
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	GeomRS	0.56412
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	GeomRS	0.5385
Secondary	ROR	Card	4	RandomForestClassifier	CDDD	GeomRS	0.55735
Secondary	ROR	Card	1	RandomForestClassifier	CDDD	GeomRS	0.56271
Secondary	ROR	Card	3	RandomForestClassifier	CDDD	GeomRS	0.51335
Secondary	ROR	Card	2	RandomForestClassifier	CDDD	GeomRS	0.55216
Secondary	ROR	Card	0	RandomForestClassifier	CDDD	GeomRS	0.55672
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	GeomRS	0.549
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	GeomRS	0.5516
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	GeomRS	0.5561
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	GeomRS	0.52927
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	GeomRS	0.537
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	HarmRS	0.55127
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	HarmRS	0.56233
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	HarmRS	0.51791
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	HarmRS	0.56013
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	HarmRS	0.52909
Secondary	ROR	Card	4	RandomForestClassifier	CDDD	HarmRS	0.55713
Secondary	ROR	Card	1	RandomForestClassifier	CDDD	HarmRS	0.55306
Secondary	ROR	Card	3	RandomForestClassifier	CDDD	HarmRS	0.51245
Secondary	ROR	Card	2	RandomForestClassifier	CDDD	HarmRS	0.52433
Secondary	ROR	Card	0	RandomForestClassifier	CDDD	HarmRS	0.55634
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	HarmRS	0.54467
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	HarmRS	0.54481
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	HarmRS	0.55312
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	HarmRS	0.51206
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	HarmRS	0.53569
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	F1 Score	0.58169
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	F1 Score	0.59206
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	F1 Score	0.52161
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	F1 Score	0.64969
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	F1 Score	0.53298
Secondary	ROR	Card	4	RandomForestClassifier	CDDD	F1 Score	0.56836
Secondary	ROR	Card	1	RandomForestClassifier	CDDD	F1 Score	0.56267
