PT	Descriptors	Metric	Model	Mean	STD
Card	CDDD	Accuracy	LogisticRegression	0.54401	0.04151
Card	CDDD	Accuracy	RandomForestClassifier	0.58491	0.04571
Card	CDDD	Accuracy	XGBClassifier	0.58517	0.03701
Card	CDDD	Balanced Accuracy	LogisticRegression	0.5388	0.02995
Card	CDDD	Balanced Accuracy	RandomForestClassifier	0.56231	0.03326
Card	CDDD	Balanced Accuracy	XGBClassifier	0.56758	0.0244
Card	CDDD	Brier	LogisticRegression	0.29652	0.03962
Card	CDDD	Brier	RandomForestClassifier	0.23757	0.01169
Card	CDDD	Brier	XGBClassifier	0.24477	0.01498
Card	CDDD	ECE	LogisticRegression	0.20127	0.06004
Card	CDDD	ECE	RandomForestClassifier	0.08454	0.0367
Card	CDDD	ECE	XGBClassifier	0.10134	0.03479
Card	CDDD	F1 Score	LogisticRegression	0.58945	0.07186
Card	CDDD	F1 Score	RandomForestClassifier	0.64631	0.07693
Card	CDDD	F1 Score	XGBClassifier	0.64263	0.06935
Card	CDDD	GeomRS	LogisticRegression	0.53006	0.03172
Card	CDDD	GeomRS	RandomForestClassifier	0.53042	0.07121
Card	CDDD	GeomRS	XGBClassifier	0.54821	0.03887
Card	CDDD	HarmRS	LogisticRegression	0.5216	0.03543
Card	CDDD	HarmRS	RandomForestClassifier	0.5056	0.10351
Card	CDDD	HarmRS	XGBClassifier	0.53064	0.05773
Card	CDDD	MCC	LogisticRegression	0.07752	0.05983
Card	CDDD	MCC	RandomForestClassifier	0.13104	0.06676
Card	CDDD	MCC	XGBClassifier	0.13887	0.04898
Card	CDDD	PRC AUC	LogisticRegression	0.65036	0.04712
Card	CDDD	PRC AUC	RandomForestClassifier	0.70646	0.04946
Card	CDDD	PRC AUC	XGBClassifier	0.70339	0.04059
Card	CDDD	Precision	LogisticRegression	0.64031	0.03929
Card	CDDD	Precision	RandomForestClassifier	0.65897	0.04035
Card	CDDD	Precision	XGBClassifier	0.664	0.03462
Card	CDDD	ROC AUC	LogisticRegression	0.54946	0.042
Card	CDDD	ROC AUC	RandomForestClassifier	0.60829	0.04714
Card	CDDD	ROC AUC	XGBClassifier	0.60628	0.03636
