Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	0	LogisticRegression	Klek	Balanced Accuracy	0.52321
Mono	PRR	Cred	1	LogisticRegression	Klek	Balanced Accuracy	0.54977
Mono	PRR	Cred	3	LogisticRegression	Klek	Balanced Accuracy	0.52108
Mono	PRR	Cred	4	LogisticRegression	Klek	Balanced Accuracy	0.49708
Mono	PRR	Cred	2	LogisticRegression	Klek	Balanced Accuracy	0.55517
Mono	ROR	Cred	0	LogisticRegression	Klek	Balanced Accuracy	0.52962
Mono	ROR	Cred	1	LogisticRegression	Klek	Balanced Accuracy	0.56056
Mono	ROR	Cred	3	LogisticRegression	Klek	Balanced Accuracy	0.53334
Mono	ROR	Cred	4	LogisticRegression	Klek	Balanced Accuracy	0.538
Mono	ROR	Cred	2	LogisticRegression	Klek	Balanced Accuracy	0.59899
Mono	IC	Cred	0	LogisticRegression	Klek	Balanced Accuracy	0.53402
Mono	IC	Cred	1	LogisticRegression	Klek	Balanced Accuracy	0.58154
Mono	IC	Cred	3	LogisticRegression	Klek	Balanced Accuracy	0.51107
Mono	IC	Cred	4	LogisticRegression	Klek	Balanced Accuracy	0.51438
Mono	IC	Cred	2	LogisticRegression	Klek	Balanced Accuracy	0.58749
Mono	PRR	Cred	0	LogisticRegression	Klek	GeomRS	0.51433
Mono	PRR	Cred	1	LogisticRegression	Klek	GeomRS	0.54398
Mono	PRR	Cred	3	LogisticRegression	Klek	GeomRS	0.48784
Mono	PRR	Cred	4	LogisticRegression	Klek	GeomRS	0.49367
Mono	PRR	Cred	2	LogisticRegression	Klek	GeomRS	0.54149
Mono	ROR	Cred	0	LogisticRegression	Klek	GeomRS	0.52589
Mono	ROR	Cred	1	LogisticRegression	Klek	GeomRS	0.55445
Mono	ROR	Cred	3	LogisticRegression	Klek	GeomRS	0.5076
Mono	ROR	Cred	4	LogisticRegression	Klek	GeomRS	0.53269
Mono	ROR	Cred	2	LogisticRegression	Klek	GeomRS	0.59869
Mono	IC	Cred	0	LogisticRegression	Klek	GeomRS	0.53212
Mono	IC	Cred	1	LogisticRegression	Klek	GeomRS	0.57432
Mono	IC	Cred	3	LogisticRegression	Klek	GeomRS	0.50808
Mono	IC	Cred	4	LogisticRegression	Klek	GeomRS	0.4967
Mono	IC	Cred	2	LogisticRegression	Klek	GeomRS	0.56759
Mono	PRR	Cred	0	LogisticRegression	Klek	HarmRS	0.5056
Mono	PRR	Cred	1	LogisticRegression	Klek	HarmRS	0.53824
Mono	PRR	Cred	3	LogisticRegression	Klek	HarmRS	0.45671
Mono	PRR	Cred	4	LogisticRegression	Klek	HarmRS	0.49028
Mono	PRR	Cred	2	LogisticRegression	Klek	HarmRS	0.52815
Mono	ROR	Cred	0	LogisticRegression	Klek	HarmRS	0.52219
Mono	ROR	Cred	1	LogisticRegression	Klek	HarmRS	0.54842
Mono	ROR	Cred	3	LogisticRegression	Klek	HarmRS	0.4831
Mono	ROR	Cred	4	LogisticRegression	Klek	HarmRS	0.52743
Mono	ROR	Cred	2	LogisticRegression	Klek	HarmRS	0.5984
Mono	IC	Cred	0	LogisticRegression	Klek	HarmRS	0.53023
Mono	IC	Cred	1	LogisticRegression	Klek	HarmRS	0.56719
Mono	IC	Cred	3	LogisticRegression	Klek	HarmRS	0.50511
Mono	IC	Cred	4	LogisticRegression	Klek	HarmRS	0.47962
Mono	IC	Cred	2	LogisticRegression	Klek	HarmRS	0.54836
Mono	PRR	Cred	0	LogisticRegression	Klek	F1 Score	0.50386
