Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cvas	0	LogisticRegression	RDKit	Balanced Accuracy	0.52518
Mono	PRR	Cvas	1	LogisticRegression	RDKit	Balanced Accuracy	0.56683
Mono	PRR	Cvas	3	LogisticRegression	RDKit	Balanced Accuracy	0.51166
Mono	PRR	Cvas	2	LogisticRegression	RDKit	Balanced Accuracy	0.55535
Mono	PRR	Cvas	4	LogisticRegression	RDKit	Balanced Accuracy	0.45406
Mono	ROR	Cvas	0	LogisticRegression	RDKit	Balanced Accuracy	0.5368
Mono	ROR	Cvas	1	LogisticRegression	RDKit	Balanced Accuracy	0.56958
Mono	ROR	Cvas	3	LogisticRegression	RDKit	Balanced Accuracy	0.51301
Mono	ROR	Cvas	2	LogisticRegression	RDKit	Balanced Accuracy	0.55074
Mono	ROR	Cvas	4	LogisticRegression	RDKit	Balanced Accuracy	0.46998
Mono	IC	Cvas	0	LogisticRegression	RDKit	Balanced Accuracy	0.52407
Mono	IC	Cvas	1	LogisticRegression	RDKit	Balanced Accuracy	0.56518
Mono	IC	Cvas	3	LogisticRegression	RDKit	Balanced Accuracy	0.50251
Mono	IC	Cvas	2	LogisticRegression	RDKit	Balanced Accuracy	0.55207
Mono	IC	Cvas	4	LogisticRegression	RDKit	Balanced Accuracy	0.44192
Mono	PRR	Cvas	0	LogisticRegression	RDKit	GeomRS	0.51829
Mono	PRR	Cvas	1	LogisticRegression	RDKit	GeomRS	0.56171
Mono	PRR	Cvas	3	LogisticRegression	RDKit	GeomRS	0.50321
Mono	PRR	Cvas	2	LogisticRegression	RDKit	GeomRS	0.55027
Mono	PRR	Cvas	4	LogisticRegression	RDKit	GeomRS	0.4499
Mono	ROR	Cvas	0	LogisticRegression	RDKit	GeomRS	0.52621
Mono	ROR	Cvas	1	LogisticRegression	RDKit	GeomRS	0.55636
Mono	ROR	Cvas	3	LogisticRegression	RDKit	GeomRS	0.50468
Mono	ROR	Cvas	2	LogisticRegression	RDKit	GeomRS	0.55014
Mono	ROR	Cvas	4	LogisticRegression	RDKit	GeomRS	0.46318
Mono	IC	Cvas	0	LogisticRegression	RDKit	GeomRS	0.50965
Mono	IC	Cvas	1	LogisticRegression	RDKit	GeomRS	0.53816
Mono	IC	Cvas	3	LogisticRegression	RDKit	GeomRS	0.49853
Mono	IC	Cvas	2	LogisticRegression	RDKit	GeomRS	0.53244
