Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cvas	0	XGBClassifier	CDDD	Balanced Accuracy	0.52583
Mono	PRR	Cvas	1	XGBClassifier	CDDD	Balanced Accuracy	0.54933
Mono	PRR	Cvas	3	XGBClassifier	CDDD	Balanced Accuracy	0.53893
Mono	PRR	Cvas	2	XGBClassifier	CDDD	Balanced Accuracy	0.49443
Mono	PRR	Cvas	4	XGBClassifier	CDDD	Balanced Accuracy	0.52282
Mono	ROR	Cvas	0	XGBClassifier	CDDD	Balanced Accuracy	0.54339
Mono	ROR	Cvas	1	XGBClassifier	CDDD	Balanced Accuracy	0.56228
Mono	ROR	Cvas	3	XGBClassifier	CDDD	Balanced Accuracy	0.5714
Mono	ROR	Cvas	2	XGBClassifier	CDDD	Balanced Accuracy	0.52389
Mono	ROR	Cvas	4	XGBClassifier	CDDD	Balanced Accuracy	0.53536
Mono	IC	Cvas	0	XGBClassifier	CDDD	Balanced Accuracy	0.51386
Mono	IC	Cvas	1	XGBClassifier	CDDD	Balanced Accuracy	0.52526
Mono	IC	Cvas	3	XGBClassifier	CDDD	Balanced Accuracy	0.5234
Mono	IC	Cvas	2	XGBClassifier	CDDD	Balanced Accuracy	0.5046
Mono	IC	Cvas	4	XGBClassifier	CDDD	Balanced Accuracy	0.50434
Mono	PRR	Cvas	0	XGBClassifier	CDDD	GeomRS	0.52506
Mono	PRR	Cvas	1	XGBClassifier	CDDD	GeomRS	0.53675
Mono	PRR	Cvas	3	XGBClassifier	CDDD	GeomRS	0.53667
Mono	PRR	Cvas	2	XGBClassifier	CDDD	GeomRS	0.48313
Mono	PRR	Cvas	4	XGBClassifier	CDDD	GeomRS	0.51973
Mono	ROR	Cvas	0	XGBClassifier	CDDD	GeomRS	0.54321
Mono	ROR	Cvas	1	XGBClassifier	CDDD	GeomRS	0.55208
Mono	ROR	Cvas	3	XGBClassifier	CDDD	GeomRS	0.57081
Mono	ROR	Cvas	2	XGBClassifier	CDDD	GeomRS	0.51265
Mono	ROR	Cvas	4	XGBClassifier	CDDD	GeomRS	0.53448
Mono	IC	Cvas	0	XGBClassifier	CDDD	GeomRS	0.48258
Mono	IC	Cvas	1	XGBClassifier	CDDD	GeomRS	0.47015
