Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cvas	0	XGBClassifier	Morgan	Balanced Accuracy	0.50001
Mono	PRR	Cvas	1	XGBClassifier	Morgan	Balanced Accuracy	0.50333
Mono	PRR	Cvas	3	XGBClassifier	Morgan	Balanced Accuracy	0.51628
Mono	PRR	Cvas	2	XGBClassifier	Morgan	Balanced Accuracy	0.52551
Mono	PRR	Cvas	4	XGBClassifier	Morgan	Balanced Accuracy	0.47052
Mono	ROR	Cvas	0	XGBClassifier	Morgan	Balanced Accuracy	0.50895
Mono	ROR	Cvas	1	XGBClassifier	Morgan	Balanced Accuracy	0.5116
Mono	ROR	Cvas	3	XGBClassifier	Morgan	Balanced Accuracy	0.55227
Mono	ROR	Cvas	2	XGBClassifier	Morgan	Balanced Accuracy	0.53406
Mono	ROR	Cvas	4	XGBClassifier	Morgan	Balanced Accuracy	0.51723
Mono	IC	Cvas	0	XGBClassifier	Morgan	Balanced Accuracy	0.48407
Mono	IC	Cvas	1	XGBClassifier	Morgan	Balanced Accuracy	0.46845
Mono	IC	Cvas	3	XGBClassifier	Morgan	Balanced Accuracy	0.50895
Mono	IC	Cvas	2	XGBClassifier	Morgan	Balanced Accuracy	0.52638
Mono	IC	Cvas	4	XGBClassifier	Morgan	Balanced Accuracy	0.47285
Mono	PRR	Cvas	0	XGBClassifier	Morgan	GeomRS	0.49399
Mono	PRR	Cvas	1	XGBClassifier	Morgan	GeomRS	0.49647
Mono	PRR	Cvas	3	XGBClassifier	Morgan	GeomRS	0.50975
Mono	PRR	Cvas	2	XGBClassifier	Morgan	GeomRS	0.51596
Mono	PRR	Cvas	4	XGBClassifier	Morgan	GeomRS	0.46958
Mono	ROR	Cvas	0	XGBClassifier	Morgan	GeomRS	0.49112
Mono	ROR	Cvas	1	XGBClassifier	Morgan	GeomRS	0.50671
Mono	ROR	Cvas	3	XGBClassifier	Morgan	GeomRS	0.53814
Mono	ROR	Cvas	2	XGBClassifier	Morgan	GeomRS	0.53183
Mono	ROR	Cvas	4	XGBClassifier	Morgan	GeomRS	0.51691
Mono	IC	Cvas	0	XGBClassifier	Morgan	GeomRS	0.45659
Mono	IC	Cvas	1	XGBClassifier	Morgan	GeomRS	0.43676
Mono	IC	Cvas	3	XGBClassifier	Morgan	GeomRS	0.49755
Mono	IC	Cvas	2	XGBClassifier	Morgan	GeomRS	0.45181
Mono	IC	Cvas	4	XGBClassifier	Morgan	GeomRS	0.42304
Mono	PRR	Cvas	0	XGBClassifier	Morgan	HarmRS	0.48803
Mono	PRR	Cvas	1	XGBClassifier	Morgan	HarmRS	0.48971
Mono	PRR	Cvas	3	XGBClassifier	Morgan	HarmRS	0.5033
Mono	PRR	Cvas	2	XGBClassifier	Morgan	HarmRS	0.50658
Mono	PRR	Cvas	4	XGBClassifier	Morgan	HarmRS	0.46863
Mono	ROR	Cvas	0	XGBClassifier	Morgan	HarmRS	0.47391
Mono	ROR	Cvas	1	XGBClassifier	Morgan	HarmRS	0.50188
Mono	ROR	Cvas	3	XGBClassifier	Morgan	HarmRS	0.52438
Mono	ROR	Cvas	2	XGBClassifier	Morgan	HarmRS	0.52961
Mono	ROR	Cvas	4	XGBClassifier	Morgan	HarmRS	0.51659
