Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Card	0	LogisticRegression	MACCS	Balanced Accuracy	0.49896
Primary	PRR	Card	2	LogisticRegression	MACCS	Balanced Accuracy	0.53958
Primary	PRR	Card	4	LogisticRegression	MACCS	Balanced Accuracy	0.49356
Primary	PRR	Card	1	LogisticRegression	MACCS	Balanced Accuracy	0.54505
Primary	PRR	Card	3	LogisticRegression	MACCS	Balanced Accuracy	0.50491
Primary	ROR	Card	0	LogisticRegression	MACCS	Balanced Accuracy	0.47779
Primary	ROR	Card	2	LogisticRegression	MACCS	Balanced Accuracy	0.52462
Primary	ROR	Card	4	LogisticRegression	MACCS	Balanced Accuracy	0.49758
Primary	ROR	Card	1	LogisticRegression	MACCS	Balanced Accuracy	0.53583
Primary	ROR	Card	3	LogisticRegression	MACCS	Balanced Accuracy	0.53027
Primary	IC	Card	0	LogisticRegression	MACCS	Balanced Accuracy	0.47327
Primary	IC	Card	2	LogisticRegression	MACCS	Balanced Accuracy	0.50471
Primary	IC	Card	4	LogisticRegression	MACCS	Balanced Accuracy	0.49731
Primary	IC	Card	1	LogisticRegression	MACCS	Balanced Accuracy	0.51635
Primary	IC	Card	3	LogisticRegression	MACCS	Balanced Accuracy	0.50536
Primary	PRR	Card	0	LogisticRegression	MACCS	GeomRS	0.48375
Primary	PRR	Card	2	LogisticRegression	MACCS	GeomRS	0.53846
Primary	PRR	Card	4	LogisticRegression	MACCS	GeomRS	0.49267
Primary	PRR	Card	1	LogisticRegression	MACCS	GeomRS	0.51389
Primary	PRR	Card	3	LogisticRegression	MACCS	GeomRS	0.49573
Primary	ROR	Card	0	LogisticRegression	MACCS	GeomRS	0.39634
Primary	ROR	Card	2	LogisticRegression	MACCS	GeomRS	0.5149
Primary	ROR	Card	4	LogisticRegression	MACCS	GeomRS	0.47945
Primary	ROR	Card	1	LogisticRegression	MACCS	GeomRS	0.47475
Primary	ROR	Card	3	LogisticRegression	MACCS	GeomRS	0.47452
Primary	IC	Card	0	LogisticRegression	MACCS	GeomRS	0.46065
Primary	IC	Card	2	LogisticRegression	MACCS	GeomRS	0.43233
Primary	IC	Card	4	LogisticRegression	MACCS	GeomRS	0.45167
Primary	IC	Card	1	LogisticRegression	MACCS	GeomRS	0.47426
Primary	IC	Card	3	LogisticRegression	MACCS	GeomRS	0.48777
Primary	PRR	Card	0	LogisticRegression	MACCS	HarmRS	0.469
Primary	PRR	Card	2	LogisticRegression	MACCS	HarmRS	0.53733
Primary	PRR	Card	4	LogisticRegression	MACCS	HarmRS	0.49179
Primary	PRR	Card	1	LogisticRegression	MACCS	HarmRS	0.48452
Primary	PRR	Card	3	LogisticRegression	MACCS	HarmRS	0.48673
Primary	ROR	Card	0	LogisticRegression	MACCS	HarmRS	0.32878
Primary	ROR	Card	2	LogisticRegression	MACCS	HarmRS	0.50535
Primary	ROR	Card	4	LogisticRegression	MACCS	HarmRS	0.46199
Primary	ROR	Card	1	LogisticRegression	MACCS	HarmRS	0.42064
Primary	ROR	Card	3	LogisticRegression	MACCS	HarmRS	0.42464
Primary	IC	Card	0	LogisticRegression	MACCS	HarmRS	0.44837
Primary	IC	Card	2	LogisticRegression	MACCS	HarmRS	0.37033
Primary	IC	Card	4	LogisticRegression	MACCS	HarmRS	0.41022
Primary	IC	Card	1	LogisticRegression	MACCS	HarmRS	0.4356
Primary	IC	Card	3	LogisticRegression	MACCS	HarmRS	0.47079
Primary	PRR	Card	0	LogisticRegression	MACCS	F1 Score	0.46378
Primary	PRR	Card	2	LogisticRegression	MACCS	F1 Score	0.55354
Primary	PRR	Card	4	LogisticRegression	MACCS	F1 Score	0.50445
Primary	PRR	Card	1	LogisticRegression	MACCS	F1 Score	0.45054
Primary	PRR	Card	3	LogisticRegression	MACCS	F1 Score	0.48033
Primary	ROR	Card	0	LogisticRegression	MACCS	F1 Score	0.30618
Primary	ROR	Card	2	LogisticRegression	MACCS	F1 Score	0.49743
Primary	ROR	Card	4	LogisticRegression	MACCS	F1 Score	0.44037
Primary	ROR	Card	1	LogisticRegression	MACCS	F1 Score	0.38717
Primary	ROR	Card	3	LogisticRegression	MACCS	F1 Score	0.40071
Primary	IC	Card	0	LogisticRegression	MACCS	F1 Score	0.5826
Primary	IC	Card	2	LogisticRegression	MACCS	F1 Score	0.65633
Primary	IC	Card	4	LogisticRegression	MACCS	F1 Score	0.62279
Primary	IC	Card	1	LogisticRegression	MACCS	F1 Score	0.61344
Primary	IC	Card	3	LogisticRegression	MACCS	F1 Score	0.6073
Primary	PRR	Card	0	LogisticRegression	MACCS	ROC AUC	0.50511
Primary	PRR	Card	2	LogisticRegression	MACCS	ROC AUC	0.55559
Primary	PRR	Card	4	LogisticRegression	MACCS	ROC AUC	0.49186
Primary	PRR	Card	1	LogisticRegression	MACCS	ROC AUC	0.56341
Primary	PRR	Card	3	LogisticRegression	MACCS	ROC AUC	0.50577
Primary	ROR	Card	0	LogisticRegression	MACCS	ROC AUC	0.46495
Primary	ROR	Card	2	LogisticRegression	MACCS	ROC AUC	0.53721
Primary	ROR	Card	4	LogisticRegression	MACCS	ROC AUC	0.48348
Primary	ROR	Card	1	LogisticRegression	MACCS	ROC AUC	0.54342
Primary	ROR	Card	3	LogisticRegression	MACCS	ROC AUC	0.54666
Primary	IC	Card	0	LogisticRegression	MACCS	ROC AUC	0.45754
Primary	IC	Card	2	LogisticRegression	MACCS	ROC AUC	0.51928
Primary	IC	Card	4	LogisticRegression	MACCS	ROC AUC	0.48094
Primary	IC	Card	1	LogisticRegression	MACCS	ROC AUC	0.53597
Primary	IC	Card	3	LogisticRegression	MACCS	ROC AUC	0.51442
Primary	PRR	Card	0	LogisticRegression	MACCS	MCC	-0.00209
Primary	PRR	Card	2	LogisticRegression	MACCS	MCC	0.07848
Primary	PRR	Card	4	LogisticRegression	MACCS	MCC	-0.01282
Primary	PRR	Card	1	LogisticRegression	MACCS	MCC	0.09645
Primary	PRR	Card	3	LogisticRegression	MACCS	MCC	0.00988
Primary	ROR	Card	0	LogisticRegression	MACCS	MCC	-0.05173
Primary	ROR	Card	2	LogisticRegression	MACCS	MCC	0.04969
Primary	ROR	Card	4	LogisticRegression	MACCS	MCC	-0.00499
Primary	ROR	Card	1	LogisticRegression	MACCS	MCC	0.08232
Primary	ROR	Card	3	LogisticRegression	MACCS	MCC	0.06757
Primary	IC	Card	0	LogisticRegression	MACCS	MCC	-0.05343
Primary	IC	Card	2	LogisticRegression	MACCS	MCC	0.01093
Primary	IC	Card	4	LogisticRegression	MACCS	MCC	-0.00586
Primary	IC	Card	1	LogisticRegression	MACCS	MCC	0.03582
Primary	IC	Card	3	LogisticRegression	MACCS	MCC	0.01099
Primary	PRR	Card	0	LogisticRegression	MACCS	Accuracy	0.47339
Primary	PRR	Card	2	LogisticRegression	MACCS	Accuracy	0.5346
Primary	PRR	Card	4	LogisticRegression	MACCS	Accuracy	0.49005
Primary	PRR	Card	1	LogisticRegression	MACCS	Accuracy	0.53688
Primary	PRR	Card	3	LogisticRegression	MACCS	Accuracy	0.49041
Primary	ROR	Card	0	LogisticRegression	MACCS	Accuracy	0.42199
Primary	ROR	Card	2	LogisticRegression	MACCS	Accuracy	0.51023
Primary	ROR	Card	4	LogisticRegression	MACCS	Accuracy	0.48178
Primary	ROR	Card	1	LogisticRegression	MACCS	Accuracy	0.52466
Primary	ROR	Card	3	LogisticRegression	MACCS	Accuracy	0.49446
Primary	IC	Card	0	LogisticRegression	MACCS	Accuracy	0.49597
Primary	IC	Card	2	LogisticRegression	MACCS	Accuracy	0.54199
Primary	IC	Card	4	LogisticRegression	MACCS	Accuracy	0.52202
Primary	IC	Card	1	LogisticRegression	MACCS	Accuracy	0.52553
Primary	IC	Card	3	LogisticRegression	MACCS	Accuracy	0.52536
Primary	PRR	Card	0	LogisticRegression	MACCS	Recall	0.37669
Primary	PRR	Card	2	LogisticRegression	MACCS	Recall	0.50476
Primary	PRR	Card	4	LogisticRegression	MACCS	Recall	0.46403
Primary	PRR	Card	1	LogisticRegression	MACCS	Recall	0.36341
Primary	PRR	Card	3	LogisticRegression	MACCS	Recall	0.40911
Primary	ROR	Card	0	LogisticRegression	MACCS	Recall	0.21096
Primary	ROR	Card	2	LogisticRegression	MACCS	Recall	0.42406
Primary	ROR	Card	4	LogisticRegression	MACCS	Recall	0.36451
Primary	ROR	Card	1	LogisticRegression	MACCS	Recall	0.28739
Primary	ROR	Card	3	LogisticRegression	MACCS	Recall	0.29359
Primary	IC	Card	0	LogisticRegression	MACCS	Recall	0.58183
Primary	IC	Card	2	LogisticRegression	MACCS	Recall	0.76513
Primary	IC	Card	4	LogisticRegression	MACCS	Recall	0.70544
Primary	IC	Card	1	LogisticRegression	MACCS	Recall	0.72055
Primary	IC	Card	3	LogisticRegression	MACCS	Recall	0.63754
Primary	PRR	Card	0	LogisticRegression	MACCS	Specificity	0.62123
Primary	PRR	Card	2	LogisticRegression	MACCS	Specificity	0.5744
Primary	PRR	Card	4	LogisticRegression	MACCS	Specificity	0.52308
Primary	PRR	Card	1	LogisticRegression	MACCS	Specificity	0.72669
Primary	PRR	Card	3	LogisticRegression	MACCS	Specificity	0.6007
Primary	ROR	Card	0	LogisticRegression	MACCS	Specificity	0.74462
Primary	ROR	Card	2	LogisticRegression	MACCS	Specificity	0.62519
Primary	ROR	Card	4	LogisticRegression	MACCS	Specificity	0.63064
Primary	ROR	Card	1	LogisticRegression	MACCS	Specificity	0.78428
Primary	ROR	Card	3	LogisticRegression	MACCS	Specificity	0.76695
Primary	IC	Card	0	LogisticRegression	MACCS	Specificity	0.36471
Primary	IC	Card	2	LogisticRegression	MACCS	Specificity	0.24429
Primary	IC	Card	4	LogisticRegression	MACCS	Specificity	0.28919
Primary	IC	Card	1	LogisticRegression	MACCS	Specificity	0.31216
Primary	IC	Card	3	LogisticRegression	MACCS	Specificity	0.37318
Primary	PRR	Card	0	LogisticRegression	MACCS	Precision	0.60325
Primary	PRR	Card	2	LogisticRegression	MACCS	Precision	0.61275
Primary	PRR	Card	4	LogisticRegression	MACCS	Precision	0.55259
Primary	PRR	Card	1	LogisticRegression	MACCS	Precision	0.59264
Primary	PRR	Card	3	LogisticRegression	MACCS	Precision	0.58158
Primary	ROR	Card	0	LogisticRegression	MACCS	Precision	0.55809
Primary	ROR	Card	2	LogisticRegression	MACCS	Precision	0.60151
Primary	ROR	Card	4	LogisticRegression	MACCS	Precision	0.5561
Primary	ROR	Card	1	LogisticRegression	MACCS	Precision	0.5931
Primary	ROR	Card	3	LogisticRegression	MACCS	Precision	0.63087
Primary	IC	Card	0	LogisticRegression	MACCS	Precision	0.58336
Primary	IC	Card	2	LogisticRegression	MACCS	Precision	0.57461
Primary	IC	Card	4	LogisticRegression	MACCS	Precision	0.55749
Primary	IC	Card	1	LogisticRegression	MACCS	Precision	0.53406
