Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Card	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.47825
Primary	PRR	Card	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.55066
Primary	PRR	Card	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.5544
Primary	PRR	Card	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.52438
Primary	PRR	Card	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.50865
Primary	ROR	Card	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.5118
Primary	ROR	Card	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.5761
Primary	ROR	Card	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.53853
Primary	ROR	Card	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.48285
Primary	ROR	Card	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.50434
Primary	IC	Card	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.48959
Primary	IC	Card	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.51826
Primary	IC	Card	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.53401
Primary	IC	Card	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.51025
Primary	IC	Card	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.5042
Primary	PRR	Card	3	RandomForestClassifier	Morgan	GeomRS	0.47804
Primary	PRR	Card	1	RandomForestClassifier	Morgan	GeomRS	0.54278
Primary	PRR	Card	2	RandomForestClassifier	Morgan	GeomRS	0.55227
Primary	PRR	Card	4	RandomForestClassifier	Morgan	GeomRS	0.51959
Primary	PRR	Card	0	RandomForestClassifier	Morgan	GeomRS	0.47755
Primary	ROR	Card	3	RandomForestClassifier	Morgan	GeomRS	0.4672
Primary	ROR	Card	1	RandomForestClassifier	Morgan	GeomRS	0.51373
Primary	ROR	Card	2	RandomForestClassifier	Morgan	GeomRS	0.52424
Primary	ROR	Card	4	RandomForestClassifier	Morgan	GeomRS	0.43543
Primary	ROR	Card	0	RandomForestClassifier	Morgan	GeomRS	0.42351
Primary	IC	Card	3	RandomForestClassifier	Morgan	GeomRS	0.40256
Primary	IC	Card	1	RandomForestClassifier	Morgan	GeomRS	0.37663
Primary	IC	Card	2	RandomForestClassifier	Morgan	GeomRS	0.41674
Primary	IC	Card	4	RandomForestClassifier	Morgan	GeomRS	0.33435
Primary	IC	Card	0	RandomForestClassifier	Morgan	GeomRS	0.48886
Primary	PRR	Card	3	RandomForestClassifier	Morgan	HarmRS	0.47783
Primary	PRR	Card	1	RandomForestClassifier	Morgan	HarmRS	0.535
Primary	PRR	Card	2	RandomForestClassifier	Morgan	HarmRS	0.55015
Primary	PRR	Card	4	RandomForestClassifier	Morgan	HarmRS	0.51484
Primary	PRR	Card	0	RandomForestClassifier	Morgan	HarmRS	0.44835
Primary	ROR	Card	3	RandomForestClassifier	Morgan	HarmRS	0.42649
Primary	ROR	Card	1	RandomForestClassifier	Morgan	HarmRS	0.4581
Primary	ROR	Card	2	RandomForestClassifier	Morgan	HarmRS	0.51033
Primary	ROR	Card	4	RandomForestClassifier	Morgan	HarmRS	0.39267
Primary	ROR	Card	0	RandomForestClassifier	Morgan	HarmRS	0.35563
Primary	IC	Card	3	RandomForestClassifier	Morgan	HarmRS	0.33101
Primary	IC	Card	1	RandomForestClassifier	Morgan	HarmRS	0.2737
Primary	IC	Card	2	RandomForestClassifier	Morgan	HarmRS	0.32522
Primary	IC	Card	4	RandomForestClassifier	Morgan	HarmRS	0.21909
Primary	IC	Card	0	RandomForestClassifier	Morgan	HarmRS	0.47399
Primary	PRR	Card	3	RandomForestClassifier	Morgan	F1 Score	0.52177
Primary	PRR	Card	1	RandomForestClassifier	Morgan	F1 Score	0.51335
Primary	PRR	Card	2	RandomForestClassifier	Morgan	F1 Score	0.61111
Primary	PRR	Card	4	RandomForestClassifier	Morgan	F1 Score	0.51184
Primary	PRR	Card	0	RandomForestClassifier	Morgan	F1 Score	0.43304
Primary	ROR	Card	3	RandomForestClassifier	Morgan	F1 Score	0.40147
Primary	ROR	Card	1	RandomForestClassifier	Morgan	F1 Score	0.43069
Primary	ROR	Card	2	RandomForestClassifier	Morgan	F1 Score	0.49772
