Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cred	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.51291
Primary	PRR	Cred	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.51379
Primary	PRR	Cred	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.52355
Primary	PRR	Cred	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.51957
Primary	PRR	Cred	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.52497
Primary	ROR	Cred	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.51868
Primary	ROR	Cred	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.5389
Primary	ROR	Cred	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.53542
Primary	ROR	Cred	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.52803
Primary	ROR	Cred	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.52075
Primary	IC	Cred	1	RandomForestClassifier	RDKit	Balanced Accuracy	0.5192
Primary	IC	Cred	3	RandomForestClassifier	RDKit	Balanced Accuracy	0.51756
Primary	IC	Cred	0	RandomForestClassifier	RDKit	Balanced Accuracy	0.54535
Primary	IC	Cred	2	RandomForestClassifier	RDKit	Balanced Accuracy	0.53891
Primary	IC	Cred	4	RandomForestClassifier	RDKit	Balanced Accuracy	0.53553
Primary	PRR	Cred	1	RandomForestClassifier	RDKit	GeomRS	0.51248
Primary	PRR	Cred	3	RandomForestClassifier	RDKit	GeomRS	0.50987
Primary	PRR	Cred	0	RandomForestClassifier	RDKit	GeomRS	0.52003
Primary	PRR	Cred	2	RandomForestClassifier	RDKit	GeomRS	0.50446
Primary	PRR	Cred	4	RandomForestClassifier	RDKit	GeomRS	0.46937
Primary	ROR	Cred	1	RandomForestClassifier	RDKit	GeomRS	0.51601
Primary	ROR	Cred	3	RandomForestClassifier	RDKit	GeomRS	0.53889
Primary	ROR	Cred	0	RandomForestClassifier	RDKit	GeomRS	0.51545
Primary	ROR	Cred	2	RandomForestClassifier	RDKit	GeomRS	0.51306
Primary	ROR	Cred	4	RandomForestClassifier	RDKit	GeomRS	0.47751
Primary	IC	Cred	1	RandomForestClassifier	RDKit	GeomRS	0.49886
Primary	IC	Cred	3	RandomForestClassifier	RDKit	GeomRS	0.511
Primary	IC	Cred	0	RandomForestClassifier	RDKit	GeomRS	0.54122
Primary	IC	Cred	2	RandomForestClassifier	RDKit	GeomRS	0.50526
