Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cred	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.55165
Primary	PRR	Cred	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.5064
Primary	PRR	Cred	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.48683
Primary	PRR	Cred	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.5443
Primary	PRR	Cred	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52358
Primary	ROR	Cred	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.54689
Primary	ROR	Cred	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52021
Primary	ROR	Cred	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.50836
Primary	ROR	Cred	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.55357
Primary	ROR	Cred	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52024
Primary	IC	Cred	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.53554
Primary	IC	Cred	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.5028
Primary	IC	Cred	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.46918
Primary	IC	Cred	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.5319
Primary	IC	Cred	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51253
Primary	PRR	Cred	1	XGBClassifier	ChemBERTa	GeomRS	0.55099
Primary	PRR	Cred	4	XGBClassifier	ChemBERTa	GeomRS	0.50621
Primary	PRR	Cred	3	XGBClassifier	ChemBERTa	GeomRS	0.48502
Primary	PRR	Cred	2	XGBClassifier	ChemBERTa	GeomRS	0.53955
Primary	PRR	Cred	0	XGBClassifier	ChemBERTa	GeomRS	0.52245
Primary	ROR	Cred	1	XGBClassifier	ChemBERTa	GeomRS	0.54063
Primary	ROR	Cred	4	XGBClassifier	ChemBERTa	GeomRS	0.52004
Primary	ROR	Cred	3	XGBClassifier	ChemBERTa	GeomRS	0.50313
Primary	ROR	Cred	2	XGBClassifier	ChemBERTa	GeomRS	0.54297
Primary	ROR	Cred	0	XGBClassifier	ChemBERTa	GeomRS	0.52021
Primary	IC	Cred	1	XGBClassifier	ChemBERTa	GeomRS	0.51833
Primary	IC	Cred	4	XGBClassifier	ChemBERTa	GeomRS	0.47829
Primary	IC	Cred	3	XGBClassifier	ChemBERTa	GeomRS	0.4553
Primary	IC	Cred	2	XGBClassifier	ChemBERTa	GeomRS	0.51569
Primary	IC	Cred	0	XGBClassifier	ChemBERTa	GeomRS	0.49314
Primary	PRR	Cred	1	XGBClassifier	ChemBERTa	HarmRS	0.55032
Primary	PRR	Cred	4	XGBClassifier	ChemBERTa	HarmRS	0.50602
Primary	PRR	Cred	3	XGBClassifier	ChemBERTa	HarmRS	0.48321
Primary	PRR	Cred	2	XGBClassifier	ChemBERTa	HarmRS	0.53485
Primary	PRR	Cred	0	XGBClassifier	ChemBERTa	HarmRS	0.52132
Primary	ROR	Cred	1	XGBClassifier	ChemBERTa	HarmRS	0.53443
Primary	ROR	Cred	4	XGBClassifier	ChemBERTa	HarmRS	0.51988
Primary	ROR	Cred	3	XGBClassifier	ChemBERTa	HarmRS	0.49796
Primary	ROR	Cred	2	XGBClassifier	ChemBERTa	HarmRS	0.53259
Primary	ROR	Cred	0	XGBClassifier	ChemBERTa	HarmRS	0.52017
Primary	IC	Cred	1	XGBClassifier	ChemBERTa	HarmRS	0.50167
Primary	IC	Cred	4	XGBClassifier	ChemBERTa	HarmRS	0.45496
Primary	IC	Cred	3	XGBClassifier	ChemBERTa	HarmRS	0.44184
Primary	IC	Cred	2	XGBClassifier	ChemBERTa	HarmRS	0.49998
Primary	IC	Cred	0	XGBClassifier	ChemBERTa	HarmRS	0.47449
Primary	PRR	Cred	1	XGBClassifier	ChemBERTa	F1 Score	0.54605
Primary	PRR	Cred	4	XGBClassifier	ChemBERTa	F1 Score	0.52051
Primary	PRR	Cred	3	XGBClassifier	ChemBERTa	F1 Score	0.49454
Primary	PRR	Cred	2	XGBClassifier	ChemBERTa	F1 Score	0.53554
Primary	PRR	Cred	0	XGBClassifier	ChemBERTa	F1 Score	0.54575
Primary	ROR	Cred	1	XGBClassifier	ChemBERTa	F1 Score	0.51217
Primary	ROR	Cred	4	XGBClassifier	ChemBERTa	F1 Score	0.53481
Primary	ROR	Cred	3	XGBClassifier	ChemBERTa	F1 Score	0.49771
Primary	ROR	Cred	2	XGBClassifier	ChemBERTa	F1 Score	0.52336
Primary	ROR	Cred	0	XGBClassifier	ChemBERTa	F1 Score	0.55916
Primary	IC	Cred	1	XGBClassifier	ChemBERTa	F1 Score	0.59992
Primary	IC	Cred	4	XGBClassifier	ChemBERTa	F1 Score	0.59761
Primary	IC	Cred	3	XGBClassifier	ChemBERTa	F1 Score	0.56366
Primary	IC	Cred	2	XGBClassifier	ChemBERTa	F1 Score	0.62538
Primary	IC	Cred	0	XGBClassifier	ChemBERTa	F1 Score	0.62625
Primary	PRR	Cred	1	XGBClassifier	ChemBERTa	ROC AUC	0.56522
Primary	PRR	Cred	4	XGBClassifier	ChemBERTa	ROC AUC	0.51169
Primary	PRR	Cred	3	XGBClassifier	ChemBERTa	ROC AUC	0.4794
Primary	PRR	Cred	2	XGBClassifier	ChemBERTa	ROC AUC	0.56579
