Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cvas	0	XGBClassifier	RDKit	Balanced Accuracy	0.5323
Primary	PRR	Cvas	2	XGBClassifier	RDKit	Balanced Accuracy	0.50273
Primary	PRR	Cvas	3	XGBClassifier	RDKit	Balanced Accuracy	0.54045
Primary	PRR	Cvas	1	XGBClassifier	RDKit	Balanced Accuracy	0.55798
Primary	PRR	Cvas	4	XGBClassifier	RDKit	Balanced Accuracy	0.5059
Primary	ROR	Cvas	0	XGBClassifier	RDKit	Balanced Accuracy	0.5448
Primary	ROR	Cvas	2	XGBClassifier	RDKit	Balanced Accuracy	0.52575
Primary	ROR	Cvas	3	XGBClassifier	RDKit	Balanced Accuracy	0.54286
Primary	ROR	Cvas	1	XGBClassifier	RDKit	Balanced Accuracy	0.52999
Primary	ROR	Cvas	4	XGBClassifier	RDKit	Balanced Accuracy	0.50929
Primary	IC	Cvas	0	XGBClassifier	RDKit	Balanced Accuracy	0.51121
Primary	IC	Cvas	2	XGBClassifier	RDKit	Balanced Accuracy	0.50309
Primary	IC	Cvas	3	XGBClassifier	RDKit	Balanced Accuracy	0.52695
Primary	IC	Cvas	1	XGBClassifier	RDKit	Balanced Accuracy	0.56186
Primary	IC	Cvas	4	XGBClassifier	RDKit	Balanced Accuracy	0.50405
Primary	PRR	Cvas	0	XGBClassifier	RDKit	GeomRS	0.52803
Primary	PRR	Cvas	2	XGBClassifier	RDKit	GeomRS	0.50272
Primary	PRR	Cvas	3	XGBClassifier	RDKit	GeomRS	0.53429
Primary	PRR	Cvas	1	XGBClassifier	RDKit	GeomRS	0.55781
Primary	PRR	Cvas	4	XGBClassifier	RDKit	GeomRS	0.50125
Primary	ROR	Cvas	0	XGBClassifier	RDKit	GeomRS	0.51538
Primary	ROR	Cvas	2	XGBClassifier	RDKit	GeomRS	0.52475
Primary	ROR	Cvas	3	XGBClassifier	RDKit	GeomRS	0.53217
Primary	ROR	Cvas	1	XGBClassifier	RDKit	GeomRS	0.51253
Primary	ROR	Cvas	4	XGBClassifier	RDKit	GeomRS	0.50535
Primary	IC	Cvas	0	XGBClassifier	RDKit	GeomRS	0.49797
Primary	IC	Cvas	2	XGBClassifier	RDKit	GeomRS	0.48407
Primary	IC	Cvas	3	XGBClassifier	RDKit	GeomRS	0.50039
Primary	IC	Cvas	1	XGBClassifier	RDKit	GeomRS	0.54564
Primary	IC	Cvas	4	XGBClassifier	RDKit	GeomRS	0.4411
Primary	PRR	Cvas	0	XGBClassifier	RDKit	HarmRS	0.52379
Primary	PRR	Cvas	2	XGBClassifier	RDKit	HarmRS	0.50271
Primary	PRR	Cvas	3	XGBClassifier	RDKit	HarmRS	0.52821
Primary	PRR	Cvas	1	XGBClassifier	RDKit	HarmRS	0.55764
Primary	PRR	Cvas	4	XGBClassifier	RDKit	HarmRS	0.49664
Primary	ROR	Cvas	0	XGBClassifier	RDKit	HarmRS	0.48755
Primary	ROR	Cvas	2	XGBClassifier	RDKit	HarmRS	0.52374
Primary	ROR	Cvas	3	XGBClassifier	RDKit	HarmRS	0.52168
Primary	ROR	Cvas	1	XGBClassifier	RDKit	HarmRS	0.49564
Primary	ROR	Cvas	4	XGBClassifier	RDKit	HarmRS	0.50145
Primary	IC	Cvas	0	XGBClassifier	RDKit	HarmRS	0.48507
Primary	IC	Cvas	2	XGBClassifier	RDKit	HarmRS	0.46576
Primary	IC	Cvas	3	XGBClassifier	RDKit	HarmRS	0.47517
Primary	IC	Cvas	1	XGBClassifier	RDKit	HarmRS	0.52989
Primary	IC	Cvas	4	XGBClassifier	RDKit	HarmRS	0.38602
Primary	PRR	Cvas	0	XGBClassifier	RDKit	F1 Score	0.53099
Primary	PRR	Cvas	2	XGBClassifier	RDKit	F1 Score	0.5363
Primary	PRR	Cvas	3	XGBClassifier	RDKit	F1 Score	0.53324
Primary	PRR	Cvas	1	XGBClassifier	RDKit	F1 Score	0.56283
Primary	PRR	Cvas	4	XGBClassifier	RDKit	F1 Score	0.55786
Primary	ROR	Cvas	0	XGBClassifier	RDKit	F1 Score	0.46977
Primary	ROR	Cvas	2	XGBClassifier	RDKit	F1 Score	0.5424
Primary	ROR	Cvas	3	XGBClassifier	RDKit	F1 Score	0.51898
Primary	ROR	Cvas	1	XGBClassifier	RDKit	F1 Score	0.4648
