Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Card	0	LogisticRegression	RDKit	Balanced Accuracy	0.52851
Secondary	PRR	Card	1	LogisticRegression	RDKit	Balanced Accuracy	0.54646
Secondary	PRR	Card	3	LogisticRegression	RDKit	Balanced Accuracy	0.53536
Secondary	PRR	Card	2	LogisticRegression	RDKit	Balanced Accuracy	0.55153
Secondary	PRR	Card	4	LogisticRegression	RDKit	Balanced Accuracy	0.52283
Secondary	ROR	Card	0	LogisticRegression	RDKit	Balanced Accuracy	0.5343
Secondary	ROR	Card	1	LogisticRegression	RDKit	Balanced Accuracy	0.51656
Secondary	ROR	Card	3	LogisticRegression	RDKit	Balanced Accuracy	0.51224
Secondary	ROR	Card	2	LogisticRegression	RDKit	Balanced Accuracy	0.52343
Secondary	ROR	Card	4	LogisticRegression	RDKit	Balanced Accuracy	0.51065
Secondary	IC	Card	0	LogisticRegression	RDKit	Balanced Accuracy	0.5226
Secondary	IC	Card	1	LogisticRegression	RDKit	Balanced Accuracy	0.53812
Secondary	IC	Card	3	LogisticRegression	RDKit	Balanced Accuracy	0.54345
Secondary	IC	Card	2	LogisticRegression	RDKit	Balanced Accuracy	0.53803
Secondary	IC	Card	4	LogisticRegression	RDKit	Balanced Accuracy	0.50105
Secondary	PRR	Card	0	LogisticRegression	RDKit	GeomRS	0.52806
Secondary	PRR	Card	1	LogisticRegression	RDKit	GeomRS	0.54597
Secondary	PRR	Card	3	LogisticRegression	RDKit	GeomRS	0.52557
Secondary	PRR	Card	2	LogisticRegression	RDKit	GeomRS	0.55153
Secondary	PRR	Card	4	LogisticRegression	RDKit	GeomRS	0.51585
Secondary	ROR	Card	0	LogisticRegression	RDKit	GeomRS	0.48033
Secondary	ROR	Card	1	LogisticRegression	RDKit	GeomRS	0.47131
Secondary	ROR	Card	3	LogisticRegression	RDKit	GeomRS	0.43228
Secondary	ROR	Card	2	LogisticRegression	RDKit	GeomRS	0.49881
Secondary	ROR	Card	4	LogisticRegression	RDKit	GeomRS	0.4716
Secondary	IC	Card	0	LogisticRegression	RDKit	GeomRS	0.46801
Secondary	IC	Card	1	LogisticRegression	RDKit	GeomRS	0.46165
Secondary	IC	Card	3	LogisticRegression	RDKit	GeomRS	0.51622
Secondary	IC	Card	2	LogisticRegression	RDKit	GeomRS	0.47882
Secondary	IC	Card	4	LogisticRegression	RDKit	GeomRS	0.43322
Secondary	PRR	Card	0	LogisticRegression	RDKit	HarmRS	0.52761
Secondary	PRR	Card	1	LogisticRegression	RDKit	HarmRS	0.54548
Secondary	PRR	Card	3	LogisticRegression	RDKit	HarmRS	0.51596
Secondary	PRR	Card	2	LogisticRegression	RDKit	HarmRS	0.55152
Secondary	PRR	Card	4	LogisticRegression	RDKit	HarmRS	0.50896
Secondary	ROR	Card	0	LogisticRegression	RDKit	HarmRS	0.43181
Secondary	ROR	Card	1	LogisticRegression	RDKit	HarmRS	0.43002
Secondary	ROR	Card	3	LogisticRegression	RDKit	HarmRS	0.36481
Secondary	ROR	Card	2	LogisticRegression	RDKit	HarmRS	0.47534
Secondary	ROR	Card	4	LogisticRegression	RDKit	HarmRS	0.43554
Secondary	IC	Card	0	LogisticRegression	RDKit	HarmRS	0.41912
Secondary	IC	Card	1	LogisticRegression	RDKit	HarmRS	0.39604
Secondary	IC	Card	3	LogisticRegression	RDKit	HarmRS	0.49036
Secondary	IC	Card	2	LogisticRegression	RDKit	HarmRS	0.42612
Secondary	IC	Card	4	LogisticRegression	RDKit	HarmRS	0.37456
Secondary	PRR	Card	0	LogisticRegression	RDKit	F1 Score	0.5711
Secondary	PRR	Card	1	LogisticRegression	RDKit	F1 Score	0.55462
Secondary	PRR	Card	3	LogisticRegression	RDKit	F1 Score	0.5219
Secondary	PRR	Card	2	LogisticRegression	RDKit	F1 Score	0.58806
Secondary	PRR	Card	4	LogisticRegression	RDKit	F1 Score	0.60966
Secondary	ROR	Card	0	LogisticRegression	RDKit	F1 Score	0.4176
Secondary	ROR	Card	1	LogisticRegression	RDKit	F1 Score	0.39756
Secondary	ROR	Card	3	LogisticRegression	RDKit	F1 Score	0.34635
Secondary	ROR	Card	2	LogisticRegression	RDKit	F1 Score	0.45657
Secondary	ROR	Card	4	LogisticRegression	RDKit	F1 Score	0.41516
Secondary	IC	Card	0	LogisticRegression	RDKit	F1 Score	0.69353
Secondary	IC	Card	1	LogisticRegression	RDKit	F1 Score	0.66811
Secondary	IC	Card	3	LogisticRegression	RDKit	F1 Score	0.6773
Secondary	IC	Card	2	LogisticRegression	RDKit	F1 Score	0.68061
Secondary	IC	Card	4	LogisticRegression	RDKit	F1 Score	0.66361
Secondary	PRR	Card	0	LogisticRegression	RDKit	ROC AUC	0.54156
Secondary	PRR	Card	1	LogisticRegression	RDKit	ROC AUC	0.57156
Secondary	PRR	Card	3	LogisticRegression	RDKit	ROC AUC	0.55225
Secondary	PRR	Card	2	LogisticRegression	RDKit	ROC AUC	0.5672
Secondary	PRR	Card	4	LogisticRegression	RDKit	ROC AUC	0.53494
Secondary	ROR	Card	0	LogisticRegression	RDKit	ROC AUC	0.55494
Secondary	ROR	Card	1	LogisticRegression	RDKit	ROC AUC	0.5385
Secondary	ROR	Card	3	LogisticRegression	RDKit	ROC AUC	0.52022
Secondary	ROR	Card	2	LogisticRegression	RDKit	ROC AUC	0.53755
Secondary	ROR	Card	4	LogisticRegression	RDKit	ROC AUC	0.50903
Secondary	IC	Card	0	LogisticRegression	RDKit	ROC AUC	0.5463
Secondary	IC	Card	1	LogisticRegression	RDKit	ROC AUC	0.5667
Secondary	IC	Card	3	LogisticRegression	RDKit	ROC AUC	0.55821
Secondary	IC	Card	2	LogisticRegression	RDKit	ROC AUC	0.5607
Secondary	IC	Card	4	LogisticRegression	RDKit	ROC AUC	0.52739
Secondary	PRR	Card	0	LogisticRegression	RDKit	MCC	0.05518
Secondary	PRR	Card	1	LogisticRegression	RDKit	MCC	0.09267
Secondary	PRR	Card	3	LogisticRegression	RDKit	MCC	0.07009
Secondary	PRR	Card	2	LogisticRegression	RDKit	MCC	0.10186
Secondary	PRR	Card	4	LogisticRegression	RDKit	MCC	0.04561
Secondary	ROR	Card	0	LogisticRegression	RDKit	MCC	0.07432
Secondary	ROR	Card	1	LogisticRegression	RDKit	MCC	0.03637
Secondary	ROR	Card	3	LogisticRegression	RDKit	MCC	0.02839
Secondary	ROR	Card	2	LogisticRegression	RDKit	MCC	0.0487
Secondary	ROR	Card	4	LogisticRegression	RDKit	MCC	0.02271
Secondary	IC	Card	0	LogisticRegression	RDKit	MCC	0.04972
Secondary	IC	Card	1	LogisticRegression	RDKit	MCC	0.09167
Secondary	IC	Card	3	LogisticRegression	RDKit	MCC	0.09066
Secondary	IC	Card	2	LogisticRegression	RDKit	MCC	0.08693
Secondary	IC	Card	4	LogisticRegression	RDKit	MCC	0.0024
Secondary	PRR	Card	0	LogisticRegression	RDKit	Accuracy	0.52296
Secondary	PRR	Card	1	LogisticRegression	RDKit	Accuracy	0.54452
Secondary	PRR	Card	3	LogisticRegression	RDKit	Accuracy	0.51203
Secondary	PRR	Card	2	LogisticRegression	RDKit	Accuracy	0.55196
Secondary	PRR	Card	4	LogisticRegression	RDKit	Accuracy	0.53861
Secondary	ROR	Card	0	LogisticRegression	RDKit	Accuracy	0.47491
Secondary	ROR	Card	1	LogisticRegression	RDKit	Accuracy	0.49881
Secondary	ROR	Card	3	LogisticRegression	RDKit	Accuracy	0.44932
Secondary	ROR	Card	2	LogisticRegression	RDKit	Accuracy	0.49901
Secondary	ROR	Card	4	LogisticRegression	RDKit	Accuracy	0.47437
Secondary	IC	Card	0	LogisticRegression	RDKit	Accuracy	0.58162
Secondary	IC	Card	1	LogisticRegression	RDKit	Accuracy	0.56134
Secondary	IC	Card	3	LogisticRegression	RDKit	Accuracy	0.58234
Secondary	IC	Card	2	LogisticRegression	RDKit	Accuracy	0.5758
Secondary	IC	Card	4	LogisticRegression	RDKit	Accuracy	0.5477
Secondary	PRR	Card	0	LogisticRegression	RDKit	Recall	0.50663
Secondary	PRR	Card	1	LogisticRegression	RDKit	Recall	0.52328
Secondary	PRR	Card	3	LogisticRegression	RDKit	Recall	0.43344
Secondary	PRR	Card	2	LogisticRegression	RDKit	Recall	0.55429
Secondary	PRR	Card	4	LogisticRegression	RDKit	Recall	0.60799
Secondary	ROR	Card	0	LogisticRegression	RDKit	Recall	0.30029
Secondary	ROR	Card	1	LogisticRegression	RDKit	Recall	0.30512
Secondary	ROR	Card	3	LogisticRegression	RDKit	Recall	0.23743
Secondary	ROR	Card	2	LogisticRegression	RDKit	Recall	0.36478
Secondary	ROR	Card	4	LogisticRegression	RDKit	Recall	0.31481
Secondary	IC	Card	0	LogisticRegression	RDKit	Recall	0.75515
Secondary	IC	Card	1	LogisticRegression	RDKit	Recall	0.81464
Secondary	IC	Card	3	LogisticRegression	RDKit	Recall	0.71331
Secondary	IC	Card	2	LogisticRegression	RDKit	Recall	0.78341
Secondary	IC	Card	4	LogisticRegression	RDKit	Recall	0.75281
Secondary	PRR	Card	0	LogisticRegression	RDKit	Specificity	0.55039
Secondary	PRR	Card	1	LogisticRegression	RDKit	Specificity	0.56965
Secondary	PRR	Card	3	LogisticRegression	RDKit	Specificity	0.63728
Secondary	PRR	Card	2	LogisticRegression	RDKit	Specificity	0.54878
Secondary	PRR	Card	4	LogisticRegression	RDKit	Specificity	0.43767
Secondary	ROR	Card	0	LogisticRegression	RDKit	Specificity	0.7683
Secondary	ROR	Card	1	LogisticRegression	RDKit	Specificity	0.728
Secondary	ROR	Card	3	LogisticRegression	RDKit	Specificity	0.78704
Secondary	ROR	Card	2	LogisticRegression	RDKit	Specificity	0.68208
Secondary	ROR	Card	4	LogisticRegression	RDKit	Specificity	0.70649
Secondary	IC	Card	0	LogisticRegression	RDKit	Specificity	0.29005
Secondary	IC	Card	1	LogisticRegression	RDKit	Specificity	0.26161
Secondary	IC	Card	3	LogisticRegression	RDKit	Specificity	0.37359
Secondary	IC	Card	2	LogisticRegression	RDKit	Specificity	0.29265
Secondary	IC	Card	4	LogisticRegression	RDKit	Specificity	0.2493
Secondary	PRR	Card	0	LogisticRegression	RDKit	Precision	0.65438
Secondary	PRR	Card	1	LogisticRegression	RDKit	Precision	0.58996
Secondary	PRR	Card	3	LogisticRegression	RDKit	Precision	0.65571
Secondary	PRR	Card	2	LogisticRegression	RDKit	Precision	0.62621
Secondary	PRR	Card	4	LogisticRegression	RDKit	Precision	0.61134
Secondary	ROR	Card	0	LogisticRegression	RDKit	Precision	0.6853
Secondary	ROR	Card	1	LogisticRegression	RDKit	Precision	0.57033
Secondary	ROR	Card	3	LogisticRegression	RDKit	Precision	0.63989
Secondary	ROR	Card	2	LogisticRegression	RDKit	Precision	0.6101
Secondary	ROR	Card	4	LogisticRegression	RDKit	Precision	0.60943
