Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.49989
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52183
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.49729
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.5045
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52754
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50958
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.49362
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.50219
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.4883
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51985
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51637
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.49621
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.51594
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52165
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	Balanced Accuracy	0.52866
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	GeomRS	0.43594
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	GeomRS	0.47618
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	GeomRS	0.49211
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	GeomRS	0.467
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	GeomRS	0.52753
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	GeomRS	0.48728
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	GeomRS	0.47471
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	GeomRS	0.50024
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	GeomRS	0.48641
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	GeomRS	0.47844
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	GeomRS	0.31685
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	GeomRS	0.22421
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	GeomRS	0.3682
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	GeomRS	0.35088
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	GeomRS	0.41703
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	HarmRS	0.38017
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	HarmRS	0.43451
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	HarmRS	0.48699
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	HarmRS	0.4323
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	HarmRS	0.52753
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	HarmRS	0.46596
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	HarmRS	0.45652
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	HarmRS	0.4983
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	HarmRS	0.48453
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	HarmRS	0.44034
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	HarmRS	0.19442
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	HarmRS	0.10131
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	HarmRS	0.26276
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	HarmRS	0.23601
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	HarmRS	0.32896
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	F1 Score	0.68063
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	F1 Score	0.67792
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	F1 Score	0.57939
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	F1 Score	0.63253
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	F1 Score	0.54854
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	F1 Score	0.64598
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	F1 Score	0.61917
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	F1 Score	0.56947
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	F1 Score	0.54824
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	F1 Score	0.40831
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	F1 Score	0.75296
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	F1 Score	0.7414
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	F1 Score	0.71373
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	F1 Score	0.71429
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	F1 Score	0.67571
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	ROC AUC	0.50158
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	ROC AUC	0.51164
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	ROC AUC	0.48884
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	ROC AUC	0.50935
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	ROC AUC	0.53886
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	ROC AUC	0.50438
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	ROC AUC	0.48556
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	ROC AUC	0.48849
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	ROC AUC	0.5042
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	ROC AUC	0.50942
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	ROC AUC	0.54403
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	ROC AUC	0.5311
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	ROC AUC	0.52716
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	ROC AUC	0.57798
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	ROC AUC	0.56778
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	MCC	-0.00023
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	MCC	0.04725
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	MCC	-0.00539
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	MCC	0.00962
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	MCC	0.05488
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	MCC	0.01945
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	MCC	-0.01289
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	MCC	0.00433
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	MCC	-0.0232
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	MCC	0.04322
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	MCC	0.05586
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	MCC	-0.01577
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	MCC	0.04575
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	MCC	0.0682
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	MCC	0.07557
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	Accuracy	0.56199
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	Accuracy	0.5707
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	Accuracy	0.51055
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	Accuracy	0.53387
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	Accuracy	0.52769
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	Accuracy	0.54742
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	Accuracy	0.5246
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	Accuracy	0.51038
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	Accuracy	0.4949
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	Accuracy	0.50278
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	Accuracy	0.61985
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	Accuracy	0.59755
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	Accuracy	0.5829
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	Accuracy	0.58106
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	Accuracy	0.55594
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	Recall	0.74454
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	Recall	0.73529
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	Recall	0.56885
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	Recall	0.69535
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	Recall	0.52943
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	Recall	0.65867
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	Recall	0.62895
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	Recall	0.5464
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	Recall	0.53121
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	Recall	0.31654
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	Recall	0.92411
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	Recall	0.93887
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	Recall	0.87736
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	Recall	0.90767
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	Recall	0.85359
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	Specificity	0.25525
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	Specificity	0.30837
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	Specificity	0.42573
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	Specificity	0.31364
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	Specificity	0.52564
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	Specificity	0.36049
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	Specificity	0.35829
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	Specificity	0.45798
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	Specificity	0.44539
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	Specificity	0.72315
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	Specificity	0.10864
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	Specificity	0.05354
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	Specificity	0.15452
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	Specificity	0.13564
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	Specificity	0.20374
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	Precision	0.62683
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	Precision	0.62886
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	Precision	0.59034
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	Precision	0.58012
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	Precision	0.56909
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	Precision	0.63378
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	Precision	0.6097
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	Precision	0.59458
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	Precision	0.56639
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	Precision	0.575
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	Precision	0.6353
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	Precision	0.61256
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	Precision	0.60154
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	Precision	0.58883
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	Precision	0.55918
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	PRC AUC	0.62858
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	PRC AUC	0.63234
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	PRC AUC	0.57519
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	PRC AUC	0.59699
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	PRC AUC	0.58099
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	PRC AUC	0.62207
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	PRC AUC	0.60018
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	PRC AUC	0.57075
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	PRC AUC	0.58782
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	PRC AUC	0.55073
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	PRC AUC	0.66232
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	PRC AUC	0.65543
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	PRC AUC	0.62123
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	PRC AUC	0.65726
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	PRC AUC	0.61562
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	Brier	0.24741
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	Brier	0.24568
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	Brier	0.25051
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	Brier	0.24984
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	Brier	0.24903
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	Brier	0.24809
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	Brier	0.25078
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	Brier	0.25504
Secondary	ROR	Card	2	RandomForestClassifier	ChemBERTa	Brier	0.25156
Secondary	ROR	Card	1	RandomForestClassifier	ChemBERTa	Brier	0.25547
Secondary	IC	Card	0	RandomForestClassifier	ChemBERTa	Brier	0.23761
Secondary	IC	Card	3	RandomForestClassifier	ChemBERTa	Brier	0.24055
Secondary	IC	Card	4	RandomForestClassifier	ChemBERTa	Brier	0.24778
Secondary	IC	Card	2	RandomForestClassifier	ChemBERTa	Brier	0.24198
Secondary	IC	Card	1	RandomForestClassifier	ChemBERTa	Brier	0.25254
Secondary	PRR	Card	0	RandomForestClassifier	ChemBERTa	ECE	0.1161
Secondary	PRR	Card	3	RandomForestClassifier	ChemBERTa	ECE	0.09039
Secondary	PRR	Card	4	RandomForestClassifier	ChemBERTa	ECE	0.08644
Secondary	PRR	Card	2	RandomForestClassifier	ChemBERTa	ECE	0.07338
Secondary	PRR	Card	1	RandomForestClassifier	ChemBERTa	ECE	0.04282
Secondary	ROR	Card	0	RandomForestClassifier	ChemBERTa	ECE	0.10908
Secondary	ROR	Card	3	RandomForestClassifier	ChemBERTa	ECE	0.10535
Secondary	ROR	Card	4	RandomForestClassifier	ChemBERTa	ECE	0.10397
