Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Card	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.51599
Secondary	PRR	Card	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.56676
Secondary	PRR	Card	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.55197
Secondary	PRR	Card	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.50172
Secondary	PRR	Card	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.53102
Secondary	ROR	Card	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.49207
Secondary	ROR	Card	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.52977
Secondary	ROR	Card	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.51013
Secondary	ROR	Card	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.51471
Secondary	ROR	Card	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.52367
Secondary	IC	Card	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.5164
Secondary	IC	Card	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.52344
Secondary	IC	Card	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.52989
Secondary	IC	Card	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.49457
Secondary	IC	Card	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.50853
Secondary	PRR	Card	0	RandomForestClassifier	Morgan	GeomRS	0.51512
Secondary	PRR	Card	1	RandomForestClassifier	Morgan	GeomRS	0.56507
Secondary	PRR	Card	2	RandomForestClassifier	Morgan	GeomRS	0.54112
Secondary	PRR	Card	3	RandomForestClassifier	Morgan	GeomRS	0.50172
Secondary	PRR	Card	4	RandomForestClassifier	Morgan	GeomRS	0.52948
Secondary	ROR	Card	0	RandomForestClassifier	Morgan	GeomRS	0.41133
Secondary	ROR	Card	1	RandomForestClassifier	Morgan	GeomRS	0.50229
Secondary	ROR	Card	2	RandomForestClassifier	Morgan	GeomRS	0.50887
Secondary	ROR	Card	3	RandomForestClassifier	Morgan	GeomRS	0.48125
Secondary	ROR	Card	4	RandomForestClassifier	Morgan	GeomRS	0.49101
Secondary	IC	Card	0	RandomForestClassifier	Morgan	GeomRS	0.42319
Secondary	IC	Card	1	RandomForestClassifier	Morgan	GeomRS	0.35024
Secondary	IC	Card	2	RandomForestClassifier	Morgan	GeomRS	0.36085
Secondary	IC	Card	3	RandomForestClassifier	Morgan	GeomRS	0.33291
Secondary	IC	Card	4	RandomForestClassifier	Morgan	GeomRS	0.31777
Secondary	PRR	Card	0	RandomForestClassifier	Morgan	HarmRS	0.51425
Secondary	PRR	Card	1	RandomForestClassifier	Morgan	HarmRS	0.56338
Secondary	PRR	Card	2	RandomForestClassifier	Morgan	HarmRS	0.53048
Secondary	PRR	Card	3	RandomForestClassifier	Morgan	HarmRS	0.50172
Secondary	PRR	Card	4	RandomForestClassifier	Morgan	HarmRS	0.52794
