Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Card	0	XGBClassifier	Klek	Balanced Accuracy	0.52219
Secondary	PRR	Card	1	XGBClassifier	Klek	Balanced Accuracy	0.53939
Secondary	PRR	Card	3	XGBClassifier	Klek	Balanced Accuracy	0.53417
Secondary	PRR	Card	2	XGBClassifier	Klek	Balanced Accuracy	0.55441
Secondary	PRR	Card	4	XGBClassifier	Klek	Balanced Accuracy	0.52886
Secondary	ROR	Card	0	XGBClassifier	Klek	Balanced Accuracy	0.52153
Secondary	ROR	Card	1	XGBClassifier	Klek	Balanced Accuracy	0.48149
Secondary	ROR	Card	3	XGBClassifier	Klek	Balanced Accuracy	0.50596
Secondary	ROR	Card	2	XGBClassifier	Klek	Balanced Accuracy	0.54243
Secondary	ROR	Card	4	XGBClassifier	Klek	Balanced Accuracy	0.50975
Secondary	IC	Card	0	XGBClassifier	Klek	Balanced Accuracy	0.51481
Secondary	IC	Card	1	XGBClassifier	Klek	Balanced Accuracy	0.51797
Secondary	IC	Card	3	XGBClassifier	Klek	Balanced Accuracy	0.51179
Secondary	IC	Card	2	XGBClassifier	Klek	Balanced Accuracy	0.52525
Secondary	IC	Card	4	XGBClassifier	Klek	Balanced Accuracy	0.52717
Secondary	PRR	Card	0	XGBClassifier	Klek	GeomRS	0.52218
Secondary	PRR	Card	1	XGBClassifier	Klek	GeomRS	0.53922
Secondary	PRR	Card	3	XGBClassifier	Klek	GeomRS	0.53022
Secondary	PRR	Card	2	XGBClassifier	Klek	GeomRS	0.55249
Secondary	PRR	Card	4	XGBClassifier	Klek	GeomRS	0.52538
Secondary	ROR	Card	0	XGBClassifier	Klek	GeomRS	0.47174
Secondary	ROR	Card	1	XGBClassifier	Klek	GeomRS	0.47971
Secondary	ROR	Card	3	XGBClassifier	Klek	GeomRS	0.42415
Secondary	ROR	Card	2	XGBClassifier	Klek	GeomRS	0.52625
Secondary	ROR	Card	4	XGBClassifier	Klek	GeomRS	0.5086
Secondary	IC	Card	0	XGBClassifier	Klek	GeomRS	0.4724
Secondary	IC	Card	1	XGBClassifier	Klek	GeomRS	0.46991
Secondary	IC	Card	3	XGBClassifier	Klek	GeomRS	0.46588
Secondary	IC	Card	2	XGBClassifier	Klek	GeomRS	0.44943
Secondary	IC	Card	4	XGBClassifier	Klek	GeomRS	0.42219
Secondary	PRR	Card	0	XGBClassifier	Klek	HarmRS	0.52217
Secondary	PRR	Card	1	XGBClassifier	Klek	HarmRS	0.53904
Secondary	PRR	Card	3	XGBClassifier	Klek	HarmRS	0.5263
Secondary	PRR	Card	2	XGBClassifier	Klek	HarmRS	0.55058
Secondary	PRR	Card	4	XGBClassifier	Klek	HarmRS	0.52193
Secondary	ROR	Card	0	XGBClassifier	Klek	HarmRS	0.42671
Secondary	ROR	Card	1	XGBClassifier	Klek	HarmRS	0.47794
Secondary	ROR	Card	3	XGBClassifier	Klek	HarmRS	0.35556
Secondary	ROR	Card	2	XGBClassifier	Klek	HarmRS	0.51056
Secondary	ROR	Card	4	XGBClassifier	Klek	HarmRS	0.50745
Secondary	IC	Card	0	XGBClassifier	Klek	HarmRS	0.43349
Secondary	IC	Card	1	XGBClassifier	Klek	HarmRS	0.4263
Secondary	IC	Card	3	XGBClassifier	Klek	HarmRS	0.42408
Secondary	IC	Card	2	XGBClassifier	Klek	HarmRS	0.38455
Secondary	IC	Card	4	XGBClassifier	Klek	HarmRS	0.33811
Secondary	PRR	Card	0	XGBClassifier	Klek	F1 Score	0.58027
Secondary	PRR	Card	1	XGBClassifier	Klek	F1 Score	0.56616
Secondary	PRR	Card	3	XGBClassifier	Klek	F1 Score	0.54543
Secondary	PRR	Card	2	XGBClassifier	Klek	F1 Score	0.61241
Secondary	PRR	Card	4	XGBClassifier	Klek	F1 Score	0.603
Secondary	ROR	Card	0	XGBClassifier	Klek	F1 Score	0.41218
Secondary	ROR	Card	1	XGBClassifier	Klek	F1 Score	0.47752
Secondary	ROR	Card	3	XGBClassifier	Klek	F1 Score	0.33666
Secondary	ROR	Card	2	XGBClassifier	Klek	F1 Score	0.4981
Secondary	ROR	Card	4	XGBClassifier	Klek	F1 Score	0.5316
Secondary	IC	Card	0	XGBClassifier	Klek	F1 Score	0.67552
Secondary	IC	Card	1	XGBClassifier	Klek	F1 Score	0.63236
Secondary	IC	Card	3	XGBClassifier	Klek	F1 Score	0.66916
Secondary	IC	Card	2	XGBClassifier	Klek	F1 Score	0.67996
Secondary	IC	Card	4	XGBClassifier	Klek	F1 Score	0.70684
Secondary	PRR	Card	0	XGBClassifier	Klek	ROC AUC	0.53885
Secondary	PRR	Card	1	XGBClassifier	Klek	ROC AUC	0.5488
Secondary	PRR	Card	3	XGBClassifier	Klek	ROC AUC	0.54204
Secondary	PRR	Card	2	XGBClassifier	Klek	ROC AUC	0.58256
Secondary	PRR	Card	4	XGBClassifier	Klek	ROC AUC	0.543
Secondary	ROR	Card	0	XGBClassifier	Klek	ROC AUC	0.54027
Secondary	ROR	Card	1	XGBClassifier	Klek	ROC AUC	0.4847
Secondary	ROR	Card	3	XGBClassifier	Klek	ROC AUC	0.53521
Secondary	ROR	Card	2	XGBClassifier	Klek	ROC AUC	0.54303
Secondary	ROR	Card	4	XGBClassifier	Klek	ROC AUC	0.52974
Secondary	IC	Card	0	XGBClassifier	Klek	ROC AUC	0.5299
Secondary	IC	Card	1	XGBClassifier	Klek	ROC AUC	0.55393
Secondary	IC	Card	3	XGBClassifier	Klek	ROC AUC	0.54573
Secondary	IC	Card	2	XGBClassifier	Klek	ROC AUC	0.59077
Secondary	IC	Card	4	XGBClassifier	Klek	ROC AUC	0.56698
Secondary	PRR	Card	0	XGBClassifier	Klek	MCC	0.04294
Secondary	PRR	Card	1	XGBClassifier	Klek	MCC	0.07856
Secondary	PRR	Card	3	XGBClassifier	Klek	MCC	0.06697
