Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Card	0	XGBClassifier	RDKit	Balanced Accuracy	0.52862
Secondary	PRR	Card	1	XGBClassifier	RDKit	Balanced Accuracy	0.56527
Secondary	PRR	Card	3	XGBClassifier	RDKit	Balanced Accuracy	0.53114
Secondary	PRR	Card	2	XGBClassifier	RDKit	Balanced Accuracy	0.54146
Secondary	PRR	Card	4	XGBClassifier	RDKit	Balanced Accuracy	0.54017
Secondary	ROR	Card	0	XGBClassifier	RDKit	Balanced Accuracy	0.53406
Secondary	ROR	Card	1	XGBClassifier	RDKit	Balanced Accuracy	0.54366
Secondary	ROR	Card	3	XGBClassifier	RDKit	Balanced Accuracy	0.51118
Secondary	ROR	Card	2	XGBClassifier	RDKit	Balanced Accuracy	0.52049
Secondary	ROR	Card	4	XGBClassifier	RDKit	Balanced Accuracy	0.5383
Secondary	IC	Card	0	XGBClassifier	RDKit	Balanced Accuracy	0.51808
Secondary	IC	Card	1	XGBClassifier	RDKit	Balanced Accuracy	0.55447
Secondary	IC	Card	3	XGBClassifier	RDKit	Balanced Accuracy	0.50933
Secondary	IC	Card	2	XGBClassifier	RDKit	Balanced Accuracy	0.52627
Secondary	IC	Card	4	XGBClassifier	RDKit	Balanced Accuracy	0.52848
Secondary	PRR	Card	0	XGBClassifier	RDKit	GeomRS	0.52782
Secondary	PRR	Card	1	XGBClassifier	RDKit	GeomRS	0.56475
Secondary	PRR	Card	3	XGBClassifier	RDKit	GeomRS	0.52704
Secondary	PRR	Card	2	XGBClassifier	RDKit	GeomRS	0.53064
Secondary	PRR	Card	4	XGBClassifier	RDKit	GeomRS	0.52639
Secondary	ROR	Card	0	XGBClassifier	RDKit	GeomRS	0.52606
Secondary	ROR	Card	1	XGBClassifier	RDKit	GeomRS	0.52606
Secondary	ROR	Card	3	XGBClassifier	RDKit	GeomRS	0.50075
Secondary	ROR	Card	2	XGBClassifier	RDKit	GeomRS	0.51989
Secondary	ROR	Card	4	XGBClassifier	RDKit	GeomRS	0.53574
Secondary	IC	Card	0	XGBClassifier	RDKit	GeomRS	0.45511
Secondary	IC	Card	1	XGBClassifier	RDKit	GeomRS	0.50571
Secondary	IC	Card	3	XGBClassifier	RDKit	GeomRS	0.45508
Secondary	IC	Card	2	XGBClassifier	RDKit	GeomRS	0.44882
Secondary	IC	Card	4	XGBClassifier	RDKit	GeomRS	0.42898
