Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	0	LogisticRegression	MACCS	Balanced Accuracy	0.52297
Secondary	PRR	Cred	3	LogisticRegression	MACCS	Balanced Accuracy	0.52522
Secondary	PRR	Cred	1	LogisticRegression	MACCS	Balanced Accuracy	0.56303
Secondary	PRR	Cred	2	LogisticRegression	MACCS	Balanced Accuracy	0.51325
Secondary	PRR	Cred	4	LogisticRegression	MACCS	Balanced Accuracy	0.54813
Secondary	ROR	Cred	0	LogisticRegression	MACCS	Balanced Accuracy	0.51462
Secondary	ROR	Cred	3	LogisticRegression	MACCS	Balanced Accuracy	0.51116
Secondary	ROR	Cred	1	LogisticRegression	MACCS	Balanced Accuracy	0.52062
Secondary	ROR	Cred	2	LogisticRegression	MACCS	Balanced Accuracy	0.50573
Secondary	ROR	Cred	4	LogisticRegression	MACCS	Balanced Accuracy	0.50125
Secondary	IC	Cred	0	LogisticRegression	MACCS	Balanced Accuracy	0.4983
Secondary	IC	Cred	3	LogisticRegression	MACCS	Balanced Accuracy	0.5061
Secondary	IC	Cred	1	LogisticRegression	MACCS	Balanced Accuracy	0.5062
Secondary	IC	Cred	2	LogisticRegression	MACCS	Balanced Accuracy	0.49971
Secondary	IC	Cred	4	LogisticRegression	MACCS	Balanced Accuracy	0.51815
Secondary	PRR	Cred	0	LogisticRegression	MACCS	GeomRS	0.51701
Secondary	PRR	Cred	3	LogisticRegression	MACCS	GeomRS	0.51016
Secondary	PRR	Cred	1	LogisticRegression	MACCS	GeomRS	0.56125
Secondary	PRR	Cred	2	LogisticRegression	MACCS	GeomRS	0.51206
Secondary	PRR	Cred	4	LogisticRegression	MACCS	GeomRS	0.54587
Secondary	ROR	Cred	0	LogisticRegression	MACCS	GeomRS	0.44373
Secondary	ROR	Cred	3	LogisticRegression	MACCS	GeomRS	0.42808
Secondary	ROR	Cred	1	LogisticRegression	MACCS	GeomRS	0.39935
Secondary	ROR	Cred	2	LogisticRegression	MACCS	GeomRS	0.48667
Secondary	ROR	Cred	4	LogisticRegression	MACCS	GeomRS	0.44511
Secondary	IC	Cred	0	LogisticRegression	MACCS	GeomRS	0.44
Secondary	IC	Cred	3	LogisticRegression	MACCS	GeomRS	0.46216
Secondary	IC	Cred	1	LogisticRegression	MACCS	GeomRS	0.41393
Secondary	IC	Cred	2	LogisticRegression	MACCS	GeomRS	0.40181
Secondary	IC	Cred	4	LogisticRegression	MACCS	GeomRS	0.44614
Secondary	PRR	Cred	0	LogisticRegression	MACCS	HarmRS	0.51112
Secondary	PRR	Cred	3	LogisticRegression	MACCS	HarmRS	0.49552
