Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.51473
Secondary	PRR	Cred	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.53308
Secondary	PRR	Cred	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.50788
Secondary	PRR	Cred	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.4947
Secondary	PRR	Cred	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.51889
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.51082
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.5382
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.52962
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.49946
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.50871
Secondary	IC	Cred	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.52212
Secondary	IC	Cred	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.536
Secondary	IC	Cred	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.52316
Secondary	IC	Cred	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.50371
Secondary	IC	Cred	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.51705
Secondary	PRR	Cred	0	RandomForestClassifier	CDDD	GeomRS	0.4856
Secondary	PRR	Cred	1	RandomForestClassifier	CDDD	GeomRS	0.53287
Secondary	PRR	Cred	4	RandomForestClassifier	CDDD	GeomRS	0.48346
Secondary	PRR	Cred	3	RandomForestClassifier	CDDD	GeomRS	0.48993
Secondary	PRR	Cred	2	RandomForestClassifier	CDDD	GeomRS	0.49264
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	GeomRS	0.4892
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	GeomRS	0.49739
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	GeomRS	0.52163
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	GeomRS	0.49913
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	GeomRS	0.49667
Secondary	IC	Cred	0	RandomForestClassifier	CDDD	GeomRS	0.36651
Secondary	IC	Cred	1	RandomForestClassifier	CDDD	GeomRS	0.42447
Secondary	IC	Cred	4	RandomForestClassifier	CDDD	GeomRS	0.36956
Secondary	IC	Cred	3	RandomForestClassifier	CDDD	GeomRS	0.34303
Secondary	IC	Cred	2	RandomForestClassifier	CDDD	GeomRS	0.34683
Secondary	PRR	Cred	0	RandomForestClassifier	CDDD	HarmRS	0.45812
Secondary	PRR	Cred	1	RandomForestClassifier	CDDD	HarmRS	0.53265
Secondary	PRR	Cred	4	RandomForestClassifier	CDDD	HarmRS	0.46021
Secondary	PRR	Cred	3	RandomForestClassifier	CDDD	HarmRS	0.48522
Secondary	PRR	Cred	2	RandomForestClassifier	CDDD	HarmRS	0.46772
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	HarmRS	0.46848
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	HarmRS	0.45967
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	HarmRS	0.51377
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	HarmRS	0.4988
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	HarmRS	0.48492
Secondary	IC	Cred	0	RandomForestClassifier	CDDD	HarmRS	0.25727
Secondary	IC	Cred	1	RandomForestClassifier	CDDD	HarmRS	0.33615
Secondary	IC	Cred	4	RandomForestClassifier	CDDD	HarmRS	0.26106
Secondary	IC	Cred	3	RandomForestClassifier	CDDD	HarmRS	0.23361
Secondary	IC	Cred	2	RandomForestClassifier	CDDD	HarmRS	0.23265
Secondary	PRR	Cred	0	RandomForestClassifier	CDDD	F1 Score	0.65956
Secondary	PRR	Cred	1	RandomForestClassifier	CDDD	F1 Score	0.55848
Secondary	PRR	Cred	4	RandomForestClassifier	CDDD	F1 Score	0.62558
Secondary	PRR	Cred	3	RandomForestClassifier	CDDD	F1 Score	0.58476
Secondary	PRR	Cred	2	RandomForestClassifier	CDDD	F1 Score	0.63217
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	F1 Score	0.64527
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	F1 Score	0.42826
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	F1 Score	0.61561
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	F1 Score	0.56084
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	F1 Score	0.6
Secondary	IC	Cred	0	RandomForestClassifier	CDDD	F1 Score	0.74402
Secondary	IC	Cred	1	RandomForestClassifier	CDDD	F1 Score	0.67844
Secondary	IC	Cred	4	RandomForestClassifier	CDDD	F1 Score	0.71706
Secondary	IC	Cred	3	RandomForestClassifier	CDDD	F1 Score	0.72114
Secondary	IC	Cred	2	RandomForestClassifier	CDDD	F1 Score	0.7091
Secondary	PRR	Cred	0	RandomForestClassifier	CDDD	ROC AUC	0.5256
Secondary	PRR	Cred	1	RandomForestClassifier	CDDD	ROC AUC	0.54124
Secondary	PRR	Cred	4	RandomForestClassifier	CDDD	ROC AUC	0.52762
Secondary	PRR	Cred	3	RandomForestClassifier	CDDD	ROC AUC	0.51684
Secondary	PRR	Cred	2	RandomForestClassifier	CDDD	ROC AUC	0.52946
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	ROC AUC	0.51448
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	ROC AUC	0.57258
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	ROC AUC	0.53666
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	ROC AUC	0.5031
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	ROC AUC	0.50934
Secondary	IC	Cred	0	RandomForestClassifier	CDDD	ROC AUC	0.55476
Secondary	IC	Cred	1	RandomForestClassifier	CDDD	ROC AUC	0.59264
Secondary	IC	Cred	4	RandomForestClassifier	CDDD	ROC AUC	0.57426
Secondary	IC	Cred	3	RandomForestClassifier	CDDD	ROC AUC	0.55242
Secondary	IC	Cred	2	RandomForestClassifier	CDDD	ROC AUC	0.57768
Secondary	PRR	Cred	0	RandomForestClassifier	CDDD	MCC	0.03043
Secondary	PRR	Cred	1	RandomForestClassifier	CDDD	MCC	0.06603
Secondary	PRR	Cred	4	RandomForestClassifier	CDDD	MCC	0.01634
Secondary	PRR	Cred	3	RandomForestClassifier	CDDD	MCC	-0.01043
Secondary	PRR	Cred	2	RandomForestClassifier	CDDD	MCC	0.03958
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	MCC	0.02196
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	MCC	0.08335
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	MCC	0.05948
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	MCC	-0.00106
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	MCC	0.01767
Secondary	IC	Cred	0	RandomForestClassifier	CDDD	MCC	0.06529
Secondary	IC	Cred	1	RandomForestClassifier	CDDD	MCC	0.09558
Secondary	IC	Cred	4	RandomForestClassifier	CDDD	MCC	0.06881
Secondary	IC	Cred	3	RandomForestClassifier	CDDD	MCC	0.01073
Secondary	IC	Cred	2	RandomForestClassifier	CDDD	MCC	0.05304
Secondary	PRR	Cred	0	RandomForestClassifier	CDDD	Accuracy	0.55752
Secondary	PRR	Cred	1	RandomForestClassifier	CDDD	Accuracy	0.53422
Secondary	PRR	Cred	4	RandomForestClassifier	CDDD	Accuracy	0.53463
Secondary	PRR	Cred	3	RandomForestClassifier	CDDD	Accuracy	0.51011
Secondary	PRR	Cred	2	RandomForestClassifier	CDDD	Accuracy	0.54346
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	Accuracy	0.54769
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	Accuracy	0.5229
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	Accuracy	0.54538
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	Accuracy	0.50353
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	Accuracy	0.52531
Secondary	IC	Cred	0	RandomForestClassifier	CDDD	Accuracy	0.61533
Secondary	IC	Cred	1	RandomForestClassifier	CDDD	Accuracy	0.56037
Secondary	IC	Cred	4	RandomForestClassifier	CDDD	Accuracy	0.58683
Secondary	IC	Cred	3	RandomForestClassifier	CDDD	Accuracy	0.58669
Secondary	IC	Cred	2	RandomForestClassifier	CDDD	Accuracy	0.57487
Secondary	PRR	Cred	0	RandomForestClassifier	CDDD	Recall	0.68543
Secondary	PRR	Cred	1	RandomForestClassifier	CDDD	Recall	0.54836
Secondary	PRR	Cred	4	RandomForestClassifier	CDDD	Recall	0.66346
Secondary	PRR	Cred	3	RandomForestClassifier	CDDD	Recall	0.56319
Secondary	PRR	Cred	2	RandomForestClassifier	CDDD	Recall	0.68183
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	Recall	0.65789
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	Recall	0.33261
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	Recall	0.62125
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	Recall	0.51757
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	Recall	0.61874
Secondary	IC	Cred	0	RandomForestClassifier	CDDD	Recall	0.89398
Secondary	IC	Cred	1	RandomForestClassifier	CDDD	Recall	0.8633
Secondary	IC	Cred	4	RandomForestClassifier	CDDD	Recall	0.89345
Secondary	IC	Cred	3	RandomForestClassifier	CDDD	Recall	0.87255
Secondary	IC	Cred	2	RandomForestClassifier	CDDD	Recall	0.90052
Secondary	PRR	Cred	0	RandomForestClassifier	CDDD	Specificity	0.34402
Secondary	PRR	Cred	1	RandomForestClassifier	CDDD	Specificity	0.51781
Secondary	PRR	Cred	4	RandomForestClassifier	CDDD	Specificity	0.35229
Secondary	PRR	Cred	3	RandomForestClassifier	CDDD	Specificity	0.42621
Secondary	PRR	Cred	2	RandomForestClassifier	CDDD	Specificity	0.35594
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	Specificity	0.36376
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	Specificity	0.74379
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	Specificity	0.43799
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	Specificity	0.48134
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	Specificity	0.39868
Secondary	IC	Cred	0	RandomForestClassifier	CDDD	Specificity	0.15026
Secondary	IC	Cred	1	RandomForestClassifier	CDDD	Specificity	0.20871
Secondary	IC	Cred	4	RandomForestClassifier	CDDD	Specificity	0.15286
Secondary	IC	Cred	3	RandomForestClassifier	CDDD	Specificity	0.13486
Secondary	IC	Cred	2	RandomForestClassifier	CDDD	Specificity	0.13358
Secondary	PRR	Cred	0	RandomForestClassifier	CDDD	Precision	0.63556
Secondary	PRR	Cred	1	RandomForestClassifier	CDDD	Precision	0.56899
Secondary	PRR	Cred	4	RandomForestClassifier	CDDD	Precision	0.59179
Secondary	PRR	Cred	3	RandomForestClassifier	CDDD	Precision	0.60805
Secondary	PRR	Cred	2	RandomForestClassifier	CDDD	Precision	0.58925
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	Precision	0.63313
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	Precision	0.60112
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	Precision	0.61006
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	Precision	0.61199
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	Precision	0.58236
Secondary	IC	Cred	0	RandomForestClassifier	CDDD	Precision	0.63714
Secondary	IC	Cred	1	RandomForestClassifier	CDDD	Precision	0.55879
Secondary	IC	Cred	4	RandomForestClassifier	CDDD	Precision	0.59883
Secondary	IC	Cred	3	RandomForestClassifier	CDDD	Precision	0.61451
Secondary	IC	Cred	2	RandomForestClassifier	CDDD	Precision	0.58479
Secondary	PRR	Cred	0	RandomForestClassifier	CDDD	PRC AUC	0.63959
Secondary	PRR	Cred	1	RandomForestClassifier	CDDD	PRC AUC	0.57556
Secondary	PRR	Cred	4	RandomForestClassifier	CDDD	PRC AUC	0.61082
Secondary	PRR	Cred	3	RandomForestClassifier	CDDD	PRC AUC	0.6492
Secondary	PRR	Cred	2	RandomForestClassifier	CDDD	PRC AUC	0.63581
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	PRC AUC	0.62891
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	PRC AUC	0.60682
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	PRC AUC	0.62412
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	PRC AUC	0.62732
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	PRC AUC	0.60163
Secondary	IC	Cred	0	RandomForestClassifier	CDDD	PRC AUC	0.67149
Secondary	IC	Cred	1	RandomForestClassifier	CDDD	PRC AUC	0.63115
Secondary	IC	Cred	4	RandomForestClassifier	CDDD	PRC AUC	0.65296
Secondary	IC	Cred	3	RandomForestClassifier	CDDD	PRC AUC	0.67285
Secondary	IC	Cred	2	RandomForestClassifier	CDDD	PRC AUC	0.65502
Secondary	PRR	Cred	0	RandomForestClassifier	CDDD	Brier	0.24735
Secondary	PRR	Cred	1	RandomForestClassifier	CDDD	Brier	0.24881
Secondary	PRR	Cred	4	RandomForestClassifier	CDDD	Brier	0.2463
Secondary	PRR	Cred	3	RandomForestClassifier	CDDD	Brier	0.25126
Secondary	PRR	Cred	2	RandomForestClassifier	CDDD	Brier	0.24719
Secondary	ROR	Cred	0	RandomForestClassifier	CDDD	Brier	0.2464
Secondary	ROR	Cred	1	RandomForestClassifier	CDDD	Brier	0.24874
Secondary	ROR	Cred	4	RandomForestClassifier	CDDD	Brier	0.24696
Secondary	ROR	Cred	3	RandomForestClassifier	CDDD	Brier	0.25113
Secondary	ROR	Cred	2	RandomForestClassifier	CDDD	Brier	0.25014
Secondary	IC	Cred	0	RandomForestClassifier	CDDD	Brier	0.23546
Secondary	IC	Cred	1	RandomForestClassifier	CDDD	Brier	0.24605
Secondary	IC	Cred	4	RandomForestClassifier	CDDD	Brier	0.23943
Secondary	IC	Cred	3	RandomForestClassifier	CDDD	Brier	0.23669
Secondary	IC	Cred	2	RandomForestClassifier	CDDD	Brier	0.2409
Secondary	PRR	Cred	0	RandomForestClassifier	CDDD	ECE	0.10787
Secondary	PRR	Cred	1	RandomForestClassifier	CDDD	ECE	0.03727
