Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.52382
Secondary	PRR	Cred	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.57712
Secondary	PRR	Cred	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.50858
Secondary	PRR	Cred	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.52773
Secondary	PRR	Cred	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.55003
Secondary	ROR	Cred	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.50333
Secondary	ROR	Cred	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.52176
Secondary	ROR	Cred	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.52077
Secondary	ROR	Cred	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.49883
Secondary	ROR	Cred	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.55407
Secondary	IC	Cred	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.51393
Secondary	IC	Cred	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.51949
Secondary	IC	Cred	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.49777
Secondary	IC	Cred	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.53091
Secondary	IC	Cred	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.52084
Secondary	PRR	Cred	0	RandomForestClassifier	Morgan	GeomRS	0.51172
Secondary	PRR	Cred	1	RandomForestClassifier	Morgan	GeomRS	0.57528
Secondary	PRR	Cred	3	RandomForestClassifier	Morgan	GeomRS	0.50645
Secondary	PRR	Cred	2	RandomForestClassifier	Morgan	GeomRS	0.52772
Secondary	PRR	Cred	4	RandomForestClassifier	Morgan	GeomRS	0.54776
Secondary	ROR	Cred	0	RandomForestClassifier	Morgan	GeomRS	0.43426
Secondary	ROR	Cred	1	RandomForestClassifier	Morgan	GeomRS	0.44848
Secondary	ROR	Cred	3	RandomForestClassifier	Morgan	GeomRS	0.47545
Secondary	ROR	Cred	2	RandomForestClassifier	Morgan	GeomRS	0.49031
Secondary	ROR	Cred	4	RandomForestClassifier	Morgan	GeomRS	0.49498
Secondary	IC	Cred	0	RandomForestClassifier	Morgan	GeomRS	0.42437
Secondary	IC	Cred	1	RandomForestClassifier	Morgan	GeomRS	0.34283
Secondary	IC	Cred	3	RandomForestClassifier	Morgan	GeomRS	0.35037
Secondary	IC	Cred	2	RandomForestClassifier	Morgan	GeomRS	0.37362
Secondary	IC	Cred	4	RandomForestClassifier	Morgan	GeomRS	0.33045
Secondary	PRR	Cred	0	RandomForestClassifier	Morgan	HarmRS	0.49989
Secondary	PRR	Cred	1	RandomForestClassifier	Morgan	HarmRS	0.57344
Secondary	PRR	Cred	3	RandomForestClassifier	Morgan	HarmRS	0.50432
Secondary	PRR	Cred	2	RandomForestClassifier	Morgan	HarmRS	0.52772
Secondary	PRR	Cred	4	RandomForestClassifier	Morgan	HarmRS	0.54551
Secondary	ROR	Cred	0	RandomForestClassifier	Morgan	HarmRS	0.37467
Secondary	ROR	Cred	1	RandomForestClassifier	Morgan	HarmRS	0.38549
Secondary	ROR	Cred	3	RandomForestClassifier	Morgan	HarmRS	0.43408
Secondary	ROR	Cred	2	RandomForestClassifier	Morgan	HarmRS	0.48194
Secondary	ROR	Cred	4	RandomForestClassifier	Morgan	HarmRS	0.44219
Secondary	IC	Cred	0	RandomForestClassifier	Morgan	HarmRS	0.35041
Secondary	IC	Cred	1	RandomForestClassifier	Morgan	HarmRS	0.22624
Secondary	IC	Cred	3	RandomForestClassifier	Morgan	HarmRS	0.24661
Secondary	IC	Cred	2	RandomForestClassifier	Morgan	HarmRS	0.26293
Secondary	IC	Cred	4	RandomForestClassifier	Morgan	HarmRS	0.20966
Secondary	PRR	Cred	0	RandomForestClassifier	Morgan	F1 Score	0.50532
Secondary	PRR	Cred	1	RandomForestClassifier	Morgan	F1 Score	0.57234
Secondary	PRR	Cred	3	RandomForestClassifier	Morgan	F1 Score	0.53001
Secondary	PRR	Cred	2	RandomForestClassifier	Morgan	F1 Score	0.56387
Secondary	PRR	Cred	4	RandomForestClassifier	Morgan	F1 Score	0.56107
Secondary	ROR	Cred	0	RandomForestClassifier	Morgan	F1 Score	0.35705
Secondary	ROR	Cred	1	RandomForestClassifier	Morgan	F1 Score	0.35497
Secondary	ROR	Cred	3	RandomForestClassifier	Morgan	F1 Score	0.41744
Secondary	ROR	Cred	2	RandomForestClassifier	Morgan	F1 Score	0.47631
Secondary	ROR	Cred	4	RandomForestClassifier	Morgan	F1 Score	0.4225
Secondary	IC	Cred	0	RandomForestClassifier	Morgan	F1 Score	0.7086
Secondary	IC	Cred	1	RandomForestClassifier	Morgan	F1 Score	0.68407
Secondary	IC	Cred	3	RandomForestClassifier	Morgan	F1 Score	0.71159
