Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cvas	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.53012
Secondary	PRR	Cvas	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.53176
Secondary	PRR	Cvas	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.54674
Secondary	PRR	Cvas	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.55341
Secondary	PRR	Cvas	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.51586
Secondary	ROR	Cvas	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.49008
Secondary	ROR	Cvas	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.49787
Secondary	ROR	Cvas	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.49562
Secondary	ROR	Cvas	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.50039
Secondary	ROR	Cvas	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.50995
Secondary	IC	Cvas	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.50899
Secondary	IC	Cvas	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.51711
Secondary	IC	Cvas	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.51291
Secondary	IC	Cvas	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.5139
Secondary	IC	Cvas	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.51309
Secondary	PRR	Cvas	0	RandomForestClassifier	Morgan	GeomRS	0.52277
Secondary	PRR	Cvas	2	RandomForestClassifier	Morgan	GeomRS	0.52865
Secondary	PRR	Cvas	1	RandomForestClassifier	Morgan	GeomRS	0.53827
Secondary	PRR	Cvas	4	RandomForestClassifier	Morgan	GeomRS	0.5431
Secondary	PRR	Cvas	3	RandomForestClassifier	Morgan	GeomRS	0.51567
Secondary	ROR	Cvas	0	RandomForestClassifier	Morgan	GeomRS	0.40883
Secondary	ROR	Cvas	2	RandomForestClassifier	Morgan	GeomRS	0.48658
Secondary	ROR	Cvas	1	RandomForestClassifier	Morgan	GeomRS	0.36383
Secondary	ROR	Cvas	4	RandomForestClassifier	Morgan	GeomRS	0.40857
Secondary	ROR	Cvas	3	RandomForestClassifier	Morgan	GeomRS	0.45835
Secondary	IC	Cvas	0	RandomForestClassifier	Morgan	GeomRS	0.45536
Secondary	IC	Cvas	2	RandomForestClassifier	Morgan	GeomRS	0.35909
Secondary	IC	Cvas	1	RandomForestClassifier	Morgan	GeomRS	0.36812
Secondary	IC	Cvas	4	RandomForestClassifier	Morgan	GeomRS	0.34257
Secondary	IC	Cvas	3	RandomForestClassifier	Morgan	GeomRS	0.41639
Secondary	PRR	Cvas	0	RandomForestClassifier	Morgan	HarmRS	0.51553
Secondary	PRR	Cvas	2	RandomForestClassifier	Morgan	HarmRS	0.52556
Secondary	PRR	Cvas	1	RandomForestClassifier	Morgan	HarmRS	0.52993
Secondary	PRR	Cvas	4	RandomForestClassifier	Morgan	HarmRS	0.53297
Secondary	PRR	Cvas	3	RandomForestClassifier	Morgan	HarmRS	0.51549
Secondary	ROR	Cvas	0	RandomForestClassifier	Morgan	HarmRS	0.34105
Secondary	ROR	Cvas	2	RandomForestClassifier	Morgan	HarmRS	0.47555
Secondary	ROR	Cvas	1	RandomForestClassifier	Morgan	HarmRS	0.26708
Secondary	ROR	Cvas	4	RandomForestClassifier	Morgan	HarmRS	0.3336
Secondary	ROR	Cvas	3	RandomForestClassifier	Morgan	HarmRS	0.41197
Secondary	IC	Cvas	0	RandomForestClassifier	Morgan	HarmRS	0.40737
Secondary	IC	Cvas	2	RandomForestClassifier	Morgan	HarmRS	0.24935
Secondary	IC	Cvas	1	RandomForestClassifier	Morgan	HarmRS	0.2642
Secondary	IC	Cvas	4	RandomForestClassifier	Morgan	HarmRS	0.22836
Secondary	IC	Cvas	3	RandomForestClassifier	Morgan	HarmRS	0.33792
Secondary	PRR	Cvas	0	RandomForestClassifier	Morgan	F1 Score	0.52288
Secondary	PRR	Cvas	2	RandomForestClassifier	Morgan	F1 Score	0.59786
Secondary	PRR	Cvas	1	RandomForestClassifier	Morgan	F1 Score	0.51505
Secondary	PRR	Cvas	4	RandomForestClassifier	Morgan	F1 Score	0.52136
Secondary	PRR	Cvas	3	RandomForestClassifier	Morgan	F1 Score	0.5559
Secondary	ROR	Cvas	0	RandomForestClassifier	Morgan	F1 Score	0.31948
Secondary	ROR	Cvas	2	RandomForestClassifier	Morgan	F1 Score	0.46704
Secondary	ROR	Cvas	1	RandomForestClassifier	Morgan	F1 Score	0.24474
Secondary	ROR	Cvas	4	RandomForestClassifier	Morgan	F1 Score	0.30709
Secondary	ROR	Cvas	3	RandomForestClassifier	Morgan	F1 Score	0.39265
Secondary	IC	Cvas	0	RandomForestClassifier	Morgan	F1 Score	0.66795
Secondary	IC	Cvas	2	RandomForestClassifier	Morgan	F1 Score	0.70849
Secondary	IC	Cvas	1	RandomForestClassifier	Morgan	F1 Score	0.67485
