Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cvas	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.53325
Secondary	PRR	Cvas	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52218
Secondary	PRR	Cvas	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52452
Secondary	PRR	Cvas	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.5063
Secondary	PRR	Cvas	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51386
Secondary	ROR	Cvas	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.49101
Secondary	ROR	Cvas	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51871
Secondary	ROR	Cvas	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.46541
Secondary	ROR	Cvas	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.46805
Secondary	ROR	Cvas	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.48655
Secondary	IC	Cvas	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52793
Secondary	IC	Cvas	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51511
Secondary	IC	Cvas	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.50177
Secondary	IC	Cvas	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.49083
Secondary	IC	Cvas	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.50153
Secondary	PRR	Cvas	1	XGBClassifier	ChemBERTa	GeomRS	0.53116
Secondary	PRR	Cvas	0	XGBClassifier	ChemBERTa	GeomRS	0.51165
Secondary	PRR	Cvas	2	XGBClassifier	ChemBERTa	GeomRS	0.52302
Secondary	PRR	Cvas	3	XGBClassifier	ChemBERTa	GeomRS	0.4957
Secondary	PRR	Cvas	4	XGBClassifier	ChemBERTa	GeomRS	0.51055
Secondary	ROR	Cvas	1	XGBClassifier	ChemBERTa	GeomRS	0.46855
Secondary	ROR	Cvas	0	XGBClassifier	ChemBERTa	GeomRS	0.5168
Secondary	ROR	Cvas	2	XGBClassifier	ChemBERTa	GeomRS	0.461
Secondary	ROR	Cvas	3	XGBClassifier	ChemBERTa	GeomRS	0.45135
Secondary	ROR	Cvas	4	XGBClassifier	ChemBERTa	GeomRS	0.4865
Secondary	IC	Cvas	1	XGBClassifier	ChemBERTa	GeomRS	0.5104
Secondary	IC	Cvas	0	XGBClassifier	ChemBERTa	GeomRS	0.43824
