Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Card	0	LogisticRegression	Klek	Balanced Accuracy	0.54573
Mono	IC	Card	1	LogisticRegression	Klek	Balanced Accuracy	0.59096
Mono	IC	Card	3	LogisticRegression	Klek	Balanced Accuracy	0.51978
Mono	IC	Card	4	LogisticRegression	Klek	Balanced Accuracy	0.48898
Mono	IC	Card	2	LogisticRegression	Klek	Balanced Accuracy	0.585
Primary	IC	Card	0	LogisticRegression	Klek	Balanced Accuracy	0.56278
Primary	IC	Card	1	LogisticRegression	Klek	Balanced Accuracy	0.47427
Primary	IC	Card	3	LogisticRegression	Klek	Balanced Accuracy	0.45817
Primary	IC	Card	4	LogisticRegression	Klek	Balanced Accuracy	0.48663
Primary	IC	Card	2	LogisticRegression	Klek	Balanced Accuracy	0.60133
Secondary	IC	Card	0	LogisticRegression	Klek	Balanced Accuracy	0.45008
Secondary	IC	Card	1	LogisticRegression	Klek	Balanced Accuracy	0.52835
Secondary	IC	Card	3	LogisticRegression	Klek	Balanced Accuracy	0.47693
Secondary	IC	Card	4	LogisticRegression	Klek	Balanced Accuracy	0.49937
Secondary	IC	Card	2	LogisticRegression	Klek	Balanced Accuracy	0.59125
Mono	IC	Card	0	LogisticRegression	Klek	GeomRS	0.54185
Mono	IC	Card	1	LogisticRegression	Klek	GeomRS	0.58442
Mono	IC	Card	3	LogisticRegression	Klek	GeomRS	0.51896
Mono	IC	Card	4	LogisticRegression	Klek	GeomRS	0.47406
Mono	IC	Card	2	LogisticRegression	Klek	GeomRS	0.56606
Primary	IC	Card	0	LogisticRegression	Klek	GeomRS	0.56157
Primary	IC	Card	1	LogisticRegression	Klek	GeomRS	0.42938
Primary	IC	Card	3	LogisticRegression	Klek	GeomRS	0.45323
Primary	IC	Card	4	LogisticRegression	Klek	GeomRS	0.46076
Primary	IC	Card	2	LogisticRegression	Klek	GeomRS	0.57265
Secondary	IC	Card	0	LogisticRegression	Klek	GeomRS	0.4369
Secondary	IC	Card	1	LogisticRegression	Klek	GeomRS	0.50596
Secondary	IC	Card	3	LogisticRegression	Klek	GeomRS	0.45835
Secondary	IC	Card	4	LogisticRegression	Klek	GeomRS	0.46617
Secondary	IC	Card	2	LogisticRegression	Klek	GeomRS	0.58868
Mono	IC	Card	0	LogisticRegression	Klek	HarmRS	0.53799
Mono	IC	Card	1	LogisticRegression	Klek	HarmRS	0.57796
Mono	IC	Card	3	LogisticRegression	Klek	HarmRS	0.51813
Mono	IC	Card	4	LogisticRegression	Klek	HarmRS	0.45959
Mono	IC	Card	2	LogisticRegression	Klek	HarmRS	0.54772
Primary	IC	Card	0	LogisticRegression	Klek	HarmRS	0.56036
Primary	IC	Card	1	LogisticRegression	Klek	HarmRS	0.38873
Primary	IC	Card	3	LogisticRegression	Klek	HarmRS	0.44835
Primary	IC	Card	4	LogisticRegression	Klek	HarmRS	0.43627
Primary	IC	Card	2	LogisticRegression	Klek	HarmRS	0.54533
Secondary	IC	Card	0	LogisticRegression	Klek	HarmRS	0.42411
Secondary	IC	Card	1	LogisticRegression	Klek	HarmRS	0.48451
Secondary	IC	Card	3	LogisticRegression	Klek	HarmRS	0.44049
Secondary	IC	Card	4	LogisticRegression	Klek	HarmRS	0.43517
Secondary	IC	Card	2	LogisticRegression	Klek	HarmRS	0.58613
Mono	IC	Card	0	LogisticRegression	Klek	F1 Score	0.57738
Mono	IC	Card	1	LogisticRegression	Klek	F1 Score	0.66477
Mono	IC	Card	3	LogisticRegression	Klek	F1 Score	0.56584
Mono	IC	Card	4	LogisticRegression	Klek	F1 Score	0.62148
Mono	IC	Card	2	LogisticRegression	Klek	F1 Score	0.71067
Primary	IC	Card	0	LogisticRegression	Klek	F1 Score	0.65739
Primary	IC	Card	1	LogisticRegression	Klek	F1 Score	0.61228
Primary	IC	Card	3	LogisticRegression	Klek	F1 Score	0.56671
Primary	IC	Card	4	LogisticRegression	Klek	F1 Score	0.63828
Primary	IC	Card	2	LogisticRegression	Klek	F1 Score	0.7385
Secondary	IC	Card	0	LogisticRegression	Klek	F1 Score	0.59697
Secondary	IC	Card	1	LogisticRegression	Klek	F1 Score	0.63706
Secondary	IC	Card	3	LogisticRegression	Klek	F1 Score	0.62057
Secondary	IC	Card	4	LogisticRegression	Klek	F1 Score	0.65993
Secondary	IC	Card	2	LogisticRegression	Klek	F1 Score	0.67403
Mono	IC	Card	0	LogisticRegression	Klek	ROC AUC	0.54483
Mono	IC	Card	1	LogisticRegression	Klek	ROC AUC	0.63049
Mono	IC	Card	3	LogisticRegression	Klek	ROC AUC	0.5097
Mono	IC	Card	4	LogisticRegression	Klek	ROC AUC	0.48264
Mono	IC	Card	2	LogisticRegression	Klek	ROC AUC	0.63168
Primary	IC	Card	0	LogisticRegression	Klek	ROC AUC	0.56092
Primary	IC	Card	1	LogisticRegression	Klek	ROC AUC	0.51558
Primary	IC	Card	3	LogisticRegression	Klek	ROC AUC	0.46313
Primary	IC	Card	4	LogisticRegression	Klek	ROC AUC	0.48155
Primary	IC	Card	2	LogisticRegression	Klek	ROC AUC	0.66498
Secondary	IC	Card	0	LogisticRegression	Klek	ROC AUC	0.44277
Secondary	IC	Card	1	LogisticRegression	Klek	ROC AUC	0.55098
Secondary	IC	Card	3	LogisticRegression	Klek	ROC AUC	0.46043
Secondary	IC	Card	4	LogisticRegression	Klek	ROC AUC	0.48408
Secondary	IC	Card	2	LogisticRegression	Klek	ROC AUC	0.61547
Mono	IC	Card	0	LogisticRegression	Klek	MCC	0.08584
Mono	IC	Card	1	LogisticRegression	Klek	MCC	0.18355
Mono	IC	Card	3	LogisticRegression	Klek	MCC	0.0378
Mono	IC	Card	4	LogisticRegression	Klek	MCC	-0.02172
Mono	IC	Card	2	LogisticRegression	Klek	MCC	0.17447
Primary	IC	Card	0	LogisticRegression	Klek	MCC	0.11812
Primary	IC	Card	1	LogisticRegression	Klek	MCC	-0.05532
Primary	IC	Card	3	LogisticRegression	Klek	MCC	-0.08031
Primary	IC	Card	4	LogisticRegression	Klek	MCC	-0.02691
Primary	IC	Card	2	LogisticRegression	Klek	MCC	0.21554
Secondary	IC	Card	0	LogisticRegression	Klek	MCC	-0.09483
Secondary	IC	Card	1	LogisticRegression	Klek	MCC	0.05898
Secondary	IC	Card	3	LogisticRegression	Klek	MCC	-0.04547
Secondary	IC	Card	4	LogisticRegression	Klek	MCC	-0.0013
Secondary	IC	Card	2	LogisticRegression	Klek	MCC	0.17838
Mono	IC	Card	0	LogisticRegression	Klek	Accuracy	0.52254
Mono	IC	Card	1	LogisticRegression	Klek	Accuracy	0.60459
Mono	IC	Card	3	LogisticRegression	Klek	Accuracy	0.51102
Mono	IC	Card	4	LogisticRegression	Klek	Accuracy	0.52323
Mono	IC	Card	2	LogisticRegression	Klek	Accuracy	0.62365
Primary	IC	Card	0	LogisticRegression	Klek	Accuracy	0.57594
Primary	IC	Card	1	LogisticRegression	Klek	Accuracy	0.50559
Primary	IC	Card	3	LogisticRegression	Klek	Accuracy	0.47824
Primary	IC	Card	4	LogisticRegression	Klek	Accuracy	0.53136
Primary	IC	Card	2	LogisticRegression	Klek	Accuracy	0.64936
Secondary	IC	Card	0	LogisticRegression	Klek	Accuracy	0.48866
Secondary	IC	Card	1	LogisticRegression	Klek	Accuracy	0.55201
Secondary	IC	Card	3	LogisticRegression	Klek	Accuracy	0.51639
Secondary	IC	Card	4	LogisticRegression	Klek	Accuracy	0.55052
Secondary	IC	Card	2	LogisticRegression	Klek	Accuracy	0.60566
Mono	IC	Card	0	LogisticRegression	Klek	Recall	0.48074
Mono	IC	Card	1	LogisticRegression	Klek	Recall	0.67861
Mono	IC	Card	3	LogisticRegression	Klek	Recall	0.49049
Mono	IC	Card	4	LogisticRegression	Klek	Recall	0.60885
Mono	IC	Card	2	LogisticRegression	Klek	Recall	0.73268
Primary	IC	Card	0	LogisticRegression	Klek	Recall	0.59966
Primary	IC	Card	1	LogisticRegression	Klek	Recall	0.6757
Primary	IC	Card	3	LogisticRegression	Klek	Recall	0.52523
Primary	IC	Card	4	LogisticRegression	Klek	Recall	0.64318
Primary	IC	Card	2	LogisticRegression	Klek	Recall	0.78484
Secondary	IC	Card	0	LogisticRegression	Klek	Recall	0.55819
Secondary	IC	Card	1	LogisticRegression	Klek	Recall	0.68054
Secondary	IC	Card	3	LogisticRegression	Klek	Recall	0.60877
Secondary	IC	Card	4	LogisticRegression	Klek	Recall	0.67841
Secondary	IC	Card	2	LogisticRegression	Klek	Recall	0.64629
Mono	IC	Card	0	LogisticRegression	Klek	Specificity	0.61071
Mono	IC	Card	1	LogisticRegression	Klek	Specificity	0.50331
Mono	IC	Card	3	LogisticRegression	Klek	Specificity	0.54908
Mono	IC	Card	4	LogisticRegression	Klek	Specificity	0.36911
Mono	IC	Card	2	LogisticRegression	Klek	Specificity	0.43733
Primary	IC	Card	0	LogisticRegression	Klek	Specificity	0.52589
Primary	IC	Card	1	LogisticRegression	Klek	Specificity	0.27285
Primary	IC	Card	3	LogisticRegression	Klek	Specificity	0.3911
Primary	IC	Card	4	LogisticRegression	Klek	Specificity	0.33008
Primary	IC	Card	2	LogisticRegression	Klek	Specificity	0.41783
Secondary	IC	Card	0	LogisticRegression	Klek	Specificity	0.34196
Secondary	IC	Card	1	LogisticRegression	Klek	Specificity	0.37616
Secondary	IC	Card	3	LogisticRegression	Klek	Specificity	0.34509
Secondary	IC	Card	4	LogisticRegression	Klek	Specificity	0.32033
Secondary	IC	Card	2	LogisticRegression	Klek	Specificity	0.53621
Mono	IC	Card	0	LogisticRegression	Klek	Precision	0.72265
Mono	IC	Card	1	LogisticRegression	Klek	Precision	0.65149
Mono	IC	Card	3	LogisticRegression	Klek	Precision	0.66855
Mono	IC	Card	4	LogisticRegression	Klek	Precision	0.63465
Mono	IC	Card	2	LogisticRegression	Klek	Precision	0.68995
Primary	IC	Card	0	LogisticRegression	Klek	Precision	0.72741
Primary	IC	Card	1	LogisticRegression	Klek	Precision	0.55974
Primary	IC	Card	3	LogisticRegression	Klek	Precision	0.61531
Primary	IC	Card	4	LogisticRegression	Klek	Precision	0.63345
Primary	IC	Card	2	LogisticRegression	Klek	Precision	0.69732
Secondary	IC	Card	0	LogisticRegression	Klek	Precision	0.64154
Secondary	IC	Card	1	LogisticRegression	Klek	Precision	0.59881
Secondary	IC	Card	3	LogisticRegression	Klek	Precision	0.63285
Secondary	IC	Card	4	LogisticRegression	Klek	Precision	0.64243
Secondary	IC	Card	2	LogisticRegression	Klek	Precision	0.70426
Mono	IC	Card	0	LogisticRegression	Klek	PRC AUC	0.70204
Mono	IC	Card	1	LogisticRegression	Klek	PRC AUC	0.71306
