Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Card	0	XGBClassifier	MACCS	Balanced Accuracy	0.51218
Mono	PRR	Card	1	XGBClassifier	MACCS	Balanced Accuracy	0.54641
Mono	PRR	Card	3	XGBClassifier	MACCS	Balanced Accuracy	0.51495
Mono	PRR	Card	4	XGBClassifier	MACCS	Balanced Accuracy	0.49449
Mono	PRR	Card	2	XGBClassifier	MACCS	Balanced Accuracy	0.56921
Primary	PRR	Card	0	XGBClassifier	MACCS	Balanced Accuracy	0.53816
Primary	PRR	Card	1	XGBClassifier	MACCS	Balanced Accuracy	0.57604
Primary	PRR	Card	3	XGBClassifier	MACCS	Balanced Accuracy	0.54092
Primary	PRR	Card	4	XGBClassifier	MACCS	Balanced Accuracy	0.55456
Primary	PRR	Card	2	XGBClassifier	MACCS	Balanced Accuracy	0.61112
Secondary	PRR	Card	0	XGBClassifier	MACCS	Balanced Accuracy	0.54377
Secondary	PRR	Card	1	XGBClassifier	MACCS	Balanced Accuracy	0.60995
Secondary	PRR	Card	3	XGBClassifier	MACCS	Balanced Accuracy	0.52268
Secondary	PRR	Card	4	XGBClassifier	MACCS	Balanced Accuracy	0.60172
Secondary	PRR	Card	2	XGBClassifier	MACCS	Balanced Accuracy	0.59347
Mono	PRR	Card	0	XGBClassifier	MACCS	GeomRS	0.51084
Mono	PRR	Card	1	XGBClassifier	MACCS	GeomRS	0.54511
Mono	PRR	Card	3	XGBClassifier	MACCS	GeomRS	0.47778
Mono	PRR	Card	4	XGBClassifier	MACCS	GeomRS	0.49306
Mono	PRR	Card	2	XGBClassifier	MACCS	GeomRS	0.5657
Primary	PRR	Card	0	XGBClassifier	MACCS	GeomRS	0.53795
Primary	PRR	Card	1	XGBClassifier	MACCS	GeomRS	0.55728
Primary	PRR	Card	3	XGBClassifier	MACCS	GeomRS	0.53037
Primary	PRR	Card	4	XGBClassifier	MACCS	GeomRS	0.55402
Primary	PRR	Card	2	XGBClassifier	MACCS	GeomRS	0.60815
Secondary	PRR	Card	0	XGBClassifier	MACCS	GeomRS	0.54076
Secondary	PRR	Card	1	XGBClassifier	MACCS	GeomRS	0.60813
Secondary	PRR	Card	3	XGBClassifier	MACCS	GeomRS	0.52011
Secondary	PRR	Card	4	XGBClassifier	MACCS	GeomRS	0.59052
Secondary	PRR	Card	2	XGBClassifier	MACCS	GeomRS	0.58999
Mono	PRR	Card	0	XGBClassifier	MACCS	HarmRS	0.50951
Mono	PRR	Card	1	XGBClassifier	MACCS	HarmRS	0.54381
Mono	PRR	Card	3	XGBClassifier	MACCS	HarmRS	0.44329
Mono	PRR	Card	4	XGBClassifier	MACCS	HarmRS	0.49163
Mono	PRR	Card	2	XGBClassifier	MACCS	HarmRS	0.56222
Primary	PRR	Card	0	XGBClassifier	MACCS	HarmRS	0.53775
Primary	PRR	Card	1	XGBClassifier	MACCS	HarmRS	0.53914
Primary	PRR	Card	3	XGBClassifier	MACCS	HarmRS	0.52002
Primary	PRR	Card	4	XGBClassifier	MACCS	HarmRS	0.55348
Primary	PRR	Card	2	XGBClassifier	MACCS	HarmRS	0.6052
Secondary	PRR	Card	0	XGBClassifier	MACCS	HarmRS	0.53776
Secondary	PRR	Card	1	XGBClassifier	MACCS	HarmRS	0.60632
Secondary	PRR	Card	3	XGBClassifier	MACCS	HarmRS	0.51754
Secondary	PRR	Card	4	XGBClassifier	MACCS	HarmRS	0.57953
Secondary	PRR	Card	2	XGBClassifier	MACCS	HarmRS	0.58652
Mono	PRR	Card	0	XGBClassifier	MACCS	F1 Score	0.56277
Mono	PRR	Card	1	XGBClassifier	MACCS	F1 Score	0.5612
Mono	PRR	Card	3	XGBClassifier	MACCS	F1 Score	0.436
Mono	PRR	Card	4	XGBClassifier	MACCS	F1 Score	0.5803
Mono	PRR	Card	2	XGBClassifier	MACCS	F1 Score	0.58807
Primary	PRR	Card	0	XGBClassifier	MACCS	F1 Score	0.62179
Primary	PRR	Card	1	XGBClassifier	MACCS	F1 Score	0.52669
Primary	PRR	Card	3	XGBClassifier	MACCS	F1 Score	0.5349
Primary	PRR	Card	4	XGBClassifier	MACCS	F1 Score	0.62936
Primary	PRR	Card	2	XGBClassifier	MACCS	F1 Score	0.63207
Secondary	PRR	Card	0	XGBClassifier	MACCS	F1 Score	0.65168
Secondary	PRR	Card	1	XGBClassifier	MACCS	F1 Score	0.66471
Secondary	PRR	Card	3	XGBClassifier	MACCS	F1 Score	0.61771
Secondary	PRR	Card	4	XGBClassifier	MACCS	F1 Score	0.71628
Secondary	PRR	Card	2	XGBClassifier	MACCS	F1 Score	0.68044
Mono	PRR	Card	0	XGBClassifier	MACCS	ROC AUC	0.51806
Mono	PRR	Card	1	XGBClassifier	MACCS	ROC AUC	0.5958
Mono	PRR	Card	3	XGBClassifier	MACCS	ROC AUC	0.51442
Mono	PRR	Card	4	XGBClassifier	MACCS	ROC AUC	0.5297
Mono	PRR	Card	2	XGBClassifier	MACCS	ROC AUC	0.61154
Primary	PRR	Card	0	XGBClassifier	MACCS	ROC AUC	0.55325
Primary	PRR	Card	1	XGBClassifier	MACCS	ROC AUC	0.63531
Primary	PRR	Card	3	XGBClassifier	MACCS	ROC AUC	0.55617
