Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Card	0	XGBClassifier	Morgan	Balanced Accuracy	0.51335
Mono	PRR	Card	1	XGBClassifier	Morgan	Balanced Accuracy	0.50973
Mono	PRR	Card	3	XGBClassifier	Morgan	Balanced Accuracy	0.51688
Mono	PRR	Card	4	XGBClassifier	Morgan	Balanced Accuracy	0.50949
Mono	PRR	Card	2	XGBClassifier	Morgan	Balanced Accuracy	0.55152
Primary	PRR	Card	0	XGBClassifier	Morgan	Balanced Accuracy	0.50736
Primary	PRR	Card	1	XGBClassifier	Morgan	Balanced Accuracy	0.58361
Primary	PRR	Card	3	XGBClassifier	Morgan	Balanced Accuracy	0.51266
Primary	PRR	Card	4	XGBClassifier	Morgan	Balanced Accuracy	0.56658
Primary	PRR	Card	2	XGBClassifier	Morgan	Balanced Accuracy	0.56018
Secondary	PRR	Card	0	XGBClassifier	Morgan	Balanced Accuracy	0.51256
Secondary	PRR	Card	1	XGBClassifier	Morgan	Balanced Accuracy	0.56396
Secondary	PRR	Card	3	XGBClassifier	Morgan	Balanced Accuracy	0.51422
Secondary	PRR	Card	4	XGBClassifier	Morgan	Balanced Accuracy	0.54797
Secondary	PRR	Card	2	XGBClassifier	Morgan	Balanced Accuracy	0.63946
Mono	PRR	Card	0	XGBClassifier	Morgan	GeomRS	0.49877
Mono	PRR	Card	1	XGBClassifier	Morgan	GeomRS	0.5076
Mono	PRR	Card	3	XGBClassifier	Morgan	GeomRS	0.49064
Mono	PRR	Card	4	XGBClassifier	Morgan	GeomRS	0.50876
Mono	PRR	Card	2	XGBClassifier	Morgan	GeomRS	0.55152
Primary	PRR	Card	0	XGBClassifier	Morgan	GeomRS	0.49727
Primary	PRR	Card	1	XGBClassifier	Morgan	GeomRS	0.58334
Primary	PRR	Card	3	XGBClassifier	Morgan	GeomRS	0.51232
Primary	PRR	Card	4	XGBClassifier	Morgan	GeomRS	0.56636
Primary	PRR	Card	2	XGBClassifier	Morgan	GeomRS	0.55925
Secondary	PRR	Card	0	XGBClassifier	Morgan	GeomRS	0.51256
Secondary	PRR	Card	1	XGBClassifier	Morgan	GeomRS	0.56276
Secondary	PRR	Card	3	XGBClassifier	Morgan	GeomRS	0.51276
Secondary	PRR	Card	4	XGBClassifier	Morgan	GeomRS	0.54115
Secondary	PRR	Card	2	XGBClassifier	Morgan	GeomRS	0.62214
Mono	PRR	Card	0	XGBClassifier	Morgan	HarmRS	0.4846
Mono	PRR	Card	1	XGBClassifier	Morgan	HarmRS	0.50548
Mono	PRR	Card	3	XGBClassifier	Morgan	HarmRS	0.46574
Mono	PRR	Card	4	XGBClassifier	Morgan	HarmRS	0.50804
Mono	PRR	Card	2	XGBClassifier	Morgan	HarmRS	0.55152
