Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Card	0	LogisticRegression	RDKit	Balanced Accuracy	0.55647
Mono	ROR	Card	1	LogisticRegression	RDKit	Balanced Accuracy	0.57665
Mono	ROR	Card	3	LogisticRegression	RDKit	Balanced Accuracy	0.50182
Mono	ROR	Card	4	LogisticRegression	RDKit	Balanced Accuracy	0.52007
Mono	ROR	Card	2	LogisticRegression	RDKit	Balanced Accuracy	0.6066
Primary	ROR	Card	0	LogisticRegression	RDKit	Balanced Accuracy	0.51899
Primary	ROR	Card	1	LogisticRegression	RDKit	Balanced Accuracy	0.54334
Primary	ROR	Card	3	LogisticRegression	RDKit	Balanced Accuracy	0.50125
Primary	ROR	Card	4	LogisticRegression	RDKit	Balanced Accuracy	0.52544
Primary	ROR	Card	2	LogisticRegression	RDKit	Balanced Accuracy	0.57367
Secondary	ROR	Card	0	LogisticRegression	RDKit	Balanced Accuracy	0.56966
Secondary	ROR	Card	1	LogisticRegression	RDKit	Balanced Accuracy	0.56072
Secondary	ROR	Card	3	LogisticRegression	RDKit	Balanced Accuracy	0.48988
Secondary	ROR	Card	4	LogisticRegression	RDKit	Balanced Accuracy	0.52463
Secondary	ROR	Card	2	LogisticRegression	RDKit	Balanced Accuracy	0.50423
Mono	ROR	Card	0	LogisticRegression	RDKit	GeomRS	0.54482
Mono	ROR	Card	1	LogisticRegression	RDKit	GeomRS	0.56503
Mono	ROR	Card	3	LogisticRegression	RDKit	GeomRS	0.47786
Mono	ROR	Card	4	LogisticRegression	RDKit	GeomRS	0.51305
Mono	ROR	Card	2	LogisticRegression	RDKit	GeomRS	0.6066
Primary	ROR	Card	0	LogisticRegression	RDKit	GeomRS	0.47474
Primary	ROR	Card	1	LogisticRegression	RDKit	GeomRS	0.5139
Primary	ROR	Card	3	LogisticRegression	RDKit	GeomRS	0.44311
Primary	ROR	Card	4	LogisticRegression	RDKit	GeomRS	0.50545
Primary	ROR	Card	2	LogisticRegression	RDKit	GeomRS	0.5567
Secondary	ROR	Card	0	LogisticRegression	RDKit	GeomRS	0.51388
Secondary	ROR	Card	1	LogisticRegression	RDKit	GeomRS	0.5184
Secondary	ROR	Card	3	LogisticRegression	RDKit	GeomRS	0.39285
Secondary	ROR	Card	4	LogisticRegression	RDKit	GeomRS	0.4721
Secondary	ROR	Card	2	LogisticRegression	RDKit	GeomRS	0.46213
Mono	ROR	Card	0	LogisticRegression	RDKit	HarmRS	0.53341
Mono	ROR	Card	1	LogisticRegression	RDKit	HarmRS	0.55363
Mono	ROR	Card	3	LogisticRegression	RDKit	HarmRS	0.45504
Mono	ROR	Card	4	LogisticRegression	RDKit	HarmRS	0.50612
Mono	ROR	Card	2	LogisticRegression	RDKit	HarmRS	0.60659
Primary	ROR	Card	0	LogisticRegression	RDKit	HarmRS	0.43426
Primary	ROR	Card	1	LogisticRegression	RDKit	HarmRS	0.48605
Primary	ROR	Card	3	LogisticRegression	RDKit	HarmRS	0.39171
Primary	ROR	Card	4	LogisticRegression	RDKit	HarmRS	0.48623
Primary	ROR	Card	2	LogisticRegression	RDKit	HarmRS	0.54023
Secondary	ROR	Card	0	LogisticRegression	RDKit	HarmRS	0.46357
Secondary	ROR	Card	1	LogisticRegression	RDKit	HarmRS	0.47927
Secondary	ROR	Card	3	LogisticRegression	RDKit	HarmRS	0.31503
Secondary	ROR	Card	4	LogisticRegression	RDKit	HarmRS	0.42483
Secondary	ROR	Card	2	LogisticRegression	RDKit	HarmRS	0.42353
Mono	ROR	Card	0	LogisticRegression	RDKit	F1 Score	0.53258
Mono	ROR	Card	1	LogisticRegression	RDKit	F1 Score	0.51528
Mono	ROR	Card	3	LogisticRegression	RDKit	F1 Score	0.43451
Mono	ROR	Card	4	LogisticRegression	RDKit	F1 Score	0.49716
Mono	ROR	Card	2	LogisticRegression	RDKit	F1 Score	0.62899
Primary	ROR	Card	0	LogisticRegression	RDKit	F1 Score	0.4149
Primary	ROR	Card	1	LogisticRegression	RDKit	F1 Score	0.4403
Primary	ROR	Card	3	LogisticRegression	RDKit	F1 Score	0.36487
Primary	ROR	Card	4	LogisticRegression	RDKit	F1 Score	0.46412
Primary	ROR	Card	2	LogisticRegression	RDKit	F1 Score	0.52169
Secondary	ROR	Card	0	LogisticRegression	RDKit	F1 Score	0.44747
Secondary	ROR	Card	1	LogisticRegression	RDKit	F1 Score	0.43696
Secondary	ROR	Card	3	LogisticRegression	RDKit	F1 Score	0.29032
Secondary	ROR	Card	4	LogisticRegression	RDKit	F1 Score	0.39645
Secondary	ROR	Card	2	LogisticRegression	RDKit	F1 Score	0.39269
Mono	ROR	Card	0	LogisticRegression	RDKit	ROC AUC	0.58448
Mono	ROR	Card	1	LogisticRegression	RDKit	ROC AUC	0.60733
Mono	ROR	Card	3	LogisticRegression	RDKit	ROC AUC	0.47771
Mono	ROR	Card	4	LogisticRegression	RDKit	ROC AUC	0.51099
Mono	ROR	Card	2	LogisticRegression	RDKit	ROC AUC	0.61868
Primary	ROR	Card	0	LogisticRegression	RDKit	ROC AUC	0.54845
Primary	ROR	Card	1	LogisticRegression	RDKit	ROC AUC	0.59286
Primary	ROR	Card	3	LogisticRegression	RDKit	ROC AUC	0.4999
Primary	ROR	Card	4	LogisticRegression	RDKit	ROC AUC	0.52319
Primary	ROR	Card	2	LogisticRegression	RDKit	ROC AUC	0.60624
Secondary	ROR	Card	0	LogisticRegression	RDKit	ROC AUC	0.59089
Secondary	ROR	Card	1	LogisticRegression	RDKit	ROC AUC	0.59519
Secondary	ROR	Card	3	LogisticRegression	RDKit	ROC AUC	0.49965
Secondary	ROR	Card	4	LogisticRegression	RDKit	ROC AUC	0.52295
Secondary	ROR	Card	2	LogisticRegression	RDKit	ROC AUC	0.54431
Mono	ROR	Card	0	LogisticRegression	RDKit	MCC	0.11309
Mono	ROR	Card	1	LogisticRegression	RDKit	MCC	0.15765
Mono	ROR	Card	3	LogisticRegression	RDKit	MCC	0.00378
Mono	ROR	Card	4	LogisticRegression	RDKit	MCC	0.04044
Mono	ROR	Card	2	LogisticRegression	RDKit	MCC	0.21206
Primary	ROR	Card	0	LogisticRegression	RDKit	MCC	0.04084
Primary	ROR	Card	1	LogisticRegression	RDKit	MCC	0.0927
Primary	ROR	Card	3	LogisticRegression	RDKit	MCC	0.0028
Primary	ROR	Card	4	LogisticRegression	RDKit	MCC	0.05267
Primary	ROR	Card	2	LogisticRegression	RDKit	MCC	0.1518
Secondary	ROR	Card	0	LogisticRegression	RDKit	MCC	0.15417
Secondary	ROR	Card	1	LogisticRegression	RDKit	MCC	0.13453
Secondary	ROR	Card	3	LogisticRegression	RDKit	MCC	-0.02475
Secondary	ROR	Card	4	LogisticRegression	RDKit	MCC	0.05488
Secondary	ROR	Card	2	LogisticRegression	RDKit	MCC	0.0092
Mono	ROR	Card	0	LogisticRegression	RDKit	Accuracy	0.53404
Mono	ROR	Card	1	LogisticRegression	RDKit	Accuracy	0.58053
Mono	ROR	Card	3	LogisticRegression	RDKit	Accuracy	0.47913
Mono	ROR	Card	4	LogisticRegression	RDKit	Accuracy	0.51044
Mono	ROR	Card	2	LogisticRegression	RDKit	Accuracy	0.60633
Primary	ROR	Card	0	LogisticRegression	RDKit	Accuracy	0.47746
Primary	ROR	Card	1	LogisticRegression	RDKit	Accuracy	0.54928
Primary	ROR	Card	3	LogisticRegression	RDKit	Accuracy	0.46655
Primary	ROR	Card	4	LogisticRegression	RDKit	Accuracy	0.50921
Primary	ROR	Card	2	LogisticRegression	RDKit	Accuracy	0.55913
Secondary	ROR	Card	0	LogisticRegression	RDKit	Accuracy	0.52098
Secondary	ROR	Card	1	LogisticRegression	RDKit	Accuracy	0.56791
Secondary	ROR	Card	3	LogisticRegression	RDKit	Accuracy	0.44654
Secondary	ROR	Card	4	LogisticRegression	RDKit	Accuracy	0.49877
Secondary	ROR	Card	2	LogisticRegression	RDKit	Accuracy	0.48306
Mono	ROR	Card	0	LogisticRegression	RDKit	Recall	0.44318
Mono	ROR	Card	1	LogisticRegression	RDKit	Recall	0.46144
Mono	ROR	Card	3	LogisticRegression	RDKit	Recall	0.34861
Mono	ROR	Card	4	LogisticRegression	RDKit	Recall	0.43488
Mono	ROR	Card	2	LogisticRegression	RDKit	Recall	0.60402
Primary	ROR	Card	0	LogisticRegression	RDKit	Recall	0.30929
Primary	ROR	Card	1	LogisticRegression	RDKit	Recall	0.36692
Primary	ROR	Card	3	LogisticRegression	RDKit	Recall	0.26693
Primary	ROR	Card	4	LogisticRegression	RDKit	Recall	0.3819
Primary	ROR	Card	2	LogisticRegression	RDKit	Recall	0.43518
Secondary	ROR	Card	0	LogisticRegression	RDKit	Recall	0.32382
