Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Card	0	XGBClassifier	MACCS	Balanced Accuracy	0.55144
Mono	ROR	Card	1	XGBClassifier	MACCS	Balanced Accuracy	0.58986
Mono	ROR	Card	3	XGBClassifier	MACCS	Balanced Accuracy	0.51461
Mono	ROR	Card	4	XGBClassifier	MACCS	Balanced Accuracy	0.53385
Mono	ROR	Card	2	XGBClassifier	MACCS	Balanced Accuracy	0.58878
Primary	ROR	Card	0	XGBClassifier	MACCS	Balanced Accuracy	0.51425
Primary	ROR	Card	1	XGBClassifier	MACCS	Balanced Accuracy	0.54249
Primary	ROR	Card	3	XGBClassifier	MACCS	Balanced Accuracy	0.54601
Primary	ROR	Card	4	XGBClassifier	MACCS	Balanced Accuracy	0.53148
Primary	ROR	Card	2	XGBClassifier	MACCS	Balanced Accuracy	0.58167
Secondary	ROR	Card	0	XGBClassifier	MACCS	Balanced Accuracy	0.56031
Secondary	ROR	Card	1	XGBClassifier	MACCS	Balanced Accuracy	0.54312
Secondary	ROR	Card	3	XGBClassifier	MACCS	Balanced Accuracy	0.45088
Secondary	ROR	Card	4	XGBClassifier	MACCS	Balanced Accuracy	0.5427
Secondary	ROR	Card	2	XGBClassifier	MACCS	Balanced Accuracy	0.53854
Mono	ROR	Card	0	XGBClassifier	MACCS	GeomRS	0.54969
Mono	ROR	Card	1	XGBClassifier	MACCS	GeomRS	0.58442
Mono	ROR	Card	3	XGBClassifier	MACCS	GeomRS	0.48431
Mono	ROR	Card	4	XGBClassifier	MACCS	GeomRS	0.53043
Mono	ROR	Card	2	XGBClassifier	MACCS	GeomRS	0.5885
Primary	ROR	Card	0	XGBClassifier	MACCS	GeomRS	0.48013
Primary	ROR	Card	1	XGBClassifier	MACCS	GeomRS	0.53415
Primary	ROR	Card	3	XGBClassifier	MACCS	GeomRS	0.50469
Primary	ROR	Card	4	XGBClassifier	MACCS	GeomRS	0.51755
Primary	ROR	Card	2	XGBClassifier	MACCS	GeomRS	0.56021
Secondary	ROR	Card	0	XGBClassifier	MACCS	GeomRS	0.55574
Secondary	ROR	Card	1	XGBClassifier	MACCS	GeomRS	0.51745
Secondary	ROR	Card	3	XGBClassifier	MACCS	GeomRS	0.44311
Secondary	ROR	Card	4	XGBClassifier	MACCS	GeomRS	0.53908
Secondary	ROR	Card	2	XGBClassifier	MACCS	GeomRS	0.52347
Mono	ROR	Card	0	XGBClassifier	MACCS	HarmRS	0.54794
Mono	ROR	Card	1	XGBClassifier	MACCS	HarmRS	0.57903
Mono	ROR	Card	3	XGBClassifier	MACCS	HarmRS	0.4558
Mono	ROR	Card	4	XGBClassifier	MACCS	HarmRS	0.52703
Mono	ROR	Card	2	XGBClassifier	MACCS	HarmRS	0.58823
Primary	ROR	Card	0	XGBClassifier	MACCS	HarmRS	0.44827
Primary	ROR	Card	1	XGBClassifier	MACCS	HarmRS	0.52595
Primary	ROR	Card	3	XGBClassifier	MACCS	HarmRS	0.4665
Primary	ROR	Card	4	XGBClassifier	MACCS	HarmRS	0.50398
Primary	ROR	Card	2	XGBClassifier	MACCS	HarmRS	0.53954
Secondary	ROR	Card	0	XGBClassifier	MACCS	HarmRS	0.5512
Secondary	ROR	Card	1	XGBClassifier	MACCS	HarmRS	0.49299
Secondary	ROR	Card	3	XGBClassifier	MACCS	HarmRS	0.43547
Secondary	ROR	Card	4	XGBClassifier	MACCS	HarmRS	0.53548
Secondary	ROR	Card	2	XGBClassifier	MACCS	HarmRS	0.50883
Mono	ROR	Card	0	XGBClassifier	MACCS	F1 Score	0.57076
Mono	ROR	Card	1	XGBClassifier	MACCS	F1 Score	0.5474
Mono	ROR	Card	3	XGBClassifier	MACCS	F1 Score	0.43346
Mono	ROR	Card	4	XGBClassifier	MACCS	F1 Score	0.52703
Mono	ROR	Card	2	XGBClassifier	MACCS	F1 Score	0.60426
Primary	ROR	Card	0	XGBClassifier	MACCS	F1 Score	0.43089
Primary	ROR	Card	1	XGBClassifier	MACCS	F1 Score	0.4878
Primary	ROR	Card	3	XGBClassifier	MACCS	F1 Score	0.4443
Primary	ROR	Card	4	XGBClassifier	MACCS	F1 Score	0.48659
Primary	ROR	Card	2	XGBClassifier	MACCS	F1 Score	0.51934
Secondary	ROR	Card	0	XGBClassifier	MACCS	F1 Score	0.5634
Secondary	ROR	Card	1	XGBClassifier	MACCS	F1 Score	0.44739
Secondary	ROR	Card	3	XGBClassifier	MACCS	F1 Score	0.42907
Secondary	ROR	Card	4	XGBClassifier	MACCS	F1 Score	0.53506
Secondary	ROR	Card	2	XGBClassifier	MACCS	F1 Score	0.48955
Mono	ROR	Card	0	XGBClassifier	MACCS	ROC AUC	0.57807
Mono	ROR	Card	1	XGBClassifier	MACCS	ROC AUC	0.61997
Mono	ROR	Card	3	XGBClassifier	MACCS	ROC AUC	0.54597
Mono	ROR	Card	4	XGBClassifier	MACCS	ROC AUC	0.57206
Mono	ROR	Card	2	XGBClassifier	MACCS	ROC AUC	0.62824
Primary	ROR	Card	0	XGBClassifier	MACCS	ROC AUC	0.53425
Primary	ROR	Card	1	XGBClassifier	MACCS	ROC AUC	0.5699
Primary	ROR	Card	3	XGBClassifier	MACCS	ROC AUC	0.52293
Primary	ROR	Card	4	XGBClassifier	MACCS	ROC AUC	0.52083
Primary	ROR	Card	2	XGBClassifier	MACCS	ROC AUC	0.61291
Secondary	ROR	Card	0	XGBClassifier	MACCS	ROC AUC	0.57968
Secondary	ROR	Card	1	XGBClassifier	MACCS	ROC AUC	0.55926
Secondary	ROR	Card	3	XGBClassifier	MACCS	ROC AUC	0.42398
Secondary	ROR	Card	4	XGBClassifier	MACCS	ROC AUC	0.56135
Secondary	ROR	Card	2	XGBClassifier	MACCS	ROC AUC	0.57545
Mono	ROR	Card	0	XGBClassifier	MACCS	MCC	0.10107
Mono	ROR	Card	1	XGBClassifier	MACCS	MCC	0.18214
Mono	ROR	Card	3	XGBClassifier	MACCS	MCC	0.03078
Mono	ROR	Card	4	XGBClassifier	MACCS	MCC	0.06769
Mono	ROR	Card	2	XGBClassifier	MACCS	MCC	0.1766
Primary	ROR	Card	0	XGBClassifier	MACCS	MCC	0.02997
Primary	ROR	Card	1	XGBClassifier	MACCS	MCC	0.08654
Primary	ROR	Card	3	XGBClassifier	MACCS	MCC	0.09943
Primary	ROR	Card	4	XGBClassifier	MACCS	MCC	0.06434
Primary	ROR	Card	2	XGBClassifier	MACCS	MCC	0.17005
Secondary	ROR	Card	0	XGBClassifier	MACCS	MCC	0.11908
Secondary	ROR	Card	1	XGBClassifier	MACCS	MCC	0.09142
Secondary	ROR	Card	3	XGBClassifier	MACCS	MCC	-0.0988
Secondary	ROR	Card	4	XGBClassifier	MACCS	MCC	0.08542
Secondary	ROR	Card	2	XGBClassifier	MACCS	MCC	0.07905
Mono	ROR	Card	0	XGBClassifier	MACCS	Accuracy	0.54274
Mono	ROR	Card	1	XGBClassifier	MACCS	Accuracy	0.59255
Mono	ROR	Card	3	XGBClassifier	MACCS	Accuracy	0.48885
Mono	ROR	Card	4	XGBClassifier	MACCS	Accuracy	0.52703
Mono	ROR	Card	2	XGBClassifier	MACCS	Accuracy	0.5869
Primary	ROR	Card	0	XGBClassifier	MACCS	Accuracy	0.47777
Primary	ROR	Card	1	XGBClassifier	MACCS	Accuracy	0.54567
Primary	ROR	Card	3	XGBClassifier	MACCS	Accuracy	0.51515
Primary	ROR	Card	4	XGBClassifier	MACCS	Accuracy	0.51781
Primary	ROR	Card	2	XGBClassifier	MACCS	Accuracy	0.56524
Secondary	ROR	Card	0	XGBClassifier	MACCS	Accuracy	0.54616
Secondary	ROR	Card	1	XGBClassifier	MACCS	Accuracy	0.54868
Secondary	ROR	Card	3	XGBClassifier	MACCS	Accuracy	0.43854
Secondary	ROR	Card	4	XGBClassifier	MACCS	Accuracy	0.53563
Secondary	ROR	Card	2	XGBClassifier	MACCS	Accuracy	0.52526
Mono	ROR	Card	0	XGBClassifier	MACCS	Recall	0.50752
Mono	ROR	Card	1	XGBClassifier	MACCS	Recall	0.50995
Mono	ROR	Card	3	XGBClassifier	MACCS	Recall	0.34064
Mono	ROR	Card	4	XGBClassifier	MACCS	Recall	0.47351
Mono	ROR	Card	2	XGBClassifier	MACCS	Recall	0.57085
Primary	ROR	Card	0	XGBClassifier	MACCS	Recall	0.33005
Primary	ROR	Card	1	XGBClassifier	MACCS	Recall	0.44776
Primary	ROR	Card	3	XGBClassifier	MACCS	Recall	0.33765
Primary	ROR	Card	4	XGBClassifier	MACCS	Recall	0.4106
Primary	ROR	Card	2	XGBClassifier	MACCS	Recall	0.42513
Secondary	ROR	Card	0	XGBClassifier	MACCS	Recall	0.48884
Secondary	ROR	Card	1	XGBClassifier	MACCS	Recall	0.37811
Secondary	ROR	Card	3	XGBClassifier	MACCS	Recall	0.36753
Secondary	ROR	Card	4	XGBClassifier	MACCS	Recall	0.48013
Secondary	ROR	Card	2	XGBClassifier	MACCS	Recall	0.41206
Mono	ROR	Card	0	XGBClassifier	MACCS	Specificity	0.59535
Mono	ROR	Card	1	XGBClassifier	MACCS	Specificity	0.66977
Mono	ROR	Card	3	XGBClassifier	MACCS	Specificity	0.68859
Mono	ROR	Card	4	XGBClassifier	MACCS	Specificity	0.59418
Mono	ROR	Card	2	XGBClassifier	MACCS	Specificity	0.6067
Primary	ROR	Card	0	XGBClassifier	MACCS	Specificity	0.69845
Primary	ROR	Card	1	XGBClassifier	MACCS	Specificity	0.63721
Primary	ROR	Card	3	XGBClassifier	MACCS	Specificity	0.75436
Primary	ROR	Card	4	XGBClassifier	MACCS	Specificity	0.65235
Primary	ROR	Card	2	XGBClassifier	MACCS	Specificity	0.73821
Secondary	ROR	Card	0	XGBClassifier	MACCS	Specificity	0.63178
Secondary	ROR	Card	1	XGBClassifier	MACCS	Specificity	0.70814
Secondary	ROR	Card	3	XGBClassifier	MACCS	Specificity	0.53423
Secondary	ROR	Card	4	XGBClassifier	MACCS	Specificity	0.60526
Secondary	ROR	Card	2	XGBClassifier	MACCS	Specificity	0.66501
Mono	ROR	Card	0	XGBClassifier	MACCS	Precision	0.652
Mono	ROR	Card	1	XGBClassifier	MACCS	Precision	0.59078
Mono	ROR	Card	3	XGBClassifier	MACCS	Precision	0.59582
Mono	ROR	Card	4	XGBClassifier	MACCS	Precision	0.59418
Mono	ROR	Card	2	XGBClassifier	MACCS	Precision	0.64181
Primary	ROR	Card	0	XGBClassifier	MACCS	Precision	0.62049
Primary	ROR	Card	1	XGBClassifier	MACCS	Precision	0.53571
Primary	ROR	Card	3	XGBClassifier	MACCS	Precision	0.64943
Primary	ROR	Card	4	XGBClassifier	MACCS	Precision	0.59711
Primary	ROR	Card	2	XGBClassifier	MACCS	Precision	0.66719
Secondary	ROR	Card	0	XGBClassifier	MACCS	Precision	0.66478
Secondary	ROR	Card	1	XGBClassifier	MACCS	Precision	0.54775
Secondary	ROR	Card	3	XGBClassifier	MACCS	Precision	0.51536
Secondary	ROR	Card	4	XGBClassifier	MACCS	Precision	0.60417
Secondary	ROR	Card	2	XGBClassifier	MACCS	Precision	0.60294
Mono	ROR	Card	0	XGBClassifier	MACCS	PRC AUC	0.65883
Mono	ROR	Card	1	XGBClassifier	MACCS	PRC AUC	0.64927
Mono	ROR	Card	3	XGBClassifier	MACCS	PRC AUC	0.63137
Mono	ROR	Card	4	XGBClassifier	MACCS	PRC AUC	0.62923
Mono	ROR	Card	2	XGBClassifier	MACCS	PRC AUC	0.66928
Primary	ROR	Card	0	XGBClassifier	MACCS	PRC AUC	0.61872
Primary	ROR	Card	1	XGBClassifier	MACCS	PRC AUC	0.57606
Primary	ROR	Card	3	XGBClassifier	MACCS	PRC AUC	0.6344
Primary	ROR	Card	4	XGBClassifier	MACCS	PRC AUC	0.58818
Primary	ROR	Card	2	XGBClassifier	MACCS	PRC AUC	0.67604
Secondary	ROR	Card	0	XGBClassifier	MACCS	PRC AUC	0.67531
Secondary	ROR	Card	1	XGBClassifier	MACCS	PRC AUC	0.51989
