Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Cred	0	LogisticRegression	RDKit	Balanced Accuracy	0.556
Mono	IC	Cred	1	LogisticRegression	RDKit	Balanced Accuracy	0.55952
Mono	IC	Cred	3	LogisticRegression	RDKit	Balanced Accuracy	0.49797
Mono	IC	Cred	4	LogisticRegression	RDKit	Balanced Accuracy	0.49125
Mono	IC	Cred	2	LogisticRegression	RDKit	Balanced Accuracy	0.60537
Primary	IC	Cred	0	LogisticRegression	RDKit	Balanced Accuracy	0.52417
Primary	IC	Cred	1	LogisticRegression	RDKit	Balanced Accuracy	0.58645
Primary	IC	Cred	3	LogisticRegression	RDKit	Balanced Accuracy	0.54196
Primary	IC	Cred	4	LogisticRegression	RDKit	Balanced Accuracy	0.48704
Primary	IC	Cred	2	LogisticRegression	RDKit	Balanced Accuracy	0.58164
Secondary	IC	Cred	0	LogisticRegression	RDKit	Balanced Accuracy	0.52232
Secondary	IC	Cred	1	LogisticRegression	RDKit	Balanced Accuracy	0.56284
Secondary	IC	Cred	3	LogisticRegression	RDKit	Balanced Accuracy	0.52572
Secondary	IC	Cred	4	LogisticRegression	RDKit	Balanced Accuracy	0.48706
Secondary	IC	Cred	2	LogisticRegression	RDKit	Balanced Accuracy	0.54989
Mono	IC	Cred	0	LogisticRegression	RDKit	GeomRS	0.55193
Mono	IC	Cred	1	LogisticRegression	RDKit	GeomRS	0.54782
Mono	IC	Cred	3	LogisticRegression	RDKit	GeomRS	0.4935
Mono	IC	Cred	4	LogisticRegression	RDKit	GeomRS	0.45821
Mono	IC	Cred	2	LogisticRegression	RDKit	GeomRS	0.59533
Primary	IC	Cred	0	LogisticRegression	RDKit	GeomRS	0.50843
Primary	IC	Cred	1	LogisticRegression	RDKit	GeomRS	0.55026
Primary	IC	Cred	3	LogisticRegression	RDKit	GeomRS	0.53826
Primary	IC	Cred	4	LogisticRegression	RDKit	GeomRS	0.4512
Primary	IC	Cred	2	LogisticRegression	RDKit	GeomRS	0.57361
Secondary	IC	Cred	0	LogisticRegression	RDKit	GeomRS	0.42811
Secondary	IC	Cred	1	LogisticRegression	RDKit	GeomRS	0.47138
Secondary	IC	Cred	3	LogisticRegression	RDKit	GeomRS	0.47889
Secondary	IC	Cred	4	LogisticRegression	RDKit	GeomRS	0.40377
Secondary	IC	Cred	2	LogisticRegression	RDKit	GeomRS	0.51358
Mono	IC	Cred	0	LogisticRegression	RDKit	HarmRS	0.54789
Mono	IC	Cred	1	LogisticRegression	RDKit	HarmRS	0.53637
Mono	IC	Cred	3	LogisticRegression	RDKit	HarmRS	0.48907
Mono	IC	Cred	4	LogisticRegression	RDKit	HarmRS	0.4274
Mono	IC	Cred	2	LogisticRegression	RDKit	HarmRS	0.58546
Primary	IC	Cred	0	LogisticRegression	RDKit	HarmRS	0.49317
Primary	IC	Cred	1	LogisticRegression	RDKit	HarmRS	0.51631
Primary	IC	Cred	3	LogisticRegression	RDKit	HarmRS	0.53459
Primary	IC	Cred	4	LogisticRegression	RDKit	HarmRS	0.418
Primary	IC	Cred	2	LogisticRegression	RDKit	HarmRS	0.56569
Secondary	IC	Cred	0	LogisticRegression	RDKit	HarmRS	0.35089
Secondary	IC	Cred	1	LogisticRegression	RDKit	HarmRS	0.39479
Secondary	IC	Cred	3	LogisticRegression	RDKit	HarmRS	0.43624
Secondary	IC	Cred	4	LogisticRegression	RDKit	HarmRS	0.33471
Secondary	IC	Cred	2	LogisticRegression	RDKit	HarmRS	0.47966
Mono	IC	Cred	0	LogisticRegression	RDKit	F1 Score	0.66532
Mono	IC	Cred	1	LogisticRegression	RDKit	F1 Score	0.64513
Mono	IC	Cred	3	LogisticRegression	RDKit	F1 Score	0.59883
Mono	IC	Cred	4	LogisticRegression	RDKit	F1 Score	0.64558
Mono	IC	Cred	2	LogisticRegression	RDKit	F1 Score	0.71302
Primary	IC	Cred	0	LogisticRegression	RDKit	F1 Score	0.66943
Primary	IC	Cred	1	LogisticRegression	RDKit	F1 Score	0.70164
Primary	IC	Cred	3	LogisticRegression	RDKit	F1 Score	0.6372
Primary	IC	Cred	4	LogisticRegression	RDKit	F1 Score	0.645
Primary	IC	Cred	2	LogisticRegression	RDKit	F1 Score	0.68664
Secondary	IC	Cred	0	LogisticRegression	RDKit	F1 Score	0.74628
Secondary	IC	Cred	1	LogisticRegression	RDKit	F1 Score	0.71733
Secondary	IC	Cred	3	LogisticRegression	RDKit	F1 Score	0.69637
Secondary	IC	Cred	4	LogisticRegression	RDKit	F1 Score	0.68419
Secondary	IC	Cred	2	LogisticRegression	RDKit	F1 Score	0.70443
Mono	IC	Cred	0	LogisticRegression	RDKit	ROC AUC	0.55528
Mono	IC	Cred	1	LogisticRegression	RDKit	ROC AUC	0.56382
Mono	IC	Cred	3	LogisticRegression	RDKit	ROC AUC	0.45922
Mono	IC	Cred	4	LogisticRegression	RDKit	ROC AUC	0.48788
Mono	IC	Cred	2	LogisticRegression	RDKit	ROC AUC	0.62292
Primary	IC	Cred	0	LogisticRegression	RDKit	ROC AUC	0.53374
Primary	IC	Cred	1	LogisticRegression	RDKit	ROC AUC	0.60257
Primary	IC	Cred	3	LogisticRegression	RDKit	ROC AUC	0.51437
Primary	IC	Cred	4	LogisticRegression	RDKit	ROC AUC	0.50457
Primary	IC	Cred	2	LogisticRegression	RDKit	ROC AUC	0.61939
Secondary	IC	Cred	0	LogisticRegression	RDKit	ROC AUC	0.56134
Secondary	IC	Cred	1	LogisticRegression	RDKit	ROC AUC	0.62328
Secondary	IC	Cred	3	LogisticRegression	RDKit	ROC AUC	0.53455
Secondary	IC	Cred	4	LogisticRegression	RDKit	ROC AUC	0.5181
Secondary	IC	Cred	2	LogisticRegression	RDKit	ROC AUC	0.57518
Mono	IC	Cred	0	LogisticRegression	RDKit	MCC	0.10682
Mono	IC	Cred	1	LogisticRegression	RDKit	MCC	0.12148
Mono	IC	Cred	3	LogisticRegression	RDKit	MCC	-0.00393
Mono	IC	Cred	4	LogisticRegression	RDKit	MCC	-0.01802
Mono	IC	Cred	2	LogisticRegression	RDKit	MCC	0.2112
Primary	IC	Cred	0	LogisticRegression	RDKit	MCC	0.04718
Primary	IC	Cred	1	LogisticRegression	RDKit	MCC	0.18955
Primary	IC	Cred	3	LogisticRegression	RDKit	MCC	0.08153
Primary	IC	Cred	4	LogisticRegression	RDKit	MCC	-0.02682
Primary	IC	Cred	2	LogisticRegression	RDKit	MCC	0.16186
Secondary	IC	Cred	0	LogisticRegression	RDKit	MCC	0.05311
