Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.55378
Mono	PRR	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.52613
Mono	PRR	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.52611
Mono	PRR	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.52616
Mono	PRR	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.55089
Primary	PRR	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.5575
Primary	PRR	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.60085
Primary	PRR	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.53666
Primary	PRR	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.54368
Primary	PRR	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.57995
Secondary	PRR	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.55751
Secondary	PRR	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.60111
Secondary	PRR	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.48051
Secondary	PRR	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.554
Secondary	PRR	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.52624
Mono	PRR	Cred	0	XGBClassifier	CDDD	GeomRS	0.55217
Mono	PRR	Cred	1	XGBClassifier	CDDD	GeomRS	0.52599
Mono	PRR	Cred	3	XGBClassifier	CDDD	GeomRS	0.51689
Mono	PRR	Cred	4	XGBClassifier	CDDD	GeomRS	0.52495
Mono	PRR	Cred	2	XGBClassifier	CDDD	GeomRS	0.55062
Primary	PRR	Cred	0	XGBClassifier	CDDD	GeomRS	0.55612
Primary	PRR	Cred	1	XGBClassifier	CDDD	GeomRS	0.60084
Primary	PRR	Cred	3	XGBClassifier	CDDD	GeomRS	0.53528
Primary	PRR	Cred	4	XGBClassifier	CDDD	GeomRS	0.54199
Primary	PRR	Cred	2	XGBClassifier	CDDD	GeomRS	0.57995
Secondary	PRR	Cred	0	XGBClassifier	CDDD	GeomRS	0.54186
Secondary	PRR	Cred	1	XGBClassifier	CDDD	GeomRS	0.59749
Secondary	PRR	Cred	3	XGBClassifier	CDDD	GeomRS	0.47708
Secondary	PRR	Cred	4	XGBClassifier	CDDD	GeomRS	0.52837
Secondary	PRR	Cred	2	XGBClassifier	CDDD	GeomRS	0.52314
Mono	PRR	Cred	0	XGBClassifier	CDDD	HarmRS	0.55057
Mono	PRR	Cred	1	XGBClassifier	CDDD	HarmRS	0.52586
Mono	PRR	Cred	3	XGBClassifier	CDDD	HarmRS	0.50783
Mono	PRR	Cred	4	XGBClassifier	CDDD	HarmRS	0.52373
Mono	PRR	Cred	2	XGBClassifier	CDDD	HarmRS	0.55035
Primary	PRR	Cred	0	XGBClassifier	CDDD	HarmRS	0.55476
