Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	PRR	Cred	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.53264
Mono	PRR	Cred	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.57
Mono	PRR	Cred	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51627
Mono	PRR	Cred	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.49796
Mono	PRR	Cred	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.55973
Primary	PRR	Cred	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.55062
Primary	PRR	Cred	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.62088
Primary	PRR	Cred	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.50538
Primary	PRR	Cred	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51505
Primary	PRR	Cred	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.60028
Secondary	PRR	Cred	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.5331
Secondary	PRR	Cred	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.5756
Secondary	PRR	Cred	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.48981
Secondary	PRR	Cred	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51327
Secondary	PRR	Cred	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52952
Mono	PRR	Cred	0	XGBClassifier	ChemBERTa	GeomRS	0.52909
Mono	PRR	Cred	1	XGBClassifier	ChemBERTa	GeomRS	0.56405
Mono	PRR	Cred	3	XGBClassifier	ChemBERTa	GeomRS	0.50975
Mono	PRR	Cred	4	XGBClassifier	ChemBERTa	GeomRS	0.49779
Mono	PRR	Cred	2	XGBClassifier	ChemBERTa	GeomRS	0.55894
Primary	PRR	Cred	0	XGBClassifier	ChemBERTa	GeomRS	0.55057
Primary	PRR	Cred	1	XGBClassifier	ChemBERTa	GeomRS	0.62083
Primary	PRR	Cred	3	XGBClassifier	ChemBERTa	GeomRS	0.50472
Primary	PRR	Cred	4	XGBClassifier	ChemBERTa	GeomRS	0.51438
Primary	PRR	Cred	2	XGBClassifier	ChemBERTa	GeomRS	0.59367
Secondary	PRR	Cred	0	XGBClassifier	ChemBERTa	GeomRS	0.51797
Secondary	PRR	Cred	1	XGBClassifier	ChemBERTa	GeomRS	0.57004
Secondary	PRR	Cred	3	XGBClassifier	ChemBERTa	GeomRS	0.4717
Secondary	PRR	Cred	4	XGBClassifier	ChemBERTa	GeomRS	0.49848
