Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Cred	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.48915
Mono	ROR	Cred	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.55638
Mono	ROR	Cred	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.52239
Mono	ROR	Cred	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.5454
Mono	ROR	Cred	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.56066
Primary	ROR	Cred	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.46803
Primary	ROR	Cred	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.58987
Primary	ROR	Cred	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.53024
Primary	ROR	Cred	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.53586
Primary	ROR	Cred	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.57653
Secondary	ROR	Cred	0	LogisticRegression	ChemBERTa	Balanced Accuracy	0.53447
Secondary	ROR	Cred	1	LogisticRegression	ChemBERTa	Balanced Accuracy	0.56481
Secondary	ROR	Cred	3	LogisticRegression	ChemBERTa	Balanced Accuracy	0.50666
Secondary	ROR	Cred	4	LogisticRegression	ChemBERTa	Balanced Accuracy	0.57094
Secondary	ROR	Cred	2	LogisticRegression	ChemBERTa	Balanced Accuracy	0.51404
Mono	ROR	Cred	0	LogisticRegression	ChemBERTa	GeomRS	0.48799
Mono	ROR	Cred	1	LogisticRegression	ChemBERTa	GeomRS	0.55534
Mono	ROR	Cred	3	LogisticRegression	ChemBERTa	GeomRS	0.519
Mono	ROR	Cred	4	LogisticRegression	ChemBERTa	GeomRS	0.52695
Mono	ROR	Cred	2	LogisticRegression	ChemBERTa	GeomRS	0.55911
Primary	ROR	Cred	0	LogisticRegression	ChemBERTa	GeomRS	0.46803
Primary	ROR	Cred	1	LogisticRegression	ChemBERTa	GeomRS	0.58727
Primary	ROR	Cred	3	LogisticRegression	ChemBERTa	GeomRS	0.51718
Primary	ROR	Cred	4	LogisticRegression	ChemBERTa	GeomRS	0.51302
Primary	ROR	Cred	2	LogisticRegression	ChemBERTa	GeomRS	0.56874
Secondary	ROR	Cred	0	LogisticRegression	ChemBERTa	GeomRS	0.51907
Secondary	ROR	Cred	1	LogisticRegression	ChemBERTa	GeomRS	0.54966
Secondary	ROR	Cred	3	LogisticRegression	ChemBERTa	GeomRS	0.48009
Secondary	ROR	Cred	4	LogisticRegression	ChemBERTa	GeomRS	0.56294
Secondary	ROR	Cred	2	LogisticRegression	ChemBERTa	GeomRS	0.5135
Mono	ROR	Cred	0	LogisticRegression	ChemBERTa	HarmRS	0.48683
Mono	ROR	Cred	1	LogisticRegression	ChemBERTa	HarmRS	0.5543
Mono	ROR	Cred	3	LogisticRegression	ChemBERTa	HarmRS	0.51563
Mono	ROR	Cred	4	LogisticRegression	ChemBERTa	HarmRS	0.50912
Mono	ROR	Cred	2	LogisticRegression	ChemBERTa	HarmRS	0.55756
Primary	ROR	Cred	0	LogisticRegression	ChemBERTa	HarmRS	0.46803
Primary	ROR	Cred	1	LogisticRegression	ChemBERTa	HarmRS	0.58468
Primary	ROR	Cred	3	LogisticRegression	ChemBERTa	HarmRS	0.50443
Primary	ROR	Cred	4	LogisticRegression	ChemBERTa	HarmRS	0.49115
Primary	ROR	Cred	2	LogisticRegression	ChemBERTa	HarmRS	0.56105
Secondary	ROR	Cred	0	LogisticRegression	ChemBERTa	HarmRS	0.50412
Secondary	ROR	Cred	1	LogisticRegression	ChemBERTa	HarmRS	0.53491
Secondary	ROR	Cred	3	LogisticRegression	ChemBERTa	HarmRS	0.45492
Secondary	ROR	Cred	4	LogisticRegression	ChemBERTa	HarmRS	0.55506
Secondary	ROR	Cred	2	LogisticRegression	ChemBERTa	HarmRS	0.51296
Mono	ROR	Cred	0	LogisticRegression	ChemBERTa	F1 Score	0.51119
Mono	ROR	Cred	1	LogisticRegression	ChemBERTa	F1 Score	0.56167
Mono	ROR	Cred	3	LogisticRegression	ChemBERTa	F1 Score	0.51792
Mono	ROR	Cred	4	LogisticRegression	ChemBERTa	F1 Score	0.48762
Mono	ROR	Cred	2	LogisticRegression	ChemBERTa	F1 Score	0.56325
Primary	ROR	Cred	0	LogisticRegression	ChemBERTa	F1 Score	0.50995
Primary	ROR	Cred	1	LogisticRegression	ChemBERTa	F1 Score	0.55833
Primary	ROR	Cred	3	LogisticRegression	ChemBERTa	F1 Score	0.48985
Primary	ROR	Cred	4	LogisticRegression	ChemBERTa	F1 Score	0.46682
Primary	ROR	Cred	2	LogisticRegression	ChemBERTa	F1 Score	0.55093
Secondary	ROR	Cred	0	LogisticRegression	ChemBERTa	F1 Score	0.6402
Secondary	ROR	Cred	1	LogisticRegression	ChemBERTa	F1 Score	0.49358
Secondary	ROR	Cred	3	LogisticRegression	ChemBERTa	F1 Score	0.43034
Secondary	ROR	Cred	4	LogisticRegression	ChemBERTa	F1 Score	0.54455
Secondary	ROR	Cred	2	LogisticRegression	ChemBERTa	F1 Score	0.52542
Mono	ROR	Cred	0	LogisticRegression	ChemBERTa	ROC AUC	0.5141
Mono	ROR	Cred	1	LogisticRegression	ChemBERTa	ROC AUC	0.56824
Mono	ROR	Cred	3	LogisticRegression	ChemBERTa	ROC AUC	0.5306
Mono	ROR	Cred	4	LogisticRegression	ChemBERTa	ROC AUC	0.53877
Mono	ROR	Cred	2	LogisticRegression	ChemBERTa	ROC AUC	0.60864
Primary	ROR	Cred	0	LogisticRegression	ChemBERTa	ROC AUC	0.46911
Primary	ROR	Cred	1	LogisticRegression	ChemBERTa	ROC AUC	0.62004
Primary	ROR	Cred	3	LogisticRegression	ChemBERTa	ROC AUC	0.51997
Primary	ROR	Cred	4	LogisticRegression	ChemBERTa	ROC AUC	0.52512
Primary	ROR	Cred	2	LogisticRegression	ChemBERTa	ROC AUC	0.54735
Secondary	ROR	Cred	0	LogisticRegression	ChemBERTa	ROC AUC	0.53498
Secondary	ROR	Cred	1	LogisticRegression	ChemBERTa	ROC AUC	0.60186
Secondary	ROR	Cred	3	LogisticRegression	ChemBERTa	ROC AUC	0.49123
Secondary	ROR	Cred	4	LogisticRegression	ChemBERTa	ROC AUC	0.57008
Secondary	ROR	Cred	2	LogisticRegression	ChemBERTa	ROC AUC	0.50694
Mono	ROR	Cred	0	LogisticRegression	ChemBERTa	MCC	-0.02137
Mono	ROR	Cred	1	LogisticRegression	ChemBERTa	MCC	0.11292
Mono	ROR	Cred	3	LogisticRegression	ChemBERTa	MCC	0.04471
Mono	ROR	Cred	4	LogisticRegression	ChemBERTa	MCC	0.09385
Mono	ROR	Cred	2	LogisticRegression	ChemBERTa	MCC	0.12099
Primary	ROR	Cred	0	LogisticRegression	ChemBERTa	MCC	-0.06281
Primary	ROR	Cred	1	LogisticRegression	ChemBERTa	MCC	0.18087
Primary	ROR	Cred	3	LogisticRegression	ChemBERTa	MCC	0.06161
Primary	ROR	Cred	4	LogisticRegression	ChemBERTa	MCC	0.07485
Primary	ROR	Cred	2	LogisticRegression	ChemBERTa	MCC	0.15459
Secondary	ROR	Cred	0	LogisticRegression	ChemBERTa	MCC	0.07029
Secondary	ROR	Cred	1	LogisticRegression	ChemBERTa	MCC	0.13433
Secondary	ROR	Cred	3	LogisticRegression	ChemBERTa	MCC	0.01395
Secondary	ROR	Cred	4	LogisticRegression	ChemBERTa	MCC	0.14335
Secondary	ROR	Cred	2	LogisticRegression	ChemBERTa	MCC	0.02795
Mono	ROR	Cred	0	LogisticRegression	ChemBERTa	Accuracy	0.48284
Mono	ROR	Cred	1	LogisticRegression	ChemBERTa	Accuracy	0.5552
Mono	ROR	Cred	3	LogisticRegression	ChemBERTa	Accuracy	0.51493
Mono	ROR	Cred	4	LogisticRegression	ChemBERTa	Accuracy	0.53091
Mono	ROR	Cred	2	LogisticRegression	ChemBERTa	Accuracy	0.5564
Primary	ROR	Cred	0	LogisticRegression	ChemBERTa	Accuracy	0.46774
Primary	ROR	Cred	1	LogisticRegression	ChemBERTa	Accuracy	0.59178
Primary	ROR	Cred	3	LogisticRegression	ChemBERTa	Accuracy	0.51555
Primary	ROR	Cred	4	LogisticRegression	ChemBERTa	Accuracy	0.51992
Primary	ROR	Cred	2	LogisticRegression	ChemBERTa	Accuracy	0.56686
Secondary	ROR	Cred	0	LogisticRegression	ChemBERTa	Accuracy	0.55834
Secondary	ROR	Cred	1	LogisticRegression	ChemBERTa	Accuracy	0.56932
