Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Cred	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.52317
Mono	ROR	Cred	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.53803
Mono	ROR	Cred	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.50275
Mono	ROR	Cred	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.49155
Mono	ROR	Cred	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.54418
Primary	ROR	Cred	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.51839
Primary	ROR	Cred	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.57278
Primary	ROR	Cred	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.51075
Primary	ROR	Cred	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.52073
Primary	ROR	Cred	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.54971
Secondary	ROR	Cred	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.51515
Secondary	ROR	Cred	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.56932
Secondary	ROR	Cred	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.5256
Secondary	ROR	Cred	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.6336
Secondary	ROR	Cred	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.5349
Mono	ROR	Cred	0	RandomForestClassifier	Morgan	GeomRS	0.46249
Mono	ROR	Cred	1	RandomForestClassifier	Morgan	GeomRS	0.4999
Mono	ROR	Cred	3	RandomForestClassifier	Morgan	GeomRS	0.44715
Mono	ROR	Cred	4	RandomForestClassifier	Morgan	GeomRS	0.4438
Mono	ROR	Cred	2	RandomForestClassifier	Morgan	GeomRS	0.5345
Primary	ROR	Cred	0	RandomForestClassifier	Morgan	GeomRS	0.41088
Primary	ROR	Cred	1	RandomForestClassifier	Morgan	GeomRS	0.53087
Primary	ROR	Cred	3	RandomForestClassifier	Morgan	GeomRS	0.43432
Primary	ROR	Cred	4	RandomForestClassifier	Morgan	GeomRS	0.44652
Primary	ROR	Cred	2	RandomForestClassifier	Morgan	GeomRS	0.52704
Secondary	ROR	Cred	0	RandomForestClassifier	Morgan	GeomRS	0.45179
Secondary	ROR	Cred	1	RandomForestClassifier	Morgan	GeomRS	0.52415
Secondary	ROR	Cred	3	RandomForestClassifier	Morgan	GeomRS	0.45206
Secondary	ROR	Cred	4	RandomForestClassifier	Morgan	GeomRS	0.59033
Secondary	ROR	Cred	2	RandomForestClassifier	Morgan	GeomRS	0.525
Mono	ROR	Cred	0	RandomForestClassifier	Morgan	HarmRS	0.40885
Mono	ROR	Cred	1	RandomForestClassifier	Morgan	HarmRS	0.46448
Mono	ROR	Cred	3	RandomForestClassifier	Morgan	HarmRS	0.39769
Mono	ROR	Cred	4	RandomForestClassifier	Morgan	HarmRS	0.40068
Mono	ROR	Cred	2	RandomForestClassifier	Morgan	HarmRS	0.52499
Primary	ROR	Cred	0	RandomForestClassifier	Morgan	HarmRS	0.32567
Primary	ROR	Cred	1	RandomForestClassifier	Morgan	HarmRS	0.49203
Primary	ROR	Cred	3	RandomForestClassifier	Morgan	HarmRS	0.36933
Primary	ROR	Cred	4	RandomForestClassifier	Morgan	HarmRS	0.38288
Primary	ROR	Cred	2	RandomForestClassifier	Morgan	HarmRS	0.5053
Secondary	ROR	Cred	0	RandomForestClassifier	Morgan	HarmRS	0.39622
Secondary	ROR	Cred	1	RandomForestClassifier	Morgan	HarmRS	0.48256
Secondary	ROR	Cred	3	RandomForestClassifier	Morgan	HarmRS	0.3888
Secondary	ROR	Cred	4	RandomForestClassifier	Morgan	HarmRS	0.55003
