Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.50927
Mono	IC	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.54108
Mono	IC	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.51829
Mono	IC	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.51009
Mono	IC	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.52451
Primary	IC	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.50456
Primary	IC	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.58182
Primary	IC	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.55163
Primary	IC	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.51436
Primary	IC	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.54117
Secondary	IC	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.55551
Secondary	IC	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.64064
Secondary	IC	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.53822
Secondary	IC	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.49553
Secondary	IC	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.51921
Mono	IC	Cvas	0	LogisticRegression	CDDD	GeomRS	0.50878
Mono	IC	Cvas	1	LogisticRegression	CDDD	GeomRS	0.53565
Mono	IC	Cvas	3	LogisticRegression	CDDD	GeomRS	0.51287
Mono	IC	Cvas	4	LogisticRegression	CDDD	GeomRS	0.51
Mono	IC	Cvas	2	LogisticRegression	CDDD	GeomRS	0.5215
Primary	IC	Cvas	0	LogisticRegression	CDDD	GeomRS	0.50388
Primary	IC	Cvas	1	LogisticRegression	CDDD	GeomRS	0.57978
Primary	IC	Cvas	3	LogisticRegression	CDDD	GeomRS	0.54324
Primary	IC	Cvas	4	LogisticRegression	CDDD	GeomRS	0.51071
Primary	IC	Cvas	2	LogisticRegression	CDDD	GeomRS	0.53468
Secondary	IC	Cvas	0	LogisticRegression	CDDD	GeomRS	0.54791
Secondary	IC	Cvas	1	LogisticRegression	CDDD	GeomRS	0.62627
Secondary	IC	Cvas	3	LogisticRegression	CDDD	GeomRS	0.52983
Secondary	IC	Cvas	4	LogisticRegression	CDDD	GeomRS	0.45933
Secondary	IC	Cvas	2	LogisticRegression	CDDD	GeomRS	0.50212
Mono	IC	Cvas	0	LogisticRegression	CDDD	HarmRS	0.5083
Mono	IC	Cvas	1	LogisticRegression	CDDD	HarmRS	0.53028
Mono	IC	Cvas	3	LogisticRegression	CDDD	HarmRS	0.50751
Mono	IC	Cvas	4	LogisticRegression	CDDD	HarmRS	0.50992
Mono	IC	Cvas	2	LogisticRegression	CDDD	HarmRS	0.5185
Primary	IC	Cvas	0	LogisticRegression	CDDD	HarmRS	0.5032
Primary	IC	Cvas	1	LogisticRegression	CDDD	HarmRS	0.57774
Primary	IC	Cvas	3	LogisticRegression	CDDD	HarmRS	0.53497
Primary	IC	Cvas	4	LogisticRegression	CDDD	HarmRS	0.50708
Primary	IC	Cvas	2	LogisticRegression	CDDD	HarmRS	0.52826
Secondary	IC	Cvas	0	LogisticRegression	CDDD	HarmRS	0.54041
Secondary	IC	Cvas	1	LogisticRegression	CDDD	HarmRS	0.61222
Secondary	IC	Cvas	3	LogisticRegression	CDDD	HarmRS	0.52157
Secondary	IC	Cvas	4	LogisticRegression	CDDD	HarmRS	0.42578
Secondary	IC	Cvas	2	LogisticRegression	CDDD	HarmRS	0.4856
Mono	IC	Cvas	0	LogisticRegression	CDDD	F1 Score	0.5698
Mono	IC	Cvas	1	LogisticRegression	CDDD	F1 Score	0.62519
Mono	IC	Cvas	3	LogisticRegression	CDDD	F1 Score	0.64046
Mono	IC	Cvas	4	LogisticRegression	CDDD	F1 Score	0.55129
Mono	IC	Cvas	2	LogisticRegression	CDDD	F1 Score	0.62136
Primary	IC	Cvas	0	LogisticRegression	CDDD	F1 Score	0.56241
Primary	IC	Cvas	1	LogisticRegression	CDDD	F1 Score	0.64912
Primary	IC	Cvas	3	LogisticRegression	CDDD	F1 Score	0.68132
Primary	IC	Cvas	4	LogisticRegression	CDDD	F1 Score	0.59482
Primary	IC	Cvas	2	LogisticRegression	CDDD	F1 Score	0.65113
Secondary	IC	Cvas	0	LogisticRegression	CDDD	F1 Score	0.68057
Secondary	IC	Cvas	1	LogisticRegression	CDDD	F1 Score	0.7365
Secondary	IC	Cvas	3	LogisticRegression	CDDD	F1 Score	0.66912
Secondary	IC	Cvas	4	LogisticRegression	CDDD	F1 Score	0.63822
Secondary	IC	Cvas	2	LogisticRegression	CDDD	F1 Score	0.65665
Mono	IC	Cvas	0	LogisticRegression	CDDD	ROC AUC	0.50067
Mono	IC	Cvas	1	LogisticRegression	CDDD	ROC AUC	0.55101
Mono	IC	Cvas	3	LogisticRegression	CDDD	ROC AUC	0.52153
Mono	IC	Cvas	4	LogisticRegression	CDDD	ROC AUC	0.5123
Mono	IC	Cvas	2	LogisticRegression	CDDD	ROC AUC	0.51385
Primary	IC	Cvas	0	LogisticRegression	CDDD	ROC AUC	0.50165
Primary	IC	Cvas	1	LogisticRegression	CDDD	ROC AUC	0.58801
Primary	IC	Cvas	3	LogisticRegression	CDDD	ROC AUC	0.59049
Primary	IC	Cvas	4	LogisticRegression	CDDD	ROC AUC	0.47668
Primary	IC	Cvas	2	LogisticRegression	CDDD	ROC AUC	0.5735
Secondary	IC	Cvas	0	LogisticRegression	CDDD	ROC AUC	0.57381
Secondary	IC	Cvas	1	LogisticRegression	CDDD	ROC AUC	0.66614
Secondary	IC	Cvas	3	LogisticRegression	CDDD	ROC AUC	0.56779
Secondary	IC	Cvas	4	LogisticRegression	CDDD	ROC AUC	0.5165
Secondary	IC	Cvas	2	LogisticRegression	CDDD	ROC AUC	0.55261
Mono	IC	Cvas	0	LogisticRegression	CDDD	MCC	0.01733
Mono	IC	Cvas	1	LogisticRegression	CDDD	MCC	0.08171
Mono	IC	Cvas	3	LogisticRegression	CDDD	MCC	0.03451
Mono	IC	Cvas	4	LogisticRegression	CDDD	MCC	0.01974
Mono	IC	Cvas	2	LogisticRegression	CDDD	MCC	0.0472
Primary	IC	Cvas	0	LogisticRegression	CDDD	MCC	0.00853
Primary	IC	Cvas	1	LogisticRegression	CDDD	MCC	0.16175
Primary	IC	Cvas	3	LogisticRegression	CDDD	MCC	0.09876
Primary	IC	Cvas	4	LogisticRegression	CDDD	MCC	0.02833
Primary	IC	Cvas	2	LogisticRegression	CDDD	MCC	0.08012
Secondary	IC	Cvas	0	LogisticRegression	CDDD	MCC	0.10641
Secondary	IC	Cvas	1	LogisticRegression	CDDD	MCC	0.29158
Secondary	IC	Cvas	3	LogisticRegression	CDDD	MCC	0.07292
Secondary	IC	Cvas	4	LogisticRegression	CDDD	MCC	-0.00942
Secondary	IC	Cvas	2	LogisticRegression	CDDD	MCC	0.03817
Mono	IC	Cvas	0	LogisticRegression	CDDD	Accuracy	0.50134
Mono	IC	Cvas	1	LogisticRegression	CDDD	Accuracy	0.55627
Mono	IC	Cvas	3	LogisticRegression	CDDD	Accuracy	0.54557
Mono	IC	Cvas	4	LogisticRegression	CDDD	Accuracy	0.50817
Mono	IC	Cvas	2	LogisticRegression	CDDD	Accuracy	0.54118
Primary	IC	Cvas	0	LogisticRegression	CDDD	Accuracy	0.49523
