Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Cvas	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.53736
Mono	IC	Cvas	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.54505
Mono	IC	Cvas	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.50354
Mono	IC	Cvas	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51313
Mono	IC	Cvas	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51247
Primary	IC	Cvas	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.54404
Primary	IC	Cvas	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.56252
Primary	IC	Cvas	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.48528
Primary	IC	Cvas	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.54002
Primary	IC	Cvas	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.54211
Secondary	IC	Cvas	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.53207
Secondary	IC	Cvas	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.54926
Secondary	IC	Cvas	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.47543
Secondary	IC	Cvas	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.50626
Secondary	IC	Cvas	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.4973
Mono	IC	Cvas	0	XGBClassifier	ChemBERTa	GeomRS	0.50695
Mono	IC	Cvas	1	XGBClassifier	ChemBERTa	GeomRS	0.51416
Mono	IC	Cvas	3	XGBClassifier	ChemBERTa	GeomRS	0.44362
Mono	IC	Cvas	4	XGBClassifier	ChemBERTa	GeomRS	0.43578
Mono	IC	Cvas	2	XGBClassifier	ChemBERTa	GeomRS	0.4797
Primary	IC	Cvas	0	XGBClassifier	ChemBERTa	GeomRS	0.50062
Primary	IC	Cvas	1	XGBClassifier	ChemBERTa	GeomRS	0.54565
Primary	IC	Cvas	3	XGBClassifier	ChemBERTa	GeomRS	0.44652
Primary	IC	Cvas	4	XGBClassifier	ChemBERTa	GeomRS	0.49838
Primary	IC	Cvas	2	XGBClassifier	ChemBERTa	GeomRS	0.52449
Secondary	IC	Cvas	0	XGBClassifier	ChemBERTa	GeomRS	0.43163
Secondary	IC	Cvas	1	XGBClassifier	ChemBERTa	GeomRS	0.51463
Secondary	IC	Cvas	3	XGBClassifier	ChemBERTa	GeomRS	0.37643
Secondary	IC	Cvas	4	XGBClassifier	ChemBERTa	GeomRS	0.44075
Secondary	IC	Cvas	2	XGBClassifier	ChemBERTa	GeomRS	0.46285
Mono	IC	Cvas	0	XGBClassifier	ChemBERTa	HarmRS	0.47826
Mono	IC	Cvas	1	XGBClassifier	ChemBERTa	HarmRS	0.48502
Mono	IC	Cvas	3	XGBClassifier	ChemBERTa	HarmRS	0.39083
Mono	IC	Cvas	4	XGBClassifier	ChemBERTa	HarmRS	0.37008
Mono	IC	Cvas	2	XGBClassifier	ChemBERTa	HarmRS	0.44901
Primary	IC	Cvas	0	XGBClassifier	ChemBERTa	HarmRS	0.46066
Primary	IC	Cvas	1	XGBClassifier	ChemBERTa	HarmRS	0.52929
Primary	IC	Cvas	3	XGBClassifier	ChemBERTa	HarmRS	0.41086
Primary	IC	Cvas	4	XGBClassifier	ChemBERTa	HarmRS	0.45995
Primary	IC	Cvas	2	XGBClassifier	ChemBERTa	HarmRS	0.50744
Secondary	IC	Cvas	0	XGBClassifier	ChemBERTa	HarmRS	0.35016
Secondary	IC	Cvas	1	XGBClassifier	ChemBERTa	HarmRS	0.48218
Secondary	IC	Cvas	3	XGBClassifier	ChemBERTa	HarmRS	0.29805
Secondary	IC	Cvas	4	XGBClassifier	ChemBERTa	HarmRS	0.38371
Secondary	IC	Cvas	2	XGBClassifier	ChemBERTa	HarmRS	0.43078
Mono	IC	Cvas	0	XGBClassifier	ChemBERTa	F1 Score	0.70855
Mono	IC	Cvas	1	XGBClassifier	ChemBERTa	F1 Score	0.67495
Mono	IC	Cvas	3	XGBClassifier	ChemBERTa	F1 Score	0.71203
Mono	IC	Cvas	4	XGBClassifier	ChemBERTa	F1 Score	0.68705
Mono	IC	Cvas	2	XGBClassifier	ChemBERTa	F1 Score	0.67424
Primary	IC	Cvas	0	XGBClassifier	ChemBERTa	F1 Score	0.7298
Primary	IC	Cvas	1	XGBClassifier	ChemBERTa	F1 Score	0.67131
Primary	IC	Cvas	3	XGBClassifier	ChemBERTa	F1 Score	0.67425
Primary	IC	Cvas	4	XGBClassifier	ChemBERTa	F1 Score	0.68393
Primary	IC	Cvas	2	XGBClassifier	ChemBERTa	F1 Score	0.67854
Secondary	IC	Cvas	0	XGBClassifier	ChemBERTa	F1 Score	0.76201
Secondary	IC	Cvas	1	XGBClassifier	ChemBERTa	F1 Score	0.68284
Secondary	IC	Cvas	3	XGBClassifier	ChemBERTa	F1 Score	0.71407
Secondary	IC	Cvas	4	XGBClassifier	ChemBERTa	F1 Score	0.67325
Secondary	IC	Cvas	2	XGBClassifier	ChemBERTa	F1 Score	0.66245
Mono	IC	Cvas	0	XGBClassifier	ChemBERTa	ROC AUC	0.5643
Mono	IC	Cvas	1	XGBClassifier	ChemBERTa	ROC AUC	0.5839
Mono	IC	Cvas	3	XGBClassifier	ChemBERTa	ROC AUC	0.48801
Mono	IC	Cvas	4	XGBClassifier	ChemBERTa	ROC AUC	0.52668
Mono	IC	Cvas	2	XGBClassifier	ChemBERTa	ROC AUC	0.53269
Primary	IC	Cvas	0	XGBClassifier	ChemBERTa	ROC AUC	0.58838
Primary	IC	Cvas	1	XGBClassifier	ChemBERTa	ROC AUC	0.60491
Primary	IC	Cvas	3	XGBClassifier	ChemBERTa	ROC AUC	0.52233
Primary	IC	Cvas	4	XGBClassifier	ChemBERTa	ROC AUC	0.56906
Primary	IC	Cvas	2	XGBClassifier	ChemBERTa	ROC AUC	0.58245
