Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Cvas	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.56335
Mono	ROR	Cvas	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.51984
Mono	ROR	Cvas	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.5012
Mono	ROR	Cvas	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.56006
Mono	ROR	Cvas	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.5476
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.55035
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.51088
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.54825
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.52988
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.52068
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	Balanced Accuracy	0.56203
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	Balanced Accuracy	0.51563
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	Balanced Accuracy	0.4987
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	Balanced Accuracy	0.56061
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	Balanced Accuracy	0.56425
Mono	ROR	Cvas	0	RandomForestClassifier	CDDD	GeomRS	0.55487
Mono	ROR	Cvas	3	RandomForestClassifier	CDDD	GeomRS	0.51647
Mono	ROR	Cvas	2	RandomForestClassifier	CDDD	GeomRS	0.49292
Mono	ROR	Cvas	1	RandomForestClassifier	CDDD	GeomRS	0.55021
Mono	ROR	Cvas	4	RandomForestClassifier	CDDD	GeomRS	0.53165
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	GeomRS	0.55034
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	GeomRS	0.50582
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	GeomRS	0.53276
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	GeomRS	0.50859
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	GeomRS	0.51598
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	GeomRS	0.54366
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	GeomRS	0.51511
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	GeomRS	0.48775
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	GeomRS	0.53828
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	GeomRS	0.56332
Mono	ROR	Cvas	0	RandomForestClassifier	CDDD	HarmRS	0.54652
Mono	ROR	Cvas	3	RandomForestClassifier	CDDD	HarmRS	0.51312
Mono	ROR	Cvas	2	RandomForestClassifier	CDDD	HarmRS	0.48477
Mono	ROR	Cvas	1	RandomForestClassifier	CDDD	HarmRS	0.54052
Mono	ROR	Cvas	4	RandomForestClassifier	CDDD	HarmRS	0.51616
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	HarmRS	0.55033
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	HarmRS	0.5008
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	HarmRS	0.51771
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	HarmRS	0.48815
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	HarmRS	0.51133
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	HarmRS	0.52589
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	HarmRS	0.51458
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	HarmRS	0.47704
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	HarmRS	0.51684
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	HarmRS	0.56238
Mono	ROR	Cvas	0	RandomForestClassifier	CDDD	F1 Score	0.6499
Mono	ROR	Cvas	3	RandomForestClassifier	CDDD	F1 Score	0.59676
Mono	ROR	Cvas	2	RandomForestClassifier	CDDD	F1 Score	0.57578
Mono	ROR	Cvas	1	RandomForestClassifier	CDDD	F1 Score	0.50885
Mono	ROR	Cvas	4	RandomForestClassifier	CDDD	F1 Score	0.60575
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	F1 Score	0.5887
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	F1 Score	0.51097
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	F1 Score	0.63475
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	F1 Score	0.44793
Primary	ROR	Cvas	4	RandomForestClassifier	CDDD	F1 Score	0.55714
Secondary	ROR	Cvas	0	RandomForestClassifier	CDDD	F1 Score	0.66797
Secondary	ROR	Cvas	3	RandomForestClassifier	CDDD	F1 Score	0.57358
Secondary	ROR	Cvas	2	RandomForestClassifier	CDDD	F1 Score	0.5797
Secondary	ROR	Cvas	1	RandomForestClassifier	CDDD	F1 Score	0.47915
Secondary	ROR	Cvas	4	RandomForestClassifier	CDDD	F1 Score	0.58274
Mono	ROR	Cvas	0	RandomForestClassifier	CDDD	ROC AUC	0.59441
Mono	ROR	Cvas	3	RandomForestClassifier	CDDD	ROC AUC	0.52872
Mono	ROR	Cvas	2	RandomForestClassifier	CDDD	ROC AUC	0.50069
Mono	ROR	Cvas	1	RandomForestClassifier	CDDD	ROC AUC	0.59479
Mono	ROR	Cvas	4	RandomForestClassifier	CDDD	ROC AUC	0.57377
Primary	ROR	Cvas	0	RandomForestClassifier	CDDD	ROC AUC	0.57544
Primary	ROR	Cvas	3	RandomForestClassifier	CDDD	ROC AUC	0.54817
Primary	ROR	Cvas	2	RandomForestClassifier	CDDD	ROC AUC	0.56391
Primary	ROR	Cvas	1	RandomForestClassifier	CDDD	ROC AUC	0.6065
