Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	ROR	Cvas	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.56342
Mono	ROR	Cvas	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.57881
Mono	ROR	Cvas	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52994
Mono	ROR	Cvas	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.51451
Mono	ROR	Cvas	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.52818
Primary	ROR	Cvas	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.56336
Primary	ROR	Cvas	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.53531
Primary	ROR	Cvas	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.49263
Primary	ROR	Cvas	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.50808
Primary	ROR	Cvas	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.53626
Secondary	ROR	Cvas	0	XGBClassifier	ChemBERTa	Balanced Accuracy	0.56103
Secondary	ROR	Cvas	1	XGBClassifier	ChemBERTa	Balanced Accuracy	0.54673
Secondary	ROR	Cvas	3	XGBClassifier	ChemBERTa	Balanced Accuracy	0.45453
Secondary	ROR	Cvas	4	XGBClassifier	ChemBERTa	Balanced Accuracy	0.49348
Secondary	ROR	Cvas	2	XGBClassifier	ChemBERTa	Balanced Accuracy	0.46435
Mono	ROR	Cvas	0	XGBClassifier	ChemBERTa	GeomRS	0.56338
Mono	ROR	Cvas	1	XGBClassifier	ChemBERTa	GeomRS	0.57862
Mono	ROR	Cvas	3	XGBClassifier	ChemBERTa	GeomRS	0.51979
Mono	ROR	Cvas	4	XGBClassifier	ChemBERTa	GeomRS	0.51356
Mono	ROR	Cvas	2	XGBClassifier	ChemBERTa	GeomRS	0.52648
Primary	ROR	Cvas	0	XGBClassifier	ChemBERTa	GeomRS	0.56121
Primary	ROR	Cvas	1	XGBClassifier	ChemBERTa	GeomRS	0.5187
Primary	ROR	Cvas	3	XGBClassifier	ChemBERTa	GeomRS	0.4882
Primary	ROR	Cvas	4	XGBClassifier	ChemBERTa	GeomRS	0.50762
Primary	ROR	Cvas	2	XGBClassifier	ChemBERTa	GeomRS	0.53522
Secondary	ROR	Cvas	0	XGBClassifier	ChemBERTa	GeomRS	0.55995
Secondary	ROR	Cvas	1	XGBClassifier	ChemBERTa	GeomRS	0.52527
Secondary	ROR	Cvas	3	XGBClassifier	ChemBERTa	GeomRS	0.44191
Secondary	ROR	Cvas	4	XGBClassifier	ChemBERTa	GeomRS	0.49294
Secondary	ROR	Cvas	2	XGBClassifier	ChemBERTa	GeomRS	0.46191
Mono	ROR	Cvas	0	XGBClassifier	ChemBERTa	HarmRS	0.56333
Mono	ROR	Cvas	1	XGBClassifier	ChemBERTa	HarmRS	0.57844
Mono	ROR	Cvas	3	XGBClassifier	ChemBERTa	HarmRS	0.50984
Mono	ROR	Cvas	4	XGBClassifier	ChemBERTa	HarmRS	0.51261
Mono	ROR	Cvas	2	XGBClassifier	ChemBERTa	HarmRS	0.52479
Primary	ROR	Cvas	0	XGBClassifier	ChemBERTa	HarmRS	0.55906
Primary	ROR	Cvas	1	XGBClassifier	ChemBERTa	HarmRS	0.5026
Primary	ROR	Cvas	3	XGBClassifier	ChemBERTa	HarmRS	0.48381
Primary	ROR	Cvas	4	XGBClassifier	ChemBERTa	HarmRS	0.50716
Primary	ROR	Cvas	2	XGBClassifier	ChemBERTa	HarmRS	0.53418
Secondary	ROR	Cvas	0	XGBClassifier	ChemBERTa	HarmRS	0.55887
Secondary	ROR	Cvas	1	XGBClassifier	ChemBERTa	HarmRS	0.50465
Secondary	ROR	Cvas	3	XGBClassifier	ChemBERTa	HarmRS	0.42965
Secondary	ROR	Cvas	4	XGBClassifier	ChemBERTa	HarmRS	0.4924
Secondary	ROR	Cvas	2	XGBClassifier	ChemBERTa	HarmRS	0.45947
Mono	ROR	Cvas	0	XGBClassifier	ChemBERTa	F1 Score	0.59941
Mono	ROR	Cvas	1	XGBClassifier	ChemBERTa	F1 Score	0.57286
Mono	ROR	Cvas	3	XGBClassifier	ChemBERTa	F1 Score	0.62773
Mono	ROR	Cvas	4	XGBClassifier	ChemBERTa	F1 Score	0.53408
Mono	ROR	Cvas	2	XGBClassifier	ChemBERTa	F1 Score	0.57763
Primary	ROR	Cvas	0	XGBClassifier	ChemBERTa	F1 Score	0.57625
Primary	ROR	Cvas	1	XGBClassifier	ChemBERTa	F1 Score	0.46461
Primary	ROR	Cvas	3	XGBClassifier	ChemBERTa	F1 Score	0.57501
Primary	ROR	Cvas	4	XGBClassifier	ChemBERTa	F1 Score	0.50161
Primary	ROR	Cvas	2	XGBClassifier	ChemBERTa	F1 Score	0.54611
Secondary	ROR	Cvas	0	XGBClassifier	ChemBERTa	F1 Score	0.61863
Secondary	ROR	Cvas	1	XGBClassifier	ChemBERTa	F1 Score	0.46585
Secondary	ROR	Cvas	3	XGBClassifier	ChemBERTa	F1 Score	0.56154
Secondary	ROR	Cvas	4	XGBClassifier	ChemBERTa	F1 Score	0.50974
Secondary	ROR	Cvas	2	XGBClassifier	ChemBERTa	F1 Score	0.51945
Mono	ROR	Cvas	0	XGBClassifier	ChemBERTa	ROC AUC	0.58318
