Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Mono	IC	Cred	0	LogisticRegression	CDDD	Balanced Accuracy	0.5523
Mono	IC	Cred	1	LogisticRegression	CDDD	Balanced Accuracy	0.53053
Mono	IC	Cred	3	LogisticRegression	CDDD	Balanced Accuracy	0.50734
Mono	IC	Cred	4	LogisticRegression	CDDD	Balanced Accuracy	0.52269
Mono	IC	Cred	2	LogisticRegression	CDDD	Balanced Accuracy	0.51575
Mono	IC	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.5416
Mono	IC	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.56267
Mono	IC	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.48424
Mono	IC	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.51914
Mono	IC	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.52061
Mono	IC	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.5273
Mono	IC	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.54052
Mono	IC	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.49524
Mono	IC	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.49835
Mono	IC	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.53105
Mono	IC	Cred	0	LogisticRegression	CDDD	GeomRS	0.54432
Mono	IC	Cred	1	LogisticRegression	CDDD	GeomRS	0.52594
Mono	IC	Cred	3	LogisticRegression	CDDD	GeomRS	0.50732
Mono	IC	Cred	4	LogisticRegression	CDDD	GeomRS	0.5185
Mono	IC	Cred	2	LogisticRegression	CDDD	GeomRS	0.51542
Mono	IC	Card	0	LogisticRegression	CDDD	GeomRS	0.54058
Mono	IC	Card	1	LogisticRegression	CDDD	GeomRS	0.56108
Mono	IC	Card	3	LogisticRegression	CDDD	GeomRS	0.48408
Mono	IC	Card	4	LogisticRegression	CDDD	GeomRS	0.50609
Mono	IC	Card	2	LogisticRegression	CDDD	GeomRS	0.51993
Mono	IC	Cvas	0	LogisticRegression	CDDD	GeomRS	0.52663
Mono	IC	Cvas	1	LogisticRegression	CDDD	GeomRS	0.53835
Mono	IC	Cvas	3	LogisticRegression	CDDD	GeomRS	0.49087
Mono	IC	Cvas	4	LogisticRegression	CDDD	GeomRS	0.49764
Mono	IC	Cvas	2	LogisticRegression	CDDD	GeomRS	0.52927
Mono	IC	Cred	0	LogisticRegression	CDDD	HarmRS	0.53645
Mono	IC	Cred	1	LogisticRegression	CDDD	HarmRS	0.52139
Mono	IC	Cred	3	LogisticRegression	CDDD	HarmRS	0.50729
Mono	IC	Cred	4	LogisticRegression	CDDD	HarmRS	0.51435
Mono	IC	Cred	2	LogisticRegression	CDDD	HarmRS	0.51509
Mono	IC	Card	0	LogisticRegression	CDDD	HarmRS	0.53957
Mono	IC	Card	1	LogisticRegression	CDDD	HarmRS	0.55949
Mono	IC	Card	3	LogisticRegression	CDDD	HarmRS	0.48391
Mono	IC	Card	4	LogisticRegression	CDDD	HarmRS	0.49337
Mono	IC	Card	2	LogisticRegression	CDDD	HarmRS	0.51926
Mono	IC	Cvas	0	LogisticRegression	CDDD	HarmRS	0.52595
Mono	IC	Cvas	1	LogisticRegression	CDDD	HarmRS	0.53619
Mono	IC	Cvas	3	LogisticRegression	CDDD	HarmRS	0.48654
Mono	IC	Cvas	4	LogisticRegression	CDDD	HarmRS	0.49694
Mono	IC	Cvas	2	LogisticRegression	CDDD	HarmRS	0.5275
Mono	IC	Cred	0	LogisticRegression	CDDD	F1 Score	0.54755
Mono	IC	Cred	1	LogisticRegression	CDDD	F1 Score	0.59488
Mono	IC	Cred	3	LogisticRegression	CDDD	F1 Score	0.55493
Mono	IC	Cred	4	LogisticRegression	CDDD	F1 Score	0.59177
Mono	IC	Cred	2	LogisticRegression	CDDD	F1 Score	0.57143
Mono	IC	Card	0	LogisticRegression	CDDD	F1 Score	0.57488
Mono	IC	Card	1	LogisticRegression	CDDD	F1 Score	0.61218
Mono	IC	Card	3	LogisticRegression	CDDD	F1 Score	0.54282
Mono	IC	Card	4	LogisticRegression	CDDD	F1 Score	0.61184
Mono	IC	Card	2	LogisticRegression	CDDD	F1 Score	0.5806
Mono	IC	Cvas	0	LogisticRegression	CDDD	F1 Score	0.56448
Mono	IC	Cvas	1	LogisticRegression	CDDD	F1 Score	0.59413
Mono	IC	Cvas	3	LogisticRegression	CDDD	F1 Score	0.58384
Mono	IC	Cvas	4	LogisticRegression	CDDD	F1 Score	0.51779
Mono	IC	Cvas	2	LogisticRegression	CDDD	F1 Score	0.59955
Mono	IC	Cred	0	LogisticRegression	CDDD	ROC AUC	0.54676
Mono	IC	Cred	1	LogisticRegression	CDDD	ROC AUC	0.52416
Mono	IC	Cred	3	LogisticRegression	CDDD	ROC AUC	0.50544
Mono	IC	Cred	4	LogisticRegression	CDDD	ROC AUC	0.49817
Mono	IC	Cred	2	LogisticRegression	CDDD	ROC AUC	0.5228
Mono	IC	Card	0	LogisticRegression	CDDD	ROC AUC	0.55297
Mono	IC	Card	1	LogisticRegression	CDDD	ROC AUC	0.57962
Mono	IC	Card	3	LogisticRegression	CDDD	ROC AUC	0.48547
Mono	IC	Card	4	LogisticRegression	CDDD	ROC AUC	0.51486
Mono	IC	Card	2	LogisticRegression	CDDD	ROC AUC	0.52848
Mono	IC	Cvas	0	LogisticRegression	CDDD	ROC AUC	0.51551
Mono	IC	Cvas	1	LogisticRegression	CDDD	ROC AUC	0.55608
Mono	IC	Cvas	3	LogisticRegression	CDDD	ROC AUC	0.49804
Mono	IC	Cvas	4	LogisticRegression	CDDD	ROC AUC	0.51315
Mono	IC	Cvas	2	LogisticRegression	CDDD	ROC AUC	0.52874
Mono	IC	Cred	0	LogisticRegression	CDDD	MCC	0.10289
Mono	IC	Cred	1	LogisticRegression	CDDD	MCC	0.06123
Mono	IC	Cred	3	LogisticRegression	CDDD	MCC	0.01431
Mono	IC	Cred	4	LogisticRegression	CDDD	MCC	0.04531
Mono	IC	Cred	2	LogisticRegression	CDDD	MCC	0.0309
Mono	IC	Card	0	LogisticRegression	CDDD	MCC	0.08085
Mono	IC	Card	1	LogisticRegression	CDDD	MCC	0.12496
Mono	IC	Card	3	LogisticRegression	CDDD	MCC	-0.03071
Mono	IC	Card	4	LogisticRegression	CDDD	MCC	0.03895
Mono	IC	Card	2	LogisticRegression	CDDD	MCC	0.04047
Mono	IC	Cvas	0	LogisticRegression	CDDD	MCC	0.05305
Mono	IC	Cvas	1	LogisticRegression	CDDD	MCC	0.08084
Mono	IC	Cvas	3	LogisticRegression	CDDD	MCC	-0.00936
Mono	IC	Cvas	4	LogisticRegression	CDDD	MCC	-0.00327
Mono	IC	Cvas	2	LogisticRegression	CDDD	MCC	0.06116
Mono	IC	Cred	0	LogisticRegression	CDDD	Accuracy	0.5298
Mono	IC	Cred	1	LogisticRegression	CDDD	Accuracy	0.53937
Mono	IC	Cred	3	LogisticRegression	CDDD	Accuracy	0.50621
Mono	IC	Cred	4	LogisticRegression	CDDD	Accuracy	0.53265
Mono	IC	Cred	2	LogisticRegression	CDDD	Accuracy	0.51943
Mono	IC	Card	0	LogisticRegression	CDDD	Accuracy	0.53362
Mono	IC	Card	1	LogisticRegression	CDDD	Accuracy	0.56805
Mono	IC	Card	3	LogisticRegression	CDDD	Accuracy	0.48709
Mono	IC	Card	4	LogisticRegression	CDDD	Accuracy	0.53657
